cod_geo,nom_organisme,desi_abr,population
01023,Les Îles-de-la-Madeleine,M,12428
01042,Grosse-Île,M,509
02005,Percé,V,3126
02010,Sainte-Thérèse-de-Gaspé,M,1012
03010,Cloridorme,CT,624
03015,Petite-Vallée,M,148
03025,Murdochville,V,613
04015,Mont-Saint-Pierre,VL,202
04025,Marsoui,VL,273
04030,La Martre,M,189
05010,Shigawake,M,332
05032,Paspébiac,V,3079
05040,New Carlisle,M,1366
05045,Bonaventure,V,2746
05060,Caplan,M,1984
06013,Carleton-sur-Mer,V,4140
06020,Nouvelle,M,1791
06025,Escuminac,M,628
06050,Saint-Alexis-de-Matapédia,M,503
06060,L'Ascension-de-Patapédia,M,158
07070,Saint-Tharcisius,P,417
07085,Sayabec,M,1771
07090,Saint-Cléophas,P,315
07105,Saint-Damase,P,384
08005,Les Méchins,M,990
08010,Saint-Jean-de-Cherbourg,P,166
08015,Grosses-Roches,M,403
08023,Sainte-Félicité,M,1080
08030,Saint-Adelme,P,490
08035,Saint-René-de-Matane,M,942
08040,Sainte-Paule,M,254
08065,Saint-Léandre,P,378
08073,Saint-Ulric,M,1691
09005,La Rédemption,P,388
09010,Saint-Charles-Garnier,P,226
09015,Les Hauteurs,M,476
09020,Sainte-Jeanne-d'Arc,P,214
09040,Padoue,M,253
09048,Métis-sur-Mer,V,588
09055,Saint-Octave-de-Métis,P,500
09085,Sainte-Flavie,P,940
10005,Esprit-Saint,M,324
10010,La Trinité-des-Monts,P,242
10015,Saint-Narcisse-de-Rimouski,P,1146
10025,Saint-Marcellin,P,414
10030,Saint-Anaclet-de-Lessard,P,3019
10060,Saint-Valérien,P,944
10070,Saint-Fabien,P,1857
10075,Saint-Eugène-de-Ladrière,P,408
11020,Saint-Guy,M,79
11025,Saint-Médard,M,221
11050,Saint-Mathieu-de-Rioux,M,715
11055,Saint-Simon-de-Rimouski,M,475
12010,Saint-Hubert-de-Rivière-du-Loup,M,1478
12015,Saint-Antonin,V,4526
12035,Saint-Paul-de-la-Croix,M,325
13015,Packington,P,586
13050,Lejeune,M,240
13065,Saint-Michel-du-Squatec,M,1031
13073,Témiscouata-sur-le-Lac,V,5127
13075,Saint-Pierre-de-Lamy,M,141
13095,Pohénégamook,V,2473
14030,Saint-Joseph-de-Kamouraska,P,387
14055,Saint-Denis-De La Bouteillerie,M,509
14065,Rivière-Ouelle,M,1017
14085,La Pocatière,V,4123
17005,Saint-Omer,M,295
17045,Saint-Cyrille-de-Lessard,P,770
17055,Saint-Aubert,M,1446
17078,L'Islet,M,3903
18005,Saint-Just-de-Bretenières,M,652
18010,Lac-Frontière,M,187
18020,Sainte-Lucie-de-Beauregard,M,280
18030,Saint-Paul-de-Montminy,M,821
18055,Saint-Pierre-de-la-Rivière-du-Sud,P,832
18065,Berthier-sur-Mer,M,1784
18070,Saint-Antoine-de-l'Isle-aux-Grues,P,112
19082,Saint-Raphaël,M,2497
20030,Sainte-Pétronille,VL,1091
21010,Saint-Ferréol-les-Neiges,M,3915
21015,Saint-Louis-de-Gonzague-du-Cap-Tourmente,P,2
22015,Lac-Saint-Joseph,V,278
23015,Notre-Dame-des-Anges,P,250
29020,Saint-Hilaire-de-Dorset,P,99
29027,Courcelles–Saint-Évariste,M,1337
