Code de postes,Sous-section,Sujet,Facettes (exercice - type de données - consolidation - compétences - spécifique)
CRIIX00497,S10,État des flux de trésorerie - Activités de fonctionnement,Exercice en cours - Réalisations - Intégral - Intégral
CRIIX00498,S10,État des flux de trésorerie - Activités de fonctionnement - Excédent (déficit) de l'exercice,Exercice en cours - Réalisations - Intégral - Intégral
CRIIX00500,S10,État des flux de trésorerie - Activités de fonctionnement - Éléments sans effet sur la trésorerie -  Amortissement des immobilisations corporelles,Exercice en cours - Réalisations - Intégral - Intégral
CRIIX00501,S10,État des flux de trésorerie - Activités de fonctionnement - Éléments sans effet sur la trésorerie - Autres (1 à x),Exercice en cours - Réalisations - Intégral - Intégral
CRIIX00503,S10,État des flux de trésorerie - Activités de fonctionnement - Excédent (déficit) de l'exercice et éléments sans effet sur la trésorerie,Exercice en cours - Réalisations - Intégral - Intégral
CRIIX00505,S10,État des flux de trésorerie - Activités de fonctionnement - Variation nette des éléments hors caisse - Débiteurs,Exercice en cours - Réalisations - Intégral - Intégral
CRIIX00506,S10,État des flux de trésorerie - Activités de fonctionnement - Variation nette des éléments hors caisse - Autres actifs financiers,Exercice en cours - Réalisations - Intégral - Intégral
CRIIX00507,S10,État des flux de trésorerie - Activités de fonctionnement - Variation nette des éléments hors caisse - Créditeurs et charges à payer / Autres passifs,Exercice en cours - Réalisations - Intégral - Intégral
CRIIX00508,S10,État des flux de trésorerie - Activités de fonctionnement - Variation nette des éléments hors caisse - Revenus reportés,Exercice en cours - Réalisations - Intégral - Intégral
CRIIX00509,S10,État des flux de trésorerie - Activités de fonctionnement - Variation nette des éléments hors caisse - Actif / passif au titre des avantages sociaux futurs,Exercice en cours - Réalisations - Intégral - Intégral
CRIIX00510,S10,État des flux de trésorerie - Activités de fonctionnement - Variation nette des éléments hors caisse - Propriétés destinées à la revente,Exercice en cours - Réalisations - Intégral - Intégral
CRIIX00511,S10,État des flux de trésorerie - Activités de fonctionnement - Variation nette des éléments hors caisse - Stocks de fournitures,Exercice en cours - Réalisations - Intégral - Intégral
CRIIX00512,S10,État des flux de trésorerie - Activités de fonctionnement - Variation nette des éléments hors caisse - Autres actifs non financiers,Exercice en cours - Réalisations - Intégral - Intégral
CRIIX00513,S10,État des flux de trésorerie - Activités d'investissement ,Exercice en cours - Réalisations - Intégral - Intégral
CRIIX00514,S10,État des flux de trésorerie - Activités d'investissement  - Acquisition d'immobilisations corporelles,Exercice en cours - Réalisations - Intégral - Intégral
CRIIX00515,S10,État des flux de trésorerie - Activités d'investissement  - Produit de cession des immobilisations corporelles,Exercice en cours - Réalisations - Intégral - Intégral
CRIIX00516,S10,État des flux de trésorerie - Activités de placement,Exercice en cours - Réalisations - Intégral - Intégral
CRIIX00518,S10,"État des flux de trésorerie - Activités de placement - Prêts, placements de portefeuille à titre d'investissement et participations dans des entreprises municipales et des partenariats commerciaux - Émission ou acquisition",Exercice en cours - Réalisations - Intégral - Intégral
CRIIX00519,S10,"État des flux de trésorerie - Activités de placement - Prêts, placements de portefeuille à titre d'investissement et participations dans des entreprises municipales et des partenariats commerciaux - Remboursement ou cession",Exercice en cours - Réalisations - Intégral - Intégral
CRIIX00521,S10,État des flux de trésorerie - Activités de placement - Autres placements de portefeuille - Acquisition,Exercice en cours - Réalisations - Intégral - Intégral
CRIIX00522,S10,État des flux de trésorerie - Activités de placement - Autres placements de portefeuille - Cession,Exercice en cours - Réalisations - Intégral - Intégral
CRIIX00523,S10,État des flux de trésorerie - Activités de financement,Exercice en cours - Réalisations - Intégral - Intégral
CRIIX00524,S10,État des flux de trésorerie - Activités de financement - Émission de dettes à long terme,Exercice en cours - Réalisations - Intégral - Intégral
CRIIX00525,S10,État des flux de trésorerie - Activités de financement - Remboursement de la dette à long terme,Exercice en cours - Réalisations - Intégral - Intégral
CRIIX00526,S10,État des flux de trésorerie - Activités de financement - Variation nette des emprunts temporaires,Exercice en cours - Réalisations - Intégral - Intégral
CRIIX00527,S10,État des flux de trésorerie - Activités de financement - Variation nette des frais reportés liés à la dette à long terme,Exercice en cours - Réalisations - Intégral - Intégral
CRIIX00528,S10,État des flux de trésorerie - Activités de financement - Autres (1 à x),Exercice en cours - Réalisations - Intégral - Intégral
CRIIX00530,S10,État des flux de trésorerie - Augmentation (diminution) de la trésorerie et des équivalents de trésorerie,Exercice en cours - Réalisations - Intégral - Intégral
CRIIX00532,S10,État des flux de trésorerie - Trésorerie et équivalents de trésorerie (insuffisance) au début de l'exercice - Solde déjà établi,Exercice en cours - Réalisations - Intégral - Intégral
CRIIX00533,S10,État des flux de trésorerie - Trésorerie et équivalents de trésorerie (insuffisance) au début de l'exercice - Redressement aux exercices antérieurs,Exercice en cours - Réalisations - Intégral - Intégral
CRIIX00534,S10,État des flux de trésorerie - Trésorerie et équivalents de trésorerie (insuffisance) au début de l'exercice - Solde redressé,Exercice en cours - Réalisations - Intégral - Intégral
CRIIX00535,S10,État des flux de trésorerie - Trésorerie et équivalents de trésorerie (insuffisance) à la fin de l'exercice,Exercice en cours - Réalisations - Intégral - Intégral
CRIIX01857,S10,État des flux de trésorerie - Activités d'investissement  - Acquisition d'actifs incorporels achetés,Exercice en cours - Réalisations - Intégral - Intégral
CRIIX01858,S10,État des flux de trésorerie - Activités d'investissement  - Produit de cession des actifs incorporels achetés,Exercice en cours - Réalisations - Intégral - Intégral
LRIIX00501,S10,État des flux de trésorerie - Activités de fonctionnement - Éléments sans effet sur la trésorerie - Autres (1 à x),Libellé - Réalisations - Intégral - Intégral
LRIIX00528,S10,État des flux de trésorerie - Activités de financement - Autres (1 à x),Libellé - Réalisations - Intégral - Intégral
PRIIX00496,S10,État des flux de trésorerie - Redressé note 23,Exercice précédent - Réalisations - Intégral - Intégral
PRIIX00497,S10,État des flux de trésorerie - Activités de fonctionnement,Exercice précédent - Réalisations - Intégral - Intégral
PRIIX00498,S10,État des flux de trésorerie - Activités de fonctionnement - Excédent (déficit) de l'exercice,Exercice précédent - Réalisations - Intégral - Intégral
