"NoLicence","CategorieLicence","StatutLicence","DebutLicence","FinLicence","ReceptionDemande","NoTitulaire","NomTitulaire","AdresseTitulaire","VilleTitulaire","ProvinceTitulaire","CodePostalTitulaire"
"1362-32","Exploitant","Valide","2024-01-18","2025-01-17","","1362","LES AMUSEMENTS D.L. INC.","3769, RUE VINCENT","JONQUIERE","QC","G7X2K3"
"137-35","Exploitant","Valide","2024-03-01","2025-02-28","","137","Salle de quilles le Forum inc.","920, rue Saint-Zotique Est","MONTREAL","QC","H2S1M8"
"138-35","Exploitant","Valide","2024-03-01","2025-02-28","","138","Salle de quilles Spot limitÃ©e","12255, rue Grenet","MONTREAL","QC","H4J2J9"
"146-36","Exploitant","Valide","2023-11-01","2024-10-31","","146","Salle de quilles Bannantyne inc.","5146, RUE BANNANTYNE","VERDUN","QC","H4Z1G5"
"1933-35","Exploitant","Valide","2024-03-01","2025-02-28","","1933","Salle de quilles Repentigny (1982) inc.","130, boul. Industriel","REPENTIGNY","QC","J6A6X1"
"2418-29","Exploitant","Valide","2023-10-31","2024-10-30","","2418","Salle de quilles St-Eustache inc.","101-66, boul. Industriel, local 101","SAINT-EUSTACHE","QC","J7R5C2"
"3203-35","Exploitant","Valide","2024-03-01","2025-02-28","","3203","2432-7496 QUÃBEC INC.","2450, CHEMIN SAINT-ROCH NORD","SHERBROOKE","QC","J1N0H2"
"3256-13","Exploitant","Valide","2024-02-01","2025-01-31","","3256","AMUSEMENTS BEN & MARCOUX INC.","436, BOULEVARD BÃGIN","SAINT-ANSELME","QC","G0R2N0"
"3483-35","Exploitant","Valide","2024-05-18","2024-11-03","","3483","SOCIÃTÃ ZOOLOGIQUE DE GRANBY INC.","525, RUE SAINT-HUBERT","GRANBY","QC","J2G5P3"
"4267-32","Exploitant","Valide","2024-04-01","2025-03-31","","4267","LES AMUSEMENTS JOLIN INC.","471, RUE LINDSAY, C.P. 523","DRUMMONDVILLE","QC","J2B6W4"
"4286-16","Exploitant","Valide","2024-03-01","2025-02-28","","4286","2323-0659 QuÃ©bec inc.","584 A, RUE SAINT-JACQUES","SAINT-JEAN-SUR-RICHELIEU","QC","J3B2M5"
"45-35","Exploitant","Valide","2024-03-01","2025-02-28","","45","BÃ©a Phono (1995) inc.","104, rue Louis-Philippe Lebrun, C.P. 1043","RIVIERE-DU-LOUP","QC","G5R4C3"
"4680-32","Exploitant","Valide","2023-12-01","2024-11-30","","4680","2951-1177 QuÃ©bec inc.","213, BOULEVARD RENÃ-A. ROBERT, LOCAL - 201-202","SAINTE-THERESE","QC","J7E4L1"
"5123-29","Exploitant","Valide","2024-01-01","2024-12-31","","5123","Salle de quilles Biermans inc.","1553, boul. Hubert-Biermans","SHAWINIGAN","QC","G9N8N6"
"5141-29","Exploitant","Valide","2023-09-01","2024-08-31","","5141","LES IMMEUBLES JACQUES ROBITAILLE INC.","7175, BOUL. WILFRID-HAMEL OUEST","SAINTE-FOY","QC","G2G1B6"
"5347-28","Exploitant","Valide","2023-10-01","2024-09-30","","5347","CENTRE DIXTRACTION ET PARC-O-FUN INC.","8700, BOULEVARD LACROIX","SAINT-GEORGES","QC","G5Y2B5"
"5847-23","Exploitant","Valide","2024-02-28","2025-01-31","","5847","9016-8063 QUÃBEC INC.","3925, BOUL. CURÃ-LABELLE","LAVAL","QC","H7P0A5"
"6158-27","Exploitant","Valide","2023-09-01","2024-08-31","","6158","9053-5477 QUÃBEC INC.","3452 A, BOUL. DAGENAIS","LAVAL","QC","H7P1V6"
"6192-27","Exploitant","Valide","2023-12-01","2024-11-30","","6192","FRANÃOIS BOISVERT AMUSEMENTS INC.","31, RUE DES JONQUILLES","SAINTE-MELANIE","QC","J0K3A0"
"6208-27","Exploitant","Valide","2024-06-01","2025-05-31","","6208","AGENCES SIMPLEX AUTOMATIC (1997) LTÃE","154, 14e RUE","ROUYN-NORANDA","QC","J9X2J5"
"6244-27","Exploitant","Valide","2024-02-01","2025-01-31","","6244","DUQUETTE, MICHEL","","MONT-LAURIER","QC",""
"6348-24","Exploitant","Valide","2023-10-24","2024-09-30","","6348","9042-2247 QuÃ©bec inc.","6120, BOULEVARD. MÃTROPOLITAIN EST","MONTREAL","QC","H1S1A9"
"6417-21","Exploitant","Valide","2023-08-08","2024-07-31","","6417","CinÃ©mas Guzzo inc.","1055, chemin du Coteau","TERREBONNE","QC","J6W5Y8"
"6473-26","Exploitant","Valide","2024-02-01","2025-01-31","","6473","9048-3041 QuÃ©bec inc.","1400, Grande-AllÃ©e","TERREBONNE","QC","J6W6B7"
"6492-26","Exploitant","Valide","2024-06-01","2025-05-31","","6492","9069-4399 QuÃ©bec inc.  (Salon de billard Heriot)","412, RUE HERIOT","DRUMMONDVILLE","QC","J2B1B5"
"6502-24","Exploitant","Valide","2024-06-01","2025-05-31","","6502","9072-2323 QuÃ©bec inc. (Salon de quilles centre commercial domaine)","3275, rue Granby","MONTREAL","QC","H1N2Z7"
"6694-25","Exploitant","Valide","2024-06-01","2025-05-31","","6694","Simulateurs Vogue inc.","8220, boul. Laframboise","SAINT-HYACINTHE","QC","J2R1G7"
"6702-24","Exploitant","Valide","2023-08-01","2024-07-31","","6702","COLLIN, ANDRÃ","","SAINT-SAUVEUR","QC",""
"6863-23","Exploitant","Valide","2023-09-01","2024-08-31","","6863","DISTRIBUTION GAU-VIE INC.","57, RUE DE LA RÃSERVE","SAINT-AIME-DES-LACS","QC","G0T1S0"
"7041-14","Exploitant","Valide","2024-05-01","2025-04-30","","7041","3171795 CANADA INC.","124-1300, BOUL. SAINT-JEAN-BAPTISTE","MONTREAL","QC","H1B4A4"
"7138-20","Exploitant","Valide","2024-06-01","2025-05-31","","7138","COULOMBE, CHANTAL","","NOTRE-DAME-DES-PRAIRIES","QC",""
"7442-15","Exploitant","Valide","2024-04-10","2025-03-31","","7442","SANDERS, MARTIN","","SAINT-FRANCOIS-XAVIER-DE-BROMPTON","QC",""
"7526-18","Exploitant","Valide","2024-01-23","2024-12-31","","7526","9177-7680 QUÃBEC INC.","64, CROISSANT DE CALLIÃRES","LAVAL","QC","H7E3M9"
"7596-16","Exploitant","Valide","2023-08-01","2024-07-31","","7596","9196-3124 QUÃBEC INC.","1033, RUE DES ESCOUMINS","TERREBONNE","QC","J6W5H2"
"7652-12","Exploitant","Valide","2023-10-01","2024-09-30","","7652","DISTRIBUTION VENDMARK INC.","4452, BOULEVARD DE LA GRANDE-ALLÃE","BOISBRIAND","QC","J7H1R9"
"7660-17","Exploitant","Valide","2023-12-01","2024-11-30","","7660","DISTRIBUTION C.M.S. INC.","40 2IÃME AVENUE DES PEUPLIERS","L'EPIPHANIE","QC","J5X4S7"
"7706-13","Exploitant","Valide","2024-02-21","2025-01-31","","7706","3785131 Canada inc.","51, rue Court","GATINEAU","QC","J9H4L8"
"7720-15","Exploitant","Valide","2023-12-01","2024-11-30","","7720","9185-4182 QUÃBEC INC.","200, RUE DE LA PAIX","SAINT-COLOMBAN","QC","J5K0H4"
"7882-12","Exploitant","Valide","2023-11-01","2024-10-31","","7882","9246-8669 QUÃBEC INC.","2975, BOULEVARD MOÃSE-VINCENT","SAINT-HUBERT","QC","J3Z1K2"
