ï»¿Liste des entreprises ayant realise des travaux de traitement in situ de sols et d'eaux souterraines contamines au Quebec1;;;;;;
;;;;;;
Periode viseeÂ : 1_er janvier 2018 au 31 decembre 2023;;;;;;
;;;;;;
Nom_d_entreprise;Adresse;Ville;Province;Code_postal;Numero_de_telephone;Type_de_traitement
AB Enviro-Solutions inc.;556, rue Doris ;Longueuil;Quebec;J4V1Z3;514-616-1657;Bioventilation-Biostimulation, Oxydation_chimique, Barriere_permeable_reactive
AECOM inc.;85, rue Sainte-Catherine Ouest;Montreal;Quebec;H2X3P4;514-287-8500;Bioventilation, Oxydation_chimique
Arcadis Canada inc.;825, boulevard Guimond, suite 120;Longueuil;Quebec;J4G2M7;450-674-2207;Bioventilation, Extraction_multiphase
Biotix inc.;1240, boulevard Charest Ouest, local 114;Quebec;Quebec;G1N2E3;418-454-8520;Volatilisation
EnGlobe Corp.;505, boulevard du Parc Technologique, suite 200;Quebec;Quebec;G1P4S9;418-781-0191;Biostimulation, Oxydation_chimique
Enutech inc.;2255-A, rue Dandurand;Montreal;Quebec;H2G1Z3;514-630-1869;Bioaugmentation, Oxydation_chimique, Reduction_chimique, Barriere_permeable_reactive, Extraction_multiphase/pompage et traitement
Enviro Services inc.;589, rue Saint-Jean-Baptiste;Terrebonne;Quebec;J6W4R2;514-944-4069;Reduction_chimique 
Gestenv inc.;6300, avenue du Parc, bureau 420;Montreal;Quebec;H2V4H8;514-277-0812;Bioaugmentation, Oxydation_chimique, Extraction_multiphase/pompage et traitement
GHD Consultants ltee;4600, boulevard de la CÃ´te-Vertu;Saint-Laurent;Quebec;H4S1C7;514-333-5151;Bioventilation, Volatilisation, Reduction_chimique, Extraction_multiphase/pompage et traitement
Groupe Axor inc.;1555, rue Peel, bureau 1100;Montreal;Quebec;H3A3L8;514-937-3737;Bioventilation , Oxydation_chimique
Groupe SCP Environnement inc.;1505, rue Dickson, bureau 101;Montreal;Quebec;H1N3T4;514-722-1451;Oxydation_chimique
Laboratoires dâExpertises de Quebec ltee;2320, rue De Celles;Quebec;Quebec;G2C1X8;418-845-0858;Oxydation_chimique
Laforge Environnement inc.;1375, boulevard Lionel-Boulet, local 101;Varennes;Quebec;J3X1P7;1-866-219-8179;Bioaugmentation, Oxydation_chimique
Northex Environnement inc.;699, montee de la Pomme dâOr;Contrecoeur;Quebec;J0L1C0;450-587-8877;Oxydation_chimique
Nvira Environnement inc.;5165, rue John Molson, bureau 100;Quebec;Quebec;G1X3X4;1-877-809-5478;Oxydation_chimique
Sanexen services environnementaux inc.;9935, rue de Chateauneuf, bureau 200, Entree 1;Brossard;Quebec;J4Z3V4;450-466-2123;Bioventilation-biobarbotage, Oxydation_chimique
Solnor Environnement inc.;2092, rue du Val-des-Cedres ;Sainte-Julienne;Quebec;J0K2T0;514-360-2032;Bioventilation, Oxydation_chimique
Solroc inc.;4000, rue Griffith;Saint-Laurent;Quebec;H4T1A8;514-737-6541;Bioaugmentation
Stantec inc.;1260, boulevard Lebourgneuf, suite 250;Quebec;Quebec;G2K2G2;418-626-1688;Oxydation_chimique, Desorption_thermique 
Technorem inc.;4701, rue Louis-B.-Mayer;Laval;Quebec;H7P6G5;450-681-4749;Bioventilation, Oxydation_chimique, Extraction_multiphase/pompage et traitement, Lessivage
Tecosol inc.;99, boulevard des Hauts-Bois #209;Sainte-Julie;Quebec;J3E3J9;450-922-1410;Oxydation_chimique
Terrapex environnement ltee;3615A, rue Isabelle;Brossard;Quebec;J4Y2R2;450-444-3255;Bioventilation-biobarbotage, Oxydation_chimique, Extraction_multiphase/pompage et traitement, Lessivage, Desorption_thermique
Valgo Environnement inc.;8150, boulevard Metropolitain;Montreal;Quebec;H1K1A1;;Bioventilation, Extraction_multiphase
Wood Canada ltee;1425, route Transcanadienne, bureau 400;Dorval;Quebec;H9P2W9;514-684-5555;Barriere_permeable_reactive
WSP Canada inc.;1600, boulevard Rene-Levesque Ouest, 11e etage;Montreal;Quebec;H3H1P9;514-340-0046;Bioventilation, Volatilisation, Oxydation_chimique, Extraction_multiphase/pompage et traitement, Desorption_thermique
;;;;;;
;;;;;;
1Â Â Â Â Â Â Â Cette liste a ete etablie Ã  partir des donnees extraites du systÃ¨me de gestion des operations du MELCC.  Elle a uniquement pour objet les travaux de rehabilitation autorises ou approuves par le MELCC dans le cadre dâune autorisation (art. 22 de la LQE) ou dâun plan de rehabilitation (art. 31.43, 31.51, 31.54 et 31.57 de la LQE).  Toutes erreurs ou omissions doivent Ãªtre signalees Ã  : Melanie Longpre-Girard ing., M. Sc. Direction de la protection et de la rehabilitation des terrains, melanie.longpre-girard@environnement.gouv.qc.ca;;;;;;
