Caracteristique,Valeur,Nb_menages,Nb_adultes,Nb_enfants,Nb_prestataires,Prestation_totale_versee,Prestations_de_base,Alloc_CTE,Alloc_mixte,Alloc_SS,Prest_base_Heberges
Programme,Programme d'aide sociale,144792,157283,62067,219350,110242895.64,93611,49354,1827,0,0
Programme,Programme de solidarité sociale,122609,128885,7842,136727,132571494.77,0,0,0,120330,2279
Situation familiale,Personnes seules,219881,219881,0,219881,196080383.27,72753,34220,0,110629,2279
Situation familiale,Couples sans enfants,8999,17998,0,17998,10963920.398,2106,962,1327,4604,0
Situation familiale,Familles monoparentales,28514,28514,47966,76480,24032001.067,12179,12937,0,3398,0
Situation familiale,Couples avec enfants,9768,19536,21943,41479,11669621.359,6401,1195,500,1672,0
Situation familiale,Conjoint d'étudiant,239,239,0,239,68464.319996,172,40,0,27,0
Type de résidence,Locataire,112760,125344,44961,170305,101123188.03,42014,25327,1143,44276,0
Type de résidence,Locataire HLM ou coopérative,33744,36752,15544,52296,31223444.815,8597,8116,295,16736,0
Type de résidence,Chambreur ou pensionnaire,106040,107800,7207,115007,98287511.158,38259,13372,211,54198,0
Type de résidence,Temporairement sans adresse,3536,3545,31,3576,2926184.9197,2230,481,0,825,0
Type de résidence,Propriété,8128,9534,2166,11700,7219275.5583,1597,2058,178,4295,0
Type de résidence,En hébergement,3193,3193,0,3193,2034785.9395,914,0,0,0,2279
Région,01 - Bas-Saint-Laurent,6369,6784,999,7783,6005614.5091,1467,1145,26,3727,4
Région,02 - Saguenay - Lac-St-Jean,8842,9321,1435,10756,8156791.9489,2647,1692,58,4441,4
Région,03 - Capitale-Nationale,16915,17647,2958,20605,15435050.338,4976,3099,67,8761,12
Région,04 - Mauricie,12319,13002,2846,15848,11171789.559,4353,2381,73,5503,9
Région,05 - Estrie,11435,12184,2722,14906,10643367.519,3590,2061,62,5705,17
Région,06 - Île-de-Montréal,85530,94024,29210,123234,76744961.696,39236,15903,749,29622,20
Région,07 - Outaouais,12810,13598,4011,17609,11452848.759,4574,2609,66,5561,0
Région,08 - Abitibi-Témiscamingue,4167,4389,876,5265,3795311.9295,1275,792,15,2083,2
Région,09 - Côte-Nord,2168,2266,428,2694,1969050.7297,661,410,7,1090,0
Région,10 - Nord-du-Québec,996,1053,361,1414,827029.61993,511,167,1,317,0
Région,11 - Gaspésie - Îles-de-la-Madeleine,3549,3834,573,4407,3383256.1495,833,625,34,2056,1
Région,12 - Chaudières-Appalaches,8586,8999,1475,10474,8015587.5989,2193,1396,39,4955,3
Région,13 - Laval,9199,10050,2543,12593,8617654.8891,2734,1923,172,4367,3
Région,14 - Lanaudière,13782,14645,3768,18413,12351977.218,4427,2995,106,6250,4
Région,15 - Laurentides,16133,17021,3672,20693,14585124.768,5097,3441,91,7495,9
Région,16 - Montérégie,38621,40842,10066,50908,35220791.416,12238,7152,228,18978,25
Région,17 - Centre-du-Québec,8289,8736,1945,10681,7524291.5289,2795,1559,33,3892,10
Région,99 - Central,7691,7773,21,7794,6913890.2395,4,4,0,5527,2156
Clientèle supplémentée,Allocations_aide_emploi,3293,3370,2594,5964,2534968.4698,2579,167,1,543,3
Clientèle supplémentée,Allocations_soutien,2799,2799,298,3097,3046780.8697,722,24,0,2050,3
Clientèle supplémentée,Revenus_travail,11365,11443,4854,16297,8703378.4977,4968,2745,178,3469,5
Clientèle supplémentée,Prestations_assurance_emploi,514,519,169,688,290953.94996,207,173,7,126,1
Clientèle supplémentée,Contribution_parentale,109,109,0,109,49548.079999,70,39,0,0,0
Clientèle supplémentée,Pension_alimentaire,8647,8652,14462,23114,6960877.4787,3453,3653,26,1513,2
Clientèle supplémentée,RRQ_invalidite,11966,11991,632,12623,5249593.0854,0,1,0,11956,9
Clientèle supplémentée,RRQ_retraite,33043,33686,1361,35047,28723736.305,50,15590,769,16385,249
Clientèle supplémentée,Alternative_jeunesse,0,,0,,0,0,0,0,0,0
Clientèle supplémentée,Revenus_autres,12122,11930,1869,13799,10079372.797,1645,1806,140,8522,9
Clientèle supplémentée,Total_distinct,76444,77781,23421,101202,60785792.106,12780,21976,939,40468,281
