Caracteristique,Valeur,Nb_menages,Nb_adultes,Nb_enfants,Nb_prestataires,Prestation_totale_versee,Prestations_de_base,Alloc_CTE,Alloc_mixte,Alloc_SS,Prest_base_Heberges
Programme,Programme d'aide sociale,152082,165475,67080,232555,111970990.9,98777,51444,1861,0,0
Programme,Programme de solidarité sociale,125467,132164,8148,140312,128002205.73,0,0,0,123075,2392
Situation familiale,Personnes seules,226621,226621,0,226621,192360622.65,76160,35295,0,112774,2392
Situation familiale,Couples sans enfants,9491,18982,0,18982,11256979.828,2105,1101,1333,4952,0
Situation familiale,Familles monoparentales,30496,30496,51067,81563,24024815.296,13235,13689,0,3572,0
Situation familiale,Couples avec enfants,10599,21198,24161,45359,12243651.369,7011,1315,528,1745,0
Situation familiale,Conjoint d'étudiant,342,342,0,342,87127.489995,266,44,0,32,0
Type de résidence,Locataire,121376,135043,49392,184435,103625303.25,46704,27118,1176,46378,0
Type de résidence,Locataire HLM ou coopérative,33776,36985,16090,53075,29676592.475,8814,8141,284,16537,0
Type de résidence,Chambreur ou pensionnaire,106960,108560,7300,115860,94387263.169,38439,13471,204,54846,0
Type de résidence,Temporairement sans adresse,3236,3245,21,3266,2592079.6698,2053,418,0,765,0
Type de résidence,Propriété,8799,10404,2425,12829,7514512.2781,1757,2296,197,4549,0
Type de résidence,En hébergement,3402,3402,0,3402,2177445.7895,1010,0,0,0,2392
Région,01 - Bas-Saint-Laurent,6753,7224,1087,8311,6040283.789,1633,1208,36,3874,2
Région,02 - Saguenay - Lac-St-Jean,9447,9995,1723,11718,8257080.9388,2948,1839,53,4607,0
Région,03 - Capitale-Nationale,17945,18799,3300,22099,15476994.308,5565,3255,75,9040,10
Région,04 - Mauricie,12958,13731,3114,16845,11143873.329,4668,2520,75,5686,9
Région,05 - Estrie,11917,12765,2950,15715,10544950.848,3857,2110,69,5859,22
Région,06 - Île-de-Montréal,87252,95879,30861,126740,75017394.477,39364,16658,732,30477,21
Région,07 - Outaouais,13404,14305,4272,18577,11409363.459,4977,2728,70,5628,1
Région,08 - Abitibi-Témiscamingue,4242,4485,875,5360,3673083.0395,1273,773,12,2182,2
Région,09 - Côte-Nord,2336,2445,454,2899,2008712.8697,747,438,10,1141,0
Région,10 - Nord-du-Québec,1048,1107,414,1521,829597.36994,535,190,3,320,0
Région,11 - Gaspésie - Îles-de-la-Madeleine,3811,4159,677,4836,3475792.5795,913,721,46,2130,1
Région,12 - Chaudières-Appalaches,8941,9408,1564,10972,7916101.6587,2327,1481,51,5076,6
Région,13 - Laval,9623,10546,2878,13424,8587777.979,3101,1979,181,4360,2
Région,14 - Lanaudière,14361,15298,3930,19228,12239241.438,4903,3054,96,6298,10
Région,15 - Laurentides,16868,17833,4054,21887,14428058.108,5571,3564,105,7613,15
Région,16 - Montérégie,40171,42593,10965,53558,34970198.986,13341,7366,216,19229,19
Région,17 - Centre-du-Québec,8620,9141,2086,11227,7442987.5189,3049,1555,31,3977,8
Région,99 - Central,7852,7926,24,7950,6511703.9395,5,5,0,5578,2264
Clientèle supplémentée,Allocations_aide_emploi,4163,4301,3596,7897,3088616.0797,3470,182,4,502,5
Clientèle supplémentée,Allocations_soutien,2842,2842,319,3161,2910873.9197,790,17,0,2029,6
Clientèle supplémentée,Revenus_travail,12202,12274,5652,17926,8730581.7974,5864,3060,201,3071,6
Clientèle supplémentée,Prestations_assurance_emploi,632,635,180,815,333728.62993,251,208,14,159,0
Clientèle supplémentée,Contribution_parentale,411,411,0,411,182460.93999,315,96,0,0,0
Clientèle supplémentée,Pension_alimentaire,8229,8235,13727,21962,5533941.1172,3337,3446,24,1420,2
Clientèle supplémentée,RRQ_invalidite,12255,12277,577,12854,4808625.0155,0,0,0,12247,8
Clientèle supplémentée,RRQ_retraite,33607,34249,1382,35631,27688514.075,37,16202,795,16291,282
Clientèle supplémentée,Alternative_jeunesse,0,,0,,0,0,0,0,0,0
Clientèle supplémentée,Revenus_autres,12141,11950,1881,13831,9591531.4974,1690,1740,133,8557,21
Clientèle supplémentée,Total_distinct,79437,80842,24586,105428,58672164.934,14753,22735,981,40640,328
