Caracteristique,Valeur,Nb_menages,Nb_adultes,Nb_enfants,Nb_prestataires,Prestation_totale_versee,Prestations_de_base,Alloc_CTE,Alloc_mixte,Alloc_SS,Prest_base_Heberges
Programme,Programme d'aide sociale,186168,202881,84036,286917,126874531.62,124520,59522,2126,0,0
Programme,Programme de solidarité sociale,127051,134406,8675,143081,111828931.6,0,0,0,124445,2606
Situation familiale,Personnes seules,250778,250778,0,250778,185412247.58,96821,38013,0,113338,2606
Situation familiale,Couples sans enfants,10604,21208,0,21208,11487475.828,2289,1432,1460,5423,0
Situation familiale,Familles monoparentales,37702,37702,61889,99591,27491516.495,15705,18270,0,3727,0
Situation familiale,Couples avec enfants,13464,26928,30822,57750,14175610.479,9133,1733,666,1932,0
Situation familiale,Conjoint d'étudiant,671,671,0,671,136612.84,572,74,0,25,0
Type de résidence,Locataire,145624,162676,63108,225784,110558640.49,62663,33378,1307,48276,0
Type de résidence,Locataire HLM ou coopérative,33606,37228,18282,55510,26393890.745,9317,8433,306,15550,0
Type de résidence,Chambreur ou pensionnaire,116566,117750,7970,125720,89473759.232,46785,14553,217,55011,0
Type de résidence,Temporairement sans adresse,3076,3083,10,3093,2202113.9498,2045,359,0,672,0
Type de résidence,Propriété,10802,13005,3341,16346,8246619.1079,2771,2799,296,4936,0
Type de résidence,En hébergement,3545,3545,0,3545,1828439.6896,939,0,0,0,2606
Région,01 - Bas-Saint-Laurent,7700,8323,1404,9727,6016755.939,2222,1320,51,4103,4
Région,02 - Saguenay - Lac-St-Jean,10943,11676,2107,13783,8361885.9488,4114,2061,62,4702,4
Région,03 - Capitale-Nationale,20518,21682,4264,25946,15606140.628,7326,3729,92,9361,10
Région,04 - Mauricie,15054,16037,3903,19940,11460307.668,6199,2981,92,5770,12
Région,05 - Estrie,13605,14682,3785,18467,10558144.789,5022,2536,87,5937,23
Région,06 - Île-de-Montréal,96080,105105,36195,141300,73255724.63,44744,19446,769,31101,20
Région,07 - Outaouais,15244,16451,5311,21762,11511267.499,6538,3076,95,5531,4
Région,08 - Abitibi-Témiscamingue,5221,5575,1295,6870,3973424.3094,1895,994,25,2307,0
Région,09 - Côte-Nord,2771,2934,623,3557,2121142.8697,1012,545,14,1200,0
Région,10 - Nord-du-Québec,1029,1093,493,1586,749785.68993,453,263,2,311,0
Région,11 - Gaspésie - Îles-de-la-Madeleine,4547,5003,918,5921,3599861.5794,1350,874,55,2267,1
Région,12 - Chaudières-Appalaches,10010,10593,1943,12536,7725775.2287,2899,1797,68,5240,6
Région,13 - Laval,10878,11945,3823,15768,8422221.189,4391,2147,160,4178,2
Région,14 - Lanaudière,16263,17447,4927,22374,12226784.528,6673,3410,114,6055,11
Région,15 - Laurentides,19106,20442,5142,25584,14383592.498,7665,3940,126,7359,16
Région,16 - Montérégie,45859,49137,13920,63057,35242107.205,17990,8554,260,19028,27
Région,17 - Centre-du-Québec,10000,10688,2629,13317,7576403.2589,4013,1842,54,4083,8
Région,99 - Central,8391,8474,29,8503,5912137.7596,14,7,0,5912,2458
Clientèle supplémentée,Allocations_aide_emploi,5762,5970,4397,10367,3943170.7797,5180,170,2,406,4
Clientèle supplémentée,Allocations_soutien,2473,2473,275,2748,2279781.3498,719,18,0,1733,3
Clientèle supplémentée,Revenus_travail,17349,17482,7806,25288,11535009.567,9154,3942,285,3964,4
Clientèle supplémentée,Prestations_assurance_emploi,791,791,236,1027,415266.13991,388,265,13,125,0
Clientèle supplémentée,Contribution_parentale,937,937,0,937,368059.26998,858,79,0,0,0
Clientèle supplémentée,Pension_alimentaire,10322,10325,17156,27481,6446452.3767,4297,4528,37,1458,2
Clientèle supplémentée,RRQ_invalidite,11981,11996,606,12602,3503300.7568,2,1,0,11963,15
Clientèle supplémentée,RRQ_retraite,33299,34033,1282,35315,24096463.535,23,16818,949,15252,257
Clientèle supplémentée,Alternative_jeunesse,0,3,0,3,0,0,0,0,0,0
Clientèle supplémentée,Revenus_autres,13008,12771,2405,15176,8840323.4074,2189,1939,169,8691,20
Clientèle supplémentée,Total_distinct,87979,89795,30733,120528,57022028.985,21273,25195,1176,40035,300
