Caracteristique,Valeur,Nb_menages,Nb_adultes,Nb_enfants,Nb_prestataires,Prestation_totale_versee,Prestations_de_base,Alloc_CTE,Alloc_mixte,Alloc_SS,Prest_base_Heberges
Programme,Programme d'aide sociale,143129,155391,61185,216576,110498130.74,91539,49754,1836,0,0
Programme,Programme de solidarité sociale,122099,128250,7753,136003,132380777.91,0,0,0,119926,2173
Situation familiale,Personnes seules,218459,218459,0,218459,196384134.48,71261,34656,0,110369,2173
Situation familiale,Couples sans enfants,8849,17698,0,17698,10899296.778,2051,948,1333,4517,0
Situation familiale,Familles monoparentales,28120,28120,47335,75455,23941105.617,11771,12969,0,3380,0
Situation familiale,Couples avec enfants,9564,19128,21603,40731,11586669.959,6284,1143,503,1634,0
Situation familiale,Conjoint d'étudiant,236,236,0,236,67701.819997,172,38,0,26,0
Type de résidence,Locataire,111115,123546,44415,167961,100699669.91,40819,25303,1158,43835,0
Type de résidence,Locataire HLM ou coopérative,33498,36454,15467,51921,31174303.565,8345,8171,290,16692,0
Type de résidence,Chambreur ou pensionnaire,106287,107954,6900,114854,99174177.909,38016,13720,220,54331,0
Type de résidence,Temporairement sans adresse,3499,3508,31,3539,2925692.5998,2155,514,0,830,0
Type de résidence,Propriété,7969,9319,2125,11444,7129109.4484,1517,2046,168,4238,0
Type de résidence,En hébergement,2860,2860,0,2860,1775955.2295,687,0,0,0,2173
Région,01 - Bas-Saint-Laurent,6296,6700,995,7695,5950445.3892,1424,1152,29,3691,0
Région,02 - Saguenay - Lac-St-Jean,8786,9248,1428,10676,8169441.579,2600,1708,54,4423,1
Région,03 - Capitale-Nationale,16756,17475,2894,20369,15503282.838,4860,3140,67,8683,6
Région,04 - Mauricie,12197,12873,2838,15711,11190283.369,4237,2379,78,5497,6
Région,05 - Estrie,11326,12064,2667,14731,10584932.449,3517,2063,62,5664,20
Région,06 - Île-de-Montréal,84521,92865,28757,121622,76643203.946,38301,15966,754,29486,14
Région,07 - Outaouais,12787,13554,3996,17550,11497100.089,4501,2678,64,5543,1
Région,08 - Abitibi-Témiscamingue,4144,4368,875,5243,3801416.6895,1265,793,17,2067,2
Région,09 - Côte-Nord,2166,2263,424,2687,1978275.1898,651,425,6,1084,0
Région,10 - Nord-du-Québec,1001,1061,396,1457,843013.59994,510,169,1,321,0
Région,11 - Gaspésie - Îles-de-la-Madeleine,3492,3770,566,4336,3342250.5996,776,645,33,2038,0
Région,12 - Chaudières-Appalaches,8494,8892,1456,10348,7935332.289,2156,1397,36,4902,3
Région,13 - Laval,9160,10000,2506,12506,8652894.8391,2709,1921,166,4362,2
Région,14 - Lanaudière,13647,14487,3668,18155,12300071.709,4304,3023,109,6208,3
Région,15 - Laurentides,15959,16815,3628,20443,14497538.998,4969,3467,94,7421,8
Région,16 - Montérégie,38511,40693,9944,50637,35542051.406,12025,7263,234,18965,24
Région,17 - Centre-du-Québec,8185,8624,1877,10501,7446477.2091,2731,1561,32,3856,5
Région,99 - Central,7800,7889,23,7912,7000896.4695,3,4,0,5715,2078
Clientèle supplémentée,Allocations_aide_emploi,2677,2745,2237,4982,2145363.2699,2129,66,0,480,2
Clientèle supplémentée,Allocations_soutien,2703,2703,285,2988,2964786.9198,674,25,0,2003,1
Clientèle supplémentée,Revenus_travail,8071,8122,3472,11594,6479399.2085,3348,1983,140,2596,4
Clientèle supplémentée,Prestations_assurance_emploi,166,170,30,200,65471.60998,35,27,3,101,0
Clientèle supplémentée,Contribution_parentale,138,138,0,138,62854.469999,82,56,0,0,0
Clientèle supplémentée,Pension_alimentaire,8546,8552,14292,22844,6938963.4087,3344,3697,24,1481,0
Clientèle supplémentée,RRQ_invalidite,11972,11996,628,12624,5269285.3754,0,0,0,11960,12
Clientèle supplémentée,RRQ_retraite,32773,33397,1357,34754,28649913.856,42,15321,767,16399,244
Clientèle supplémentée,Alternative_jeunesse,0,,0,,0,0,0,0,0,0
Clientèle supplémentée,Revenus_autres,11781,11597,1746,13343,9918726.6375,1510,1745,142,8378,6
Clientèle supplémentée,Total_distinct,72297,73518,21719,95237,58166288.387,10474,21112,920,39522,269
