Caracteristique,Valeur,Nb_menages,Nb_adultes,Nb_enfants,Nb_prestataires,Prestation_totale_versee,Prestations_de_base,Alloc_CTE,Alloc_mixte,Alloc_SS,Prest_base_Heberges
Programme,Programme d'aide sociale,144373,156884,63304,220188,106709542.21,92218,50295,1860,0,0
Programme,Programme de solidarité sociale,123588,130057,7990,138047,125786391.89,0,0,0,121243,2345
Situation familiale,Personnes seules,219590,219590,0,219590,186869823.83,71848,34119,0,111278,2345
Situation familiale,Couples sans enfants,9117,18234,0,18234,10841810.148,2035,988,1332,4762,0
Situation familiale,Familles monoparentales,29130,29130,48937,78067,23248914.956,11744,13910,0,3476,0
Situation familiale,Couples avec enfants,9863,19726,22357,42083,11469438.079,6392,1236,528,1707,0
Situation familiale,Conjoint d'étudiant,261,261,0,261,65947.089998,199,42,0,20,0
Type de résidence,Locataire,114954,127719,45899,173618,98594297.024,42406,26158,1152,45238,0
Type de résidence,Locataire HLM ou coopérative,33563,36651,15697,52348,29568467.745,8359,8247,318,16639,0
Type de résidence,Chambreur ou pensionnaire,104421,106082,7462,113544,92415506.919,36716,13297,216,54192,0
Type de résidence,Temporairement sans adresse,3414,3424,15,3439,2728462.7098,2159,452,1,802,0
Type de résidence,Propriété,8277,9733,2221,11954,7023820.6582,1591,2141,173,4372,0
Type de résidence,En hébergement,3332,3332,0,3332,2165379.0498,987,0,0,0,2345
Région,01 - Bas-Saint-Laurent,6446,6882,1035,7917,5778844.6791,1507,1122,25,3788,4
Région,02 - Saguenay - Lac-St-Jean,8937,9433,1507,10940,7858428.0889,2644,1734,54,4504,1
Région,03 - Capitale-Nationale,17053,17821,3018,20839,14768422.838,5016,3115,77,8837,8
Région,04 - Mauricie,12487,13194,2902,16096,10818312.029,4393,2418,72,5584,20
Région,05 - Estrie,11449,12216,2755,14971,10210166.769,3543,2079,61,5747,19
Région,06 - Île-de-Montréal,85146,93522,29763,123285,73324462.647,37885,16459,772,30007,23
Région,07 - Outaouais,12857,13699,4085,17784,11036660.099,4563,2663,71,5553,7
Région,08 - Abitibi-Témiscamingue,4111,4334,843,5177,3589288.4495,1198,772,17,2124,0
Région,09 - Côte-Nord,2203,2306,411,2717,1926790.9597,640,432,8,1122,1
Région,10 - Nord-du-Québec,1005,1067,391,1458,803592.14993,501,184,2,318,0
Région,11 - Gaspésie - Îles-de-la-Madeleine,3608,3916,601,4517,3286085.6395,834,645,41,2087,1
Région,12 - Chaudières-Appalaches,8628,9053,1475,10528,7666891.8588,2174,1413,43,4993,5
Région,13 - Laval,9304,10168,2645,12813,8332198.8391,2801,1965,168,4369,1
Région,14 - Lanaudière,13769,14642,3752,18394,11763619.528,4407,3003,97,6254,8
Région,15 - Laurentides,16132,17021,3803,20824,13852810.348,5050,3467,103,7505,7
Région,16 - Montérégie,38879,41173,10406,51579,33917026.936,12297,7267,214,19081,20
Région,17 - Centre-du-Québec,8283,8753,1877,10630,7209883.1089,2757,1554,35,3929,8
Région,99 - Central,7664,7741,25,7766,6352449.1396,8,3,0,5441,2212
Clientèle supplémentée,Allocations_aide_emploi,2803,2873,2150,5023,2078833.3098,2326,114,2,357,4
Clientèle supplémentée,Allocations_soutien,2469,2469,241,2710,2592864.4898,644,15,0,1807,3
Clientèle supplémentée,Revenus_travail,11872,11951,4875,16826,8490410.5775,5356,2906,186,3419,5
Clientèle supplémentée,Prestations_assurance_emploi,481,484,145,629,273761.21995,200,157,8,116,0
Clientèle supplémentée,Contribution_parentale,89,89,0,89,41658.289996,57,32,0,0,0
Clientèle supplémentée,Pension_alimentaire,7866,7869,13279,21148,5374577.3674,2940,3569,22,1334,1
Clientèle supplémentée,RRQ_invalidite,11994,12018,587,12605,4683538.0056,0,0,0,11990,4
Clientèle supplémentée,RRQ_retraite,33377,33998,1430,35428,27581430.115,49,15840,787,16440,261
Clientèle supplémentée,Alternative_jeunesse,0,,0,,0,0,0,0,0,0
Clientèle supplémentée,Revenus_autres,12054,11859,1901,13760,9515074.9275,1642,1811,143,8445,13
Clientèle supplémentée,Total_distinct,76081,77395,22137,99532,56436867.765,12407,22249,955,40179,291
