Caracteristique,Valeur,Nb_menages,Nb_adultes,Nb_enfants,Nb_prestataires,Prestation_totale_versee,Prestations_de_base,Alloc_CTE,Alloc_mixte,Alloc_SS,Prest_base_Heberges
Programme,Programme d'aide sociale,154201,167847,68572,236419,109977751.22,100841,51492,1868,0,0
Programme,Programme de solidarité sociale,125372,132073,8149,140222,119920323.34,0,0,0,123065,2307
Situation familiale,Personnes seules,227825,227825,0,227825,183147119.26,77355,35420,0,112743,2307
Situation familiale,Couples sans enfants,9561,19122,0,19122,11016752.768,2108,1152,1335,4966,0
Situation familiale,Familles monoparentales,31030,31030,52046,83076,23603041.996,13939,13500,0,3591,0
Situation familiale,Couples avec enfants,10786,21572,24675,46247,12044873.079,7146,1372,533,1735,0
Situation familiale,Conjoint d'étudiant,371,371,0,371,86287.459997,293,48,0,30,0
Type de résidence,Locataire,123555,137456,50672,188128,100777280.08,48197,27563,1175,46620,0
Type de résidence,Locataire HLM ou coopérative,33575,36813,16196,53009,28043264.995,8881,7960,288,16446,0
Type de résidence,Chambreur ou pensionnaire,106934,108507,7339,115846,89434778.47,38826,13233,211,54664,0
Type de résidence,Temporairement sans adresse,3268,3276,20,3296,2498822.4098,2087,429,0,752,0
Type de résidence,Propriété,8902,10529,2494,13023,7231098.5981,1818,2307,194,4583,0
Type de résidence,En hébergement,3339,3339,0,3339,1912830.01,1032,0,0,0,2307
Région,01 - Bas-Saint-Laurent,6775,7250,1090,8340,5741960.4891,1679,1183,42,3869,2
Région,02 - Saguenay - Lac-St-Jean,9499,10054,1742,11796,7855295.6989,3035,1809,44,4609,2
Région,03 - Capitale-Nationale,18096,18958,3395,22353,14938096.648,5707,3279,78,9026,6
Région,04 - Mauricie,13114,13896,3141,17037,10730278.289,4777,2532,76,5720,9
Région,05 - Estrie,11942,12776,2897,15673,10064039.919,3916,2103,74,5832,17
Région,06 - Île-de-Montréal,88193,96882,31530,128412,72405947.658,40102,16749,730,30590,22
Région,07 - Outaouais,13502,14438,4356,18794,10920783.629,5090,2715,78,5618,1
Région,08 - Abitibi-Témiscamingue,4326,4579,929,5508,3547920.3995,1308,794,14,2209,1
Région,09 - Côte-Nord,2354,2469,473,2942,1931304.7097,758,446,7,1143,0
Région,10 - Nord-du-Québec,1020,1078,430,1508,774619.30993,521,185,2,312,0
Région,11 - Gaspésie - Îles-de-la-Madeleine,3854,4208,712,4920,3352134.7295,935,734,41,2144,0
Région,12 - Chaudières-Appalaches,8936,9402,1555,10957,7453303.8388,2324,1469,51,5088,4
Région,13 - Laval,9761,10721,2999,13720,8301339.3291,3235,1978,184,4362,2
Région,14 - Lanaudière,14486,15427,4039,19466,11633532.468,5064,3034,91,6287,10
Région,15 - Laurentides,16909,17898,4053,21951,13709918.118,5595,3572,100,7633,9
Région,16 - Montérégie,40455,42935,11239,54174,33544733.906,13707,7315,219,19193,21
Région,17 - Centre-du-Québec,8670,9190,2115,11305,7084492.4889,3083,1592,37,3949,9
Région,99 - Central,7681,7759,26,7785,5908372.9396,5,3,0,5481,2192
Clientèle supplémentée,Allocations_aide_emploi,4270,4418,3675,8093,3075830.3198,3556,217,3,490,4
Clientèle supplémentée,Allocations_soutien,2891,2891,307,3198,2787813.7598,790,18,0,2076,7
Clientèle supplémentée,Revenus_travail,12542,12622,5617,18239,8431463.3574,6179,3125,210,3024,4
Clientèle supplémentée,Prestations_assurance_emploi,562,563,155,718,290579.25994,233,190,9,129,1
Clientèle supplémentée,Contribution_parentale,459,459,0,459,192139.23999,364,95,0,0,0
Clientèle supplémentée,Pension_alimentaire,8430,8439,14047,22486,5436407.6573,3534,3430,23,1441,2
Clientèle supplémentée,RRQ_invalidite,12060,12079,584,12663,4201276.866,0,0,0,12054,6
Clientèle supplémentée,RRQ_retraite,33645,34288,1347,35635,26302404.865,39,16362,808,16188,248
Clientèle supplémentée,Alternative_jeunesse,0,,0,,0,0,0,0,0,0
Clientèle supplémentée,Revenus_autres,12154,11956,1908,13864,8921516.9975,1691,1719,140,8587,17
Clientèle supplémentée,Total_distinct,79945,81385,24812,106197,55639957.205,15291,22888,999,40479,288
