Caracteristique,Valeur,Nb_menages,Nb_adultes,Nb_enfants,Nb_prestataires,Prestation_totale_versee,Prestations_de_base,Alloc_CTE,Alloc_mixte,Alloc_SS,Prest_base_Heberges
Programme,Programme d'aide sociale,142504,154879,61583,216462,105479231.66,91865,48820,1819,0,0
Programme,Programme de solidarité sociale,122718,129072,7867,136939,124856204.48,0,0,0,120547,2171
Situation familiale,Personnes seules,217982,217982,0,217982,185232326.25,70901,34145,0,110765,2171
Situation familiale,Couples sans enfants,9029,18058,0,18058,10769968.458,2036,1004,1327,4662,0
Situation familiale,Familles monoparentales,28263,28263,47515,75778,23018800.367,12426,12434,0,3403,0
Situation familiale,Couples avec enfants,9700,19400,21935,41335,11248448.949,6323,1193,492,1692,0
Situation familiale,Conjoint d'étudiant,248,248,0,248,65892.119996,179,44,0,25,0
Type de résidence,Locataire,113074,125658,44781,170439,97320169.015,41968,25160,1135,44811,0
Type de résidence,Locataire HLM ou coopérative,33421,36475,15292,51767,29438672.285,8496,7997,300,16628,0
Type de résidence,Chambreur ou pensionnaire,103994,105673,7157,112830,91933973.609,36668,13111,211,54004,0
Type de résidence,Temporairement sans adresse,3395,3405,16,3421,2700016.0898,2133,461,1,800,0
Type de résidence,Propriété,8152,9554,2204,11758,6942349.9283,1585,2091,172,4304,0
Type de résidence,En hébergement,3186,3186,0,3186,2000255.2198,1015,0,0,0,2171
Région,01 - Bas-Saint-Laurent,6389,6814,988,7802,5744390.0791,1468,1122,30,3765,4
Région,02 - Saguenay - Lac-St-Jean,8819,9314,1436,10750,7757245.7589,2615,1686,54,4458,6
Région,03 - Capitale-Nationale,16855,17596,2930,20526,14625560.458,4923,3061,72,8791,8
Région,04 - Mauricie,12295,12989,2825,15814,10616772.329,4353,2331,72,5525,14
Région,05 - Estrie,11357,12098,2695,14793,10128709.349,3504,2051,61,5719,22
Région,06 - Île-de-Montréal,84465,92852,29139,121991,72716188.587,38044,15868,751,29780,22
Région,07 - Outaouais,12745,13547,3985,17532,10930153.559,4570,2549,71,5550,5
Région,08 - Abitibi-Témiscamingue,4109,4328,837,5165,3572403.5395,1219,763,15,2110,2
Région,09 - Côte-Nord,2166,2266,413,2679,1901267.9597,623,422,6,1115,0
Région,10 - Nord-du-Québec,988,1048,375,1423,789175.83994,505,166,1,316,0
Région,11 - Gaspésie - Îles-de-la-Madeleine,3570,3858,579,4437,3232926.5295,832,622,38,2077,1
Région,12 - Chaudières-Appalaches,8482,8898,1429,10327,7543222.3389,2104,1365,40,4969,4
Région,13 - Laval,9156,10008,2540,12548,8240423.7592,2747,1883,173,4352,1
Région,14 - Lanaudière,13681,14540,3687,18227,11716700.238,4392,2945,101,6236,7
Région,15 - Laurentides,16042,16916,3692,20608,13768169.598,5036,3396,92,7509,9
Région,16 - Montérégie,38444,40689,10025,50714,33616932.766,12204,7046,209,18964,21
Région,17 - Centre-du-Québec,8207,8657,1858,10515,7150449.949,2721,1542,33,3900,11
Région,99 - Central,7452,7533,17,7550,6284743.5096,5,2,0,5411,2034
Clientèle supplémentée,Allocations_aide_emploi,3344,3435,2697,6132,2508218.0698,2694,169,2,474,5
Clientèle supplémentée,Allocations_soutien,2783,2783,298,3081,2856078.9397,737,21,0,2020,5
Clientèle supplémentée,Revenus_travail,11783,11867,4946,16813,8382710.5676,5326,2825,183,3444,5
Clientèle supplémentée,Prestations_assurance_emploi,492,496,161,657,277529.76994,192,170,10,120,0
Clientèle supplémentée,Contribution_parentale,95,95,0,95,44005.479999,58,37,0,0,0
Clientèle supplémentée,Pension_alimentaire,8974,8979,14796,23775,6942956.9386,3681,3660,21,1611,1
Clientèle supplémentée,RRQ_invalidite,11934,11957,599,12556,4669429.0056,0,0,0,11930,4
Clientèle supplémentée,RRQ_retraite,33159,33783,1378,35161,27434455.625,50,15715,774,16378,242
Clientèle supplémentée,Alternative_jeunesse,0,,0,,0,0,0,0,0,0
Clientèle supplémentée,Revenus_autres,12051,11862,1900,13762,9504443.3875,1683,1751,142,8463,12
Clientèle supplémentée,Total_distinct,77200,78559,23867,102426,58039716.727,13418,22113,946,40449,274
