Caracteristique,Valeur,Nb_menages,Nb_adultes,Nb_enfants,Nb_prestataires,Prestation_totale_versee,Prestations_de_base,Alloc_CTE,Alloc_mixte,Alloc_SS,Prest_base_Heberges
Programme,Programme d'aide sociale,143523,155921,61859,217780,109485299.6,92656,49040,1827,0,0
Programme,Programme de solidarité sociale,122813,129166,7877,137043,133051252.22,0,0,0,120507,2306
Situation familiale,Personnes seules,218940,218940,0,218940,195894760.42,71850,34067,0,110717,2306
Situation familiale,Couples sans enfants,9023,18046,0,18046,11045713.828,2047,980,1332,4664,0
Situation familiale,Familles monoparentales,28416,28416,47776,76192,23914326.277,12250,12752,0,3414,0
Situation familiale,Couples avec enfants,9728,19456,21960,41416,11617586.909,6343,1201,495,1689,0
Situation familiale,Conjoint d'étudiant,229,229,0,229,64164.389996,166,40,0,23,0
Type de résidence,Locataire,112787,125371,44943,170314,101473448.04,41890,25197,1150,44550,0
Type de résidence,Locataire HLM ou coopérative,33678,36708,15398,52106,31232233.165,8552,8105,300,16721,0
Type de résidence,Chambreur ou pensionnaire,105005,106740,7212,113952,97576634.079,37482,13182,212,54129,0
Type de résidence,Temporairement sans adresse,3444,3452,11,3463,2833387.7697,2173,461,0,810,0
Type de résidence,Propriété,8107,9501,2172,11673,7235553.7483,1550,2095,165,4297,0
Type de résidence,En hébergement,3315,3315,0,3315,2185295.0294,1009,0,0,0,2306
Région,01 - Bas-Saint-Laurent,6358,6774,987,7761,6020357.9591,1420,1143,26,3766,3
Région,02 - Saguenay - Lac-St-Jean,8834,9317,1421,10738,8190461.0189,2639,1692,56,4445,2
Région,03 - Capitale-Nationale,16881,17630,2926,20556,15406950.718,4933,3083,75,8780,10
Région,04 - Mauricie,12328,13019,2861,15880,11212773.069,4339,2399,70,5506,14
Région,05 - Estrie,11401,12146,2709,14855,10686429.669,3556,2036,61,5728,20
Région,06 - Île-de-Montréal,85066,93527,29291,122818,76337531.946,38719,15845,757,29727,18
Région,07 - Outaouais,12769,13565,3961,17526,11484923.509,4563,2567,70,5566,3
Région,08 - Abitibi-Témiscamingue,4134,4357,847,5204,3783149.0695,1241,776,16,2099,2
Région,09 - Côte-Nord,2163,2261,422,2683,1984440.2297,646,405,7,1104,1
Région,10 - Nord-du-Québec,982,1041,364,1405,815704.81994,511,157,1,313,0
Région,11 - Gaspésie - Îles-de-la-Madeleine,3546,3831,572,4403,3379618.9195,817,625,36,2068,0
Région,12 - Chaudières-Appalaches,8530,8947,1437,10384,7979700.3789,2131,1397,40,4957,5
Région,13 - Laval,9154,9990,2543,12533,8623897.6391,2696,1907,165,4381,5
Région,14 - Lanaudière,13711,14576,3725,18301,12325310.778,4395,2954,105,6250,7
Région,15 - Laurentides,16080,16951,3690,20641,14524844.288,5065,3426,88,7492,9
Région,16 - Montérégie,38576,40802,10095,50897,35439549.346,12227,7113,221,18989,26
Région,17 - Centre-du-Québec,8213,8659,1863,10522,7528344.4489,2749,1515,33,3905,11
Région,99 - Central,7610,7694,22,7716,6812564.0196,9,0,0,5431,2170
Clientèle supplémentée,Allocations_aide_emploi,2955,3029,2450,5479,2319219.3999,2312,147,3,489,4
Clientèle supplémentée,Allocations_soutien,2797,2797,313,3110,3057656.7197,719,22,0,2051,5
Clientèle supplémentée,Revenus_travail,11347,11429,4772,16201,8545514.0175,4938,2748,190,3467,4
Clientèle supplémentée,Prestations_assurance_emploi,453,455,133,588,246201.33995,185,155,6,107,0
Clientèle supplémentée,Contribution_parentale,96,96,0,96,46377.31,57,39,0,0,0
Clientèle supplémentée,Pension_alimentaire,8794,8799,14659,23458,7069448.9387,3525,3696,22,1550,1
Clientèle supplémentée,RRQ_invalidite,11972,11997,619,12616,5422365.9952,0,0,0,11962,10
Clientèle supplémentée,RRQ_retraite,33044,33670,1355,35025,28867068.235,43,15574,764,16411,252
Clientèle supplémentée,Alternative_jeunesse,0,,0,,0,0,0,0,0,0
Clientèle supplémentée,Revenus_autres,12124,11926,1905,13831,10135775.167,1652,1789,147,8525,11
Clientèle supplémentée,Total_distinct,76278,77602,23399,101001,60926314.286,12557,21983,948,40503,287
