Caracteristique,Valeur,Nb_menages,Nb_adultes,Nb_enfants,Nb_prestataires,Prestation_totale_versee,Prestations_de_base,Alloc_CTE,Alloc_mixte,Alloc_SS,Prest_base_Heberges
Programme,Programme d'aide sociale,151359,164638,66515,231153,111537004.74,98098,51409,1852,0,0
Programme,Programme de solidarité sociale,125349,132022,8172,140194,127713710.03,0,0,0,122953,2396
Situation familiale,Personnes seules,226092,226092,0,226092,191849295.29,75749,35270,0,112677,2396
Situation familiale,Couples sans enfants,9457,18914,0,18914,11231557.218,2121,1086,1327,4923,0
Situation familiale,Familles monoparentales,30327,30327,50732,81059,23931297.575,13061,13695,0,3571,0
Situation familiale,Couples avec enfants,10495,20990,23955,44945,12153039.379,6902,1318,525,1750,0
Situation familiale,Conjoint d'étudiant,337,337,0,337,85525.309997,265,40,0,32,0
Type de résidence,Locataire,120520,134066,48797,182863,102958859.27,46085,27071,1167,46197,0
Type de résidence,Locataire HLM ou coopérative,33793,37007,16121,53128,29731795.205,8815,8116,287,16575,0
Type de résidence,Chambreur ou pensionnaire,107024,108608,7325,115933,94361982.909,38382,13539,207,54896,0
Type de résidence,Temporairement sans adresse,3233,3241,22,3263,2597351.2498,2053,416,0,764,0
Type de résidence,Propriété,8726,10326,2422,12748,7459452.8081,1747,2267,191,4521,0
Type de résidence,En hébergement,3412,3412,0,3412,2141273.3297,1016,0,0,0,2396
Région,01 - Bas-Saint-Laurent,6702,7180,1097,8277,5985829.9291,1617,1189,37,3856,3
Région,02 - Saguenay - Lac-St-Jean,9397,9927,1665,11592,8236607.2988,2913,1834,48,4600,2
Région,03 - Capitale-Nationale,17898,18740,3276,22016,15432071.628,5547,3222,80,9039,10
Région,04 - Mauricie,12918,13699,3111,16810,11063507.599,4673,2493,76,5667,9
Région,05 - Estrie,11880,12715,2906,15621,10541974.218,3813,2145,64,5836,22
Région,06 - Île-de-Montréal,87008,95569,30665,126234,74878943.777,39117,16664,736,30471,20
Région,07 - Outaouais,13338,14236,4258,18494,11396535.579,4930,2714,69,5624,1
Région,08 - Abitibi-Témiscamingue,4217,4463,867,5330,3670698.5595,1252,782,14,2167,2
Région,09 - Côte-Nord,2324,2436,446,2882,2004166.5197,743,432,11,1138,0
Région,10 - Nord-du-Québec,1049,1110,408,1518,832181.61993,538,186,3,321,1
Région,11 - Gaspésie - Îles-de-la-Madeleine,3791,4127,664,4791,3448074.3095,903,717,43,2127,1
Région,12 - Chaudières-Appalaches,8928,9400,1555,10955,7877148.6188,2350,1450,52,5068,8
Région,13 - Laval,9583,10510,2839,13349,8554452.819,3041,1989,182,4369,2
Région,14 - Lanaudière,14268,15193,3915,19108,12135202.408,4844,3049,96,6272,7
Région,15 - Laurentides,16825,17796,4052,21848,14378798.358,5511,3579,103,7622,10
Région,16 - Montérégie,40092,42479,10832,53311,34820692.526,13269,7386,207,19217,13
Région,17 - Centre-du-Québec,8616,9130,2106,11236,7459215.8289,3033,1569,31,3974,9
Région,99 - Central,7874,7950,25,7975,6534613.1795,4,9,0,5585,2276
Clientèle supplémentée,Allocations_aide_emploi,4312,4439,3701,8140,3207964.0597,3569,212,7,520,4
Clientèle supplémentée,Allocations_soutien,2839,2839,332,3171,2907210.2197,776,16,0,2042,5
Clientèle supplémentée,Revenus_travail,12152,12224,5529,17753,8744811.5874,5758,3032,195,3161,6
Clientèle supplémentée,Prestations_assurance_emploi,632,636,151,787,345781.54992,269,200,6,157,0
Clientèle supplémentée,Contribution_parentale,411,411,0,411,181716.89,320,91,0,0,0
Clientèle supplémentée,Pension_alimentaire,8185,8191,13669,21860,5514341.3172,3262,3474,26,1422,1
Clientèle supplémentée,RRQ_invalidite,12222,12245,582,12827,4795521.8855,0,0,0,12215,7
Clientèle supplémentée,RRQ_retraite,33512,34140,1384,35524,27582904.115,44,16152,787,16242,287
Clientèle supplémentée,Alternative_jeunesse,0,,0,,0,0,0,0,0,0
Clientèle supplémentée,Revenus_autres,12149,11963,1912,13875,9577687.9875,1744,1713,148,8524,20
Clientèle supplémentée,Total_distinct,79295,80693,24493,105186,58622744.225,14698,22679,970,40620,328
