Caracteristique,Valeur,Nb_menages,Nb_adultes,Nb_enfants,Nb_prestataires,Prestation_totale_versee,Prestations_de_base,Alloc_CTE,Alloc_mixte,Alloc_SS,Prest_base_Heberges
Programme,Programme d'aide sociale,153626,167140,67969,235109,113112875.16,100234,51542,1850,0,0
Programme,Programme de solidarité sociale,125493,132239,8185,140424,128229122.89,0,0,0,123131,2362
Situation familiale,Personnes seules,227662,227662,0,227662,193241234.72,77188,35346,0,112766,2362
Situation familiale,Couples sans enfants,9531,19062,0,19062,11338162.438,2120,1098,1323,4990,0
Situation familiale,Familles monoparentales,30860,30860,51664,82524,24302606.826,13553,13720,0,3587,0
Situation familiale,Couples avec enfants,10729,21458,24490,45948,12374596.859,7108,1338,527,1756,0
Situation familiale,Conjoint d'étudiant,337,337,0,337,85397.209998,265,40,0,32,0
Type de résidence,Locataire,122517,136317,50151,186468,104620874.53,47485,27362,1165,46505,0
Type de résidence,Locataire HLM ou coopérative,33844,37079,16235,53314,29790600.105,8922,8085,289,16548,0
Type de résidence,Chambreur ou pensionnaire,107305,108902,7324,116226,94676855.109,38941,13409,201,54754,0
Type de résidence,Temporairement sans adresse,3240,3250,14,3264,2581008.0198,2059,425,0,756,0
Type de résidence,Propriété,8827,10445,2430,12875,7544788.5881,1803,2261,195,4568,0
Type de résidence,En hébergement,3386,3386,0,3386,2127871.6997,1024,0,0,0,2362
Région,01 - Bas-Saint-Laurent,6783,7268,1080,8348,6009835.2491,1658,1198,36,3890,1
Région,02 - Saguenay - Lac-St-Jean,9470,10019,1710,11729,8274605.2589,3007,1813,49,4598,3
Région,03 - Capitale-Nationale,18044,18915,3365,22280,15665938.448,5653,3263,78,9044,6
Région,04 - Mauricie,13017,13787,3105,16892,11184488.929,4717,2533,74,5682,11
Région,05 - Estrie,11954,12802,2960,15762,10597863.738,3895,2109,73,5855,22
Région,06 - Île-de-Montréal,88041,96754,31346,128100,75637746.297,39958,16753,735,30573,22
Région,07 - Outaouais,13480,14396,4354,18750,11559717.619,5029,2759,67,5625,0
Région,08 - Abitibi-Témiscamingue,4308,4555,891,5446,3731033.9695,1314,775,12,2205,2
Région,09 - Côte-Nord,2329,2436,451,2887,2009847.5697,745,436,8,1140,0
Région,10 - Nord-du-Québec,1053,1111,430,1541,825286.47992,540,192,2,319,0
Région,11 - Gaspésie - Îles-de-la-Madeleine,3834,4186,682,4868,3496385.6595,919,729,45,2140,1
Région,12 - Chaudières-Appalaches,8971,9436,1590,11026,7938097.4388,2328,1489,48,5095,11
Région,13 - Laval,9674,10605,2918,13523,8628372.419,3165,1966,182,4360,1
Région,14 - Lanaudière,14450,15405,3987,19392,12217279.748,4973,3078,90,6302,7
Région,15 - Laurentides,16916,17883,4026,21909,14487211.568,5624,3548,105,7630,9
Région,16 - Montérégie,40417,42849,11138,53987,35177398.746,13624,7321,215,19235,22
Région,17 - Centre-du-Québec,8669,9186,2097,11283,7500789.4689,3079,1576,31,3976,7
Région,99 - Central,7709,7786,24,7810,6400099.4495,6,4,0,5462,2237
Clientèle supplémentée,Allocations_aide_emploi,3728,3860,3435,7295,2853060.5198,3101,177,1,445,4
Clientèle supplémentée,Allocations_soutien,2829,2829,327,3156,2890734.5998,779,17,0,2028,5
Clientèle supplémentée,Revenus_travail,12192,12260,5531,17791,8738465.7074,5814,3105,191,3076,6
Clientèle supplémentée,Prestations_assurance_emploi,566,570,181,751,297235.08992,214,186,14,151,1
Clientèle supplémentée,Contribution_parentale,430,430,0,430,192701.46,335,95,0,0,0
Clientèle supplémentée,Pension_alimentaire,8350,8357,13968,22325,5627669.7974,3436,3455,18,1439,2
Clientèle supplémentée,RRQ_invalidite,12318,12342,578,12920,5004035.1654,0,0,0,12311,7
Clientèle supplémentée,RRQ_retraite,33649,34291,1362,35653,27789019.235,31,16297,788,16266,267
Clientèle supplémentée,Alternative_jeunesse,0,,0,,0,0,0,0,0,0
Clientèle supplémentée,Revenus_autres,12079,11883,1839,13722,9543879.9274,1693,1699,128,8543,16
Clientèle supplémentée,Total_distinct,79060,80463,24483,104946,58696288.055,14398,22808,959,40589,306
