Caracteristique,Valeur,Nb_menages,Nb_adultes,Nb_enfants,Nb_prestataires,Prestation_totale_versee,Prestations_de_base,Alloc_CTE,Alloc_mixte,Alloc_SS,Prest_base_Heberges
Programme,Programme d'aide sociale,138858,150627,59478,210105,107237058.81,87910,49149,1799,0,0
Programme,Programme de solidarité sociale,121249,127304,7640,134944,131601043.92,0,0,0,119133,2116
Situation familiale,Personnes seules,214601,214601,0,214601,193530072.1,68504,34266,0,109715,2116
Situation familiale,Couples sans enfants,8648,17296,0,17296,10672855.758,1976,912,1306,4454,0
Situation familiale,Familles monoparentales,27453,27453,46339,73792,23405415.587,11283,12832,0,3338,0
Situation familiale,Couples avec enfants,9176,18352,20779,39131,11163443.869,5979,1103,493,1601,0
Situation familiale,Conjoint d'étudiant,229,229,0,229,66315.419998,168,36,0,25,0
Type de résidence,Locataire,108479,120489,43101,163590,98645046.406,39032,24866,1126,43455,0
Type de résidence,Locataire HLM ou coopérative,33137,36033,15229,51262,30869935.715,8105,8166,290,16576,0
Type de résidence,Chambreur ou pensionnaire,104476,106070,6714,112784,97853922.089,36564,13625,216,54071,0
Type de résidence,Temporairement sans adresse,3447,3456,27,3483,2882428.8598,2126,498,0,823,0
Type de résidence,Propriété,7812,9127,2047,11174,7020807.9584,1443,1994,167,4208,0
Type de résidence,En hébergement,2756,2756,0,2756,1565961.7096,640,0,0,0,2116
Région,01 - Bas-Saint-Laurent,6199,6589,967,7556,5892974.9292,1355,1144,26,3673,1
Région,02 - Saguenay - Lac-St-Jean,8602,9053,1389,10442,8017801.729,2470,1685,53,4393,1
Région,03 - Capitale-Nationale,16504,17210,2845,20055,15315527.688,4677,3112,68,8644,3
Région,04 - Mauricie,12019,12675,2788,15463,11050964.889,4104,2362,74,5473,6
Région,05 - Estrie,11157,11878,2596,14474,10471140.559,3389,2040,64,5640,24
Région,06 - Île-de-Montréal,82426,90462,27867,118329,74821761.007,36732,15734,738,29211,11
Région,07 - Outaouais,12607,13348,3907,17255,11362937.739,4377,2658,59,5512,1
Région,08 - Abitibi-Témiscamingue,4062,4275,839,5114,3746327.6595,1213,777,16,2055,1
Région,09 - Côte-Nord,2121,2218,414,2632,1942294.6798,619,412,6,1084,0
Région,10 - Nord-du-Québec,991,1050,391,1441,832210.43994,504,170,1,316,0
Région,11 - Gaspésie - Îles-de-la-Madeleine,3462,3733,571,4304,3330260.5696,753,638,32,2039,0
Région,12 - Chaudières-Appalaches,8351,8742,1417,10159,7859905.319,2048,1372,34,4893,4
Région,13 - Laval,8992,9811,2433,12244,8525588.0992,2575,1921,167,4325,4
Région,14 - Lanaudière,13332,14155,3528,17683,12082026.019,4117,2928,107,6174,6
Région,15 - Laurentides,15678,16507,3544,20051,14289731.318,4786,3410,94,7379,9
Région,16 - Montérégie,37882,39995,9773,49768,35045249.066,11573,7232,225,18837,15
Région,17 - Centre-du-Québec,8038,8461,1831,10292,7352911.949,2614,1550,35,3836,3
Région,99 - Central,7684,7769,18,7787,6898489.0795,4,4,0,5649,2027
Clientèle supplémentée,Allocations_aide_emploi,2640,2705,2186,4891,2115066.7399,2066,91,0,481,2
Clientèle supplémentée,Allocations_soutien,2634,2634,279,2913,2919043.7698,649,24,0,1960,1
Clientèle supplémentée,Revenus_travail,7797,7843,3252,11095,6276604.5886,3193,1950,128,2522,4
Clientèle supplémentée,Prestations_assurance_emploi,229,233,51,284,97927.869978,47,46,2,134,0
Clientèle supplémentée,Contribution_parentale,133,133,0,133,60338.27,74,59,0,0,0
Clientèle supplémentée,Pension_alimentaire,8359,8365,14013,22378,6798288.9888,3223,3665,21,1450,0
Clientèle supplémentée,RRQ_invalidite,11895,11919,619,12538,5246677.2354,0,0,0,11887,8
Clientèle supplémentée,RRQ_retraite,32517,33138,1312,34450,28514052.446,39,15163,750,16327,238
Clientèle supplémentée,Alternative_jeunesse,0,,0,,0,0,0,0,0,0
Clientèle supplémentée,Revenus_autres,11701,11532,1700,13232,9903108.2775,1464,1767,137,8323,10
Clientèle supplémentée,Total_distinct,71417,72626,21169,93795,57584918.338,10088,20960,891,39215,263
