Caracteristique,Valeur,Nb_menages,Nb_adultes,Nb_enfants,Nb_prestataires,Prestation_totale_versee,Prestations_de_base,Alloc_CTE,Alloc_mixte,Alloc_SS,Prest_base_Heberges
Programme,Programme d'aide sociale,180366,196639,80727,277366,122467453.59,121442,56844,2080,0,0
Programme,Programme de solidarité sociale,126742,133994,8511,142505,111512349.02,0,0,0,124322,2420
Situation familiale,Personnes seules,246843,246843,0,246843,182874948.79,93314,37738,0,113371,2420
Situation familiale,Couples sans enfants,10410,20820,0,20820,11333688.618,2212,1408,1451,5339,0
Situation familiale,Familles monoparentales,36023,36023,59119,95142,25881104.555,16456,15897,0,3670,0
Situation familiale,Couples avec enfants,13115,26230,30119,56349,13741151.289,8852,1721,629,1913,0
Situation familiale,Conjoint d'étudiant,717,717,0,717,148909.36,608,80,0,29,0
Type de résidence,Locataire,142053,158635,60659,219294,107612694.52,60992,31578,1290,48193,0
Type de résidence,Locataire HLM ou coopérative,33526,37117,17830,54947,26209480.545,9516,8083,288,15639,0
Type de résidence,Chambreur ou pensionnaire,114486,115669,7550,123219,87997396.032,45256,14113,222,54895,0
Type de résidence,Temporairement sans adresse,3046,3052,5,3057,2178346.4998,2034,351,0,661,0
Type de résidence,Propriété,10574,12737,3194,15931,8050116.6379,2641,2719,280,4934,0
Type de résidence,En hébergement,3423,3423,0,3423,1931768.3696,1003,0,0,0,2420
Région,01 - Bas-Saint-Laurent,7577,8187,1355,9542,5946537.339,2113,1322,50,4091,1
Région,02 - Saguenay - Lac-St-Jean,10745,11445,2023,13468,8219001.7788,3991,1992,49,4710,3
Région,03 - Capitale-Nationale,20253,21386,4141,25527,15344435.748,7159,3625,94,9366,9
Région,04 - Mauricie,14781,15753,3783,19536,11249843.568,6015,2872,96,5790,8
Région,05 - Estrie,13435,14502,3678,18180,10423186.289,4923,2459,86,5941,26
Région,06 - Île-de-Montréal,93931,102717,34646,137363,71513587.58,43564,18489,761,31097,20
Région,07 - Outaouais,14984,16164,5108,21272,11316160.629,6456,2871,93,5562,2
Région,08 - Abitibi-Témiscamingue,5048,5389,1215,6604,3827187.1494,1809,916,26,2297,0
Région,09 - Côte-Nord,2715,2882,616,3498,2087187.6097,1002,513,12,1188,0
Région,10 - Nord-du-Québec,1001,1067,477,1544,732538.07992,466,219,3,313,0
Région,11 - Gaspésie - Îles-de-la-Madeleine,4468,4919,871,5790,3538206.0394,1298,862,48,2260,0
Région,12 - Chaudières-Appalaches,9889,10466,1883,12349,7631382.0187,2839,1731,70,5242,7
Région,13 - Laval,10662,11737,3704,15441,8280455.7791,4228,2083,164,4182,5
Région,14 - Lanaudière,15983,17121,4733,21854,11977820.508,6499,3280,117,6076,11
Région,15 - Laurentides,18765,20051,4919,24970,14162245.018,7505,3745,117,7386,12
Région,16 - Montérégie,45088,48311,13486,61797,34652313.535,17641,8126,238,19060,23
Région,17 - Centre-du-Québec,9794,10466,2582,13048,7429640.0288,3923,1733,56,4069,13
Région,99 - Central,7989,8070,18,8088,5648073.9096,11,6,0,5692,2280
Clientèle supplémentée,Allocations_aide_emploi,6672,6927,5245,12172,4543907.0896,5876,224,3,566,3
Clientèle supplémentée,Allocations_soutien,2846,2846,380,3226,2557069.3998,871,23,0,1947,5
Clientèle supplémentée,Revenus_travail,17296,17386,8104,25490,11400147.057,8990,4012,284,4005,5
Clientèle supplémentée,Prestations_assurance_emploi,816,820,270,1090,425044.59989,410,252,20,133,1
Clientèle supplémentée,Contribution_parentale,861,861,0,861,346656.87998,768,93,0,0,0
Clientèle supplémentée,Pension_alimentaire,9851,9856,16351,26207,6070127.2169,4423,3934,43,1448,3
Clientèle supplémentée,RRQ_invalidite,11983,11999,613,12612,3502978.1969,2,1,0,11964,16
Clientèle supplémentée,RRQ_retraite,33362,34073,1261,35334,24161485.535,39,16801,956,15317,249
Clientèle supplémentée,Alternative_jeunesse,1,2,0,2,114,0,1,0,0,0
Clientèle supplémentée,Revenus_autres,13022,12792,2340,15132,8868284.5874,2265,1901,152,8689,15
Clientèle supplémentée,Total_distinct,88435,90244,30926,121170,57310592.835,21953,24625,1177,40386,294
