Caracteristique,Valeur,Nb_menages,Nb_adultes,Nb_enfants,Nb_prestataires,Prestation_totale_versee,Prestations_de_base,Alloc_CTE,Alloc_mixte,Alloc_SS,Prest_base_Heberges
Programme,Programme d'aide sociale,145764,158340,63905,222245,111218259.28,93095,50787,1882,0,0
Programme,Programme de solidarité sociale,123849,130341,8055,138396,126515104.25,0,0,0,121497,2352
Situation familiale,Personnes seules,220878,220878,0,220878,187713630.38,72613,34426,0,111487,2352
Situation familiale,Couples sans enfants,9150,18300,0,18300,10877764.918,2036,988,1359,4767,0
Situation familiale,Familles monoparentales,29408,29408,49406,78814,26276943.675,11825,14085,0,3498,0
Situation familiale,Couples avec enfants,9918,19836,22554,42390,12799750.499,6423,1247,523,1725,0
Situation familiale,Conjoint d'étudiant,259,259,0,259,65274.059996,198,41,0,20,0
Type de résidence,Locataire,115787,128595,46308,174903,101968831.73,42805,26405,1167,45410,0
Type de résidence,Locataire HLM ou coopérative,33707,36800,15820,52620,30648701.854,8363,8368,319,16657,0
Type de résidence,Chambreur ou pensionnaire,104999,106670,7526,114196,93133243.299,37124,13430,217,54228,0
Type de résidence,Temporairement sans adresse,3404,3413,21,3434,2716202.7598,2173,440,1,790,0
Type de résidence,Propriété,8380,9867,2285,12152,7253236.6682,1646,2144,178,4412,0
Type de résidence,En hébergement,3336,3336,0,3336,2013147.2197,984,0,0,0,2352
Région,01 - Bas-Saint-Laurent,6496,6937,1061,7998,5880973.3591,1539,1137,28,3790,2
Région,02 - Saguenay - Lac-St-Jean,9031,9535,1543,11078,8020189.5289,2672,1784,56,4517,2
Région,03 - Capitale-Nationale,17232,18008,3115,21123,15083427.458,5139,3153,80,8855,5
Région,04 - Mauricie,12623,13341,3005,16346,11039618.019,4469,2464,75,5597,18
Région,05 - Estrie,11528,12308,2769,15077,10417485.648,3583,2112,68,5747,18
Région,06 - Île-de-Montréal,85406,93736,29780,123516,75277023.787,37988,16585,765,30045,23
Région,07 - Outaouais,12980,13828,4131,17959,11314999.869,4642,2696,71,5566,5
Région,08 - Abitibi-Témiscamingue,4102,4326,859,5185,3638776.1395,1185,775,16,2126,0
Région,09 - Côte-Nord,2221,2324,429,2753,1959667.8397,658,430,8,1124,1
Région,10 - Nord-du-Québec,1010,1072,384,1456,826871.18993,510,180,1,319,0
Région,11 - Gaspésie - Îles-de-la-Madeleine,3606,3913,600,4513,3323796.0695,835,639,40,2091,1
Région,12 - Chaudières-Appalaches,8686,9116,1496,10612,7766160.8588,2213,1427,45,4999,2
Région,13 - Laval,9322,10197,2649,12846,8499370.5191,2821,1961,172,4368,0
Région,14 - Lanaudière,13885,14783,3792,18575,12065715.328,4476,3018,98,6284,9
Région,15 - Laurentides,16233,17151,3920,21071,14131163.828,5067,3528,103,7528,7
Région,16 - Montérégie,39188,41489,10495,51984,34717515.136,12507,7329,221,19107,24
Région,17 - Centre-du-Québec,8356,8832,1907,10739,7362485.6689,2784,1569,35,3958,10
Région,99 - Central,7708,7785,25,7810,6408123.2896,7,0,0,5476,2225
Clientèle supplémentée,Allocations_aide_emploi,2295,2357,1910,4267,1858295.2798,1824,135,3,330,3
Clientèle supplémentée,Allocations_soutien,2338,2338,228,2566,2472270.7198,639,15,0,1680,4
Clientèle supplémentée,Revenus_travail,11695,11769,5047,16816,8640949.8675,5304,2869,174,3343,5
Clientèle supplémentée,Prestations_assurance_emploi,507,509,154,663,288383.55995,220,155,9,123,0
Clientèle supplémentée,Contribution_parentale,87,87,0,87,39893.709996,55,32,0,0,0
Clientèle supplémentée,Pension_alimentaire,8215,8220,13843,22063,6417678.8072,3063,3694,21,1437,0
Clientèle supplémentée,RRQ_invalidite,12075,12100,613,12713,4745809.9356,0,0,0,12066,9
Clientèle supplémentée,RRQ_retraite,33489,34113,1402,35515,27727199.685,49,15925,803,16446,266
Clientèle supplémentée,Alternative_jeunesse,0,,0,,0,0,0,0,0,0
Clientèle supplémentée,Revenus_autres,12009,11805,1936,13741,9533432.2874,1651,1785,149,8409,15
Clientèle supplémentée,Total_distinct,75971,77247,22660,99907,57567126.775,12058,22457,963,40191,302
