Caracteristique,Valeur,Nb_menages,Nb_adultes,Nb_enfants,Nb_prestataires,Prestation_totale_versee,Prestations_de_base,Alloc_CTE,Alloc_mixte,Alloc_SS,Prest_base_Heberges
Programme,Programme d'aide sociale,155627,169479,70273,239752,111131298.2,102193,51568,1866,0,0
Programme,Programme de solidarité sociale,125538,132272,8284,140556,120347816.45,0,0,0,123337,2201
Situation familiale,Personnes seules,228541,228541,0,228541,183863249.53,78007,35406,0,112927,2201
Situation familiale,Couples sans enfants,9584,19168,0,19168,11045369.798,2114,1168,1329,4973,0
Situation familiale,Familles monoparentales,31660,31660,53214,84874,24178408.416,14502,13515,0,3643,0
Situation familiale,Couples avec enfants,11002,22004,25343,47347,12301504.559,7275,1429,537,1761,0
Situation familiale,Conjoint d'étudiant,378,378,0,378,90582.349997,295,50,0,33,0
Type de résidence,Locataire,124778,138907,51996,190903,101833960.04,49187,27644,1165,46782,0
Type de résidence,Locataire HLM ou coopérative,33606,36867,16484,53351,28161893.805,8925,7946,294,16441,0
Type de résidence,Chambreur ou pensionnaire,107360,108906,7503,116409,89807541.2,39157,13235,214,54754,0
Type de résidence,Temporairement sans adresse,3255,3264,27,3291,2490525.4098,2079,427,0,749,0
Type de résidence,Propriété,8967,10608,2547,13155,7298841.9082,1847,2316,193,4611,0
Type de résidence,En hébergement,3199,3199,0,3199,1886352.2899,998,0,0,0,2201
Région,01 - Bas-Saint-Laurent,6800,7283,1105,8388,5764179.979,1681,1186,40,3892,1
Région,02 - Saguenay - Lac-St-Jean,9545,10107,1739,11846,7911048.7489,3062,1816,51,4613,3
Région,03 - Capitale-Nationale,18172,19047,3460,22507,15005488.948,5734,3287,74,9070,7
Région,04 - Mauricie,13218,14016,3211,17227,10803859.499,4901,2514,74,5718,11
Région,05 - Estrie,12061,12915,2980,15895,10165518.709,4001,2124,73,5843,20
Région,06 - Île-de-Montréal,88806,97548,32344,129892,72933638.088,40582,16779,738,30688,19
Région,07 - Outaouais,13577,14529,4517,19046,11057815.909,5172,2694,75,5635,1
Région,08 - Abitibi-Témiscamingue,4382,4643,962,5605,3601884.2695,1345,793,15,2227,2
Région,09 - Côte-Nord,2366,2486,477,2963,1939099.8797,779,439,8,1140,0
Région,10 - Nord-du-Québec,1013,1074,435,1509,772794.90992,514,182,2,315,0
Région,11 - Gaspésie - Îles-de-la-Madeleine,3870,4229,709,4938,3357814.0695,926,741,41,2162,0
Région,12 - Chaudières-Appalaches,8985,9450,1581,11031,7491475.7488,2379,1459,50,5091,6
Région,13 - Laval,9881,10866,3112,13978,8381173.189,3320,2000,179,4380,2
Région,14 - Lanaudière,14645,15616,4174,19790,11690863.738,5158,3099,89,6292,7
Région,15 - Laurentides,16875,17867,4110,21977,13739252.338,5649,3521,102,7594,9
Région,16 - Montérégie,40677,43183,11438,54621,33785349.706,13885,7321,213,19237,21
Région,17 - Centre-du-Québec,8712,9238,2177,11415,7174425.6089,3099,1607,42,3957,7
Région,99 - Central,7580,7654,26,7680,5903431.3196,6,6,0,5483,2085
Clientèle supplémentée,Allocations_aide_emploi,4074,4216,3515,7731,2920730.5098,3462,166,3,440,3
Clientèle supplémentée,Allocations_soutien,2809,2809,301,3110,2711032.5198,778,17,0,2007,7
Clientèle supplémentée,Revenus_travail,12820,12913,5933,18846,8682504.4972,6398,3132,210,3075,5
Clientèle supplémentée,Prestations_assurance_emploi,537,538,141,679,285612.16996,224,193,9,111,0
Clientèle supplémentée,Contribution_parentale,486,486,0,486,205305.77999,379,107,0,0,0
Clientèle supplémentée,Pension_alimentaire,8527,8535,14354,22889,5549707.2473,3660,3399,28,1439,1
Clientèle supplémentée,RRQ_invalidite,12052,12070,592,12662,4212747.786,0,0,0,12046,6
Clientèle supplémentée,RRQ_retraite,33602,34252,1362,35614,26275728.035,37,16394,808,16128,235
Clientèle supplémentée,Alternative_jeunesse,0,,0,,0,0,0,0,0,0
Clientèle supplémentée,Revenus_autres,12114,11908,1899,13807,8927012.8175,1672,1699,142,8585,16
Clientèle supplémentée,Total_distinct,80015,81468,25305,106773,55785484.365,15500,22872,1000,40370,273
