Laboratoire;Domaines_accrÃ©dites;Region;Numero_identification;Adresse;Ville;Code_Postal;Telephone;Telecopieur
Agro-Enviro-Lab;1, 2, 4, 18, 21, 22, 23, 27, 30, 31, 40, 41, 85, 96, 1001, 1006, 1009, 1010, 1011, 1012, 1020, 1021;Bas-Saint-Laurent;459;1642, rue de la Ferme;Sainte-Anne-de-la-PocatiÃ¨re (QuÃ©bec);G0R 1Z0; (418) 867-8883; (418) 856-6718
H2Lab inc.;1, 2, 3, 4, 6, 18, 26, 30, 31, 35, 36, 40, 41, 42, 49, 66, 67, 217, 237, 239;Bas-Saint-Laurent;294;56, MontÃ©e Industrielle-et-Commerciale;Rimouski (QuÃ©bec);G5M 1B1; (418) 723-8660; (418) 723-8988
GenoChemia Biotechnologies inc.;606;Saguenay/Lac-Saint-Jean;508;628, boulevard Saguenay Ouest;Chicoutimi (QuÃ©bec);G7JÂ 1H4; (581) 222-3232; 
AGAT Laboratoires;1, 2, 3, 4, 10, 11, 12, 13, 14, 16, 21, 23, 26, 28, 30, 31, 35, 36, 40, 41, 42, 43, 51, 60, 61, 63, 64, 67, 69, 70, 74, 88, 91, 92, 109, 120, 123, 124, 140, 150, 157, 202, 209, 210, 212, 213, 214, 215, 216, 217, 232, 237, 242, 320, 340;Capitale Nationale;405;350, rue Franquet, bureau 10;QuÃ©bec (QuÃ©bec);G1P 4P3; (514) 337-1082; 418 653-2335
Bureau Veritas Canada (2019) inc.;1, 2, 3, 4, 6, 10, 11, 12, 13, 14, 16, 23, 28, 30, 31, 63, 64, 68, 69, 80, 88, 96, 109, 124, 140, 150, 153, 190, 191, 192, 193, 194, 197, 209, 213, 214, 215, 216, 223, 232, 243, 320, 340, 606;Capitale Nationale;276;2690, rue Dalton;QuÃ©bec (QuÃ©bec);G1P 3S4; (418) 658-5784; (418) 658-6594
"Direction gÃ©nÃ©rale de la coordination scientifique 
et du Centre d'expertise en analyse environnementale du QuÃ©bec (MELCCFP)";1, 2, 3, 4, 5, 6, 7, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 26, 27, 28, 30, 31, 35, 36, 42, 46, 50, 52, 60, 83, 95, 140, 141, 145, 146, 147, 150, 151, 152, 170, 172, 173, 174, 175, 176, 177, 178, 180, 181, 183, 191, 193, 342, 345, 370, 606, 800, ;Capitale Nationale;314;2700, rue Einstein, bureau E.2.220;QuÃ©bec (QuÃ©bec);G1P 3W8; (418) 643-8225; (418) 643-9023
Englobe Corp.;605;Capitale Nationale;512;505, boulevard du Parc-Technologique, bureau 200;QuÃ©bec (QuÃ©bec);G1P 4S9; 418-781-0191; 
Eurofins EnvironeX;1, 2, 3, 4, 6, 11, 12, 13, 14, 15, 16, 22, 23, 28, 30, 40, 41, 49, 50, 58, 62, 63, 64, 68, 70, 74, 77, 85, 86, 88, 96, 97, 109, 120, 124, 140, 150, 190, 191, 192, 193, 194, 195, 197, 209, 210, 213, 214, 215, 216, 217, 237, 320, 342, 601, 602, 603, 604, 60;Capitale Nationale;477;4495, boulevard Wilfrid-Hamel, bureau 150;QuÃ©bec (QuÃ©bec);G1P 2J7; (418) 977-1220; (418) 614-9777
Laboratoire d'analyses agroenvironnementales de l'IRDA;1001, 1006, 1007, 1009, 1010, 1011, 1012, 1020, 1021;Capitale Nationale;607;2700, rue Einstein, local B.1.200;QuÃ©bec (QuÃ©bec);G1P 3W8; (418) 643-2380; (418) 644-6855
Labsco inc.;1, 2, 4, 11, 18, 22, 44, 45, 86, 606;Capitale Nationale;511;2405, rue de Celles, unitÃ© 5;QuÃ©bec (QuÃ©bec);G2CÂ 1K7; 581-703-1333; 
Nvira Environnement inc.;601, 603, 604, 605;Capitale Nationale;505;5165, rue John Molson, bureau 100;QuÃ©bec (QuÃ©bec);G1X 3X4; 1(877) 809-5478; 
Biobois Analytique inc.;203, 235;Estrie;487;450, boulevard Industriel;Val-des-Sources (QuÃ©bec);J1T 4X1; (819) 570-3601; (819) 789-6555
