NOM_IMAGE,URLGEOTIFF,URLJPG2000,TYPE_IMAGE,ANNEE,DATE_DEBUT,LISTE_DATE,SAISON,RESOL_CM,COULEUR,SYSTE_REF,LICENCE,CAMERA,TYPECAMERA,PROPRIETAI,DIFFUSEUR,TAILLE_MO,URL_WMS,FORMAT,PROJET
MOS_21_306-5318_20CM_F10,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Imagerie/Orthomosaique/2021_Rouynnoranda_20cm_Rvb/Mtm10/Geotiff/MOS_21_306-5318_20CM_F10.TIF,,Mosaïque,2021,2021-05-02,,Printemps,0.2,Couleur naturelle,"MTM fuseau 10, NAD83 (SCRS)",Creative Commons (https://creativecommons.org/licenses/by/4.0/deed.fr),Vexcel Ultracam Eagle,Caméra Numérique,Ville de Rouyn-Noranda,https://www.donneesquebec.ca/recherche/dataset/orthophotographies-2021-rouyn-noranda,286.2,https://imagesgeo-atlas.mrnf.gouv.qc.ca/TERRITOIRE/Imagerie_2020_Chaudiere-Appalaches.xml,GEOTIFF,2021_Rouyn-Noranda_20cm
MOS_21_390-5292_20CM_F10,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Imagerie/Orthomosaique/2021_Rouynnoranda_20cm_Rvb/Mtm10/Geotiff/MOS_21_390-5292_20CM_F10.TIF,,Mosaïque,2021,2021-05-16,,Printemps,0.2,Couleur naturelle,"MTM fuseau 10, NAD83 (SCRS)",Creative Commons (https://creativecommons.org/licenses/by/4.0/deed.fr),Vexcel Ultracam Eagle,Caméra Numérique,Ville de Rouyn-Noranda,https://www.donneesquebec.ca/recherche/dataset/orthophotographies-2021-rouyn-noranda,286.2,https://imagesgeo-atlas.mrnf.gouv.qc.ca/TERRITOIRE/Imagerie_2020_Chaudiere-Appalaches.xml,GEOTIFF,2021_Rouyn-Noranda_20cm
MOS_21_392-5356_20CM_F10,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Imagerie/Orthomosaique/2021_Rouynnoranda_20cm_Rvb/Mtm10/Geotiff/MOS_21_392-5356_20CM_F10.TIF,,Mosaïque,2021,2021-05-02,,Printemps,0.2,Couleur naturelle,"MTM fuseau 10, NAD83 (SCRS)",Creative Commons (https://creativecommons.org/licenses/by/4.0/deed.fr),Vexcel Ultracam Eagle,Caméra Numérique,Ville de Rouyn-Noranda,https://www.donneesquebec.ca/recherche/dataset/orthophotographies-2021-rouyn-noranda,286.2,https://imagesgeo-atlas.mrnf.gouv.qc.ca/TERRITOIRE/Imagerie_2020_Chaudiere-Appalaches.xml,GEOTIFF,2021_Rouyn-Noranda_20cm
MOS_21_392-5284_20CM_F10,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Imagerie/Orthomosaique/2021_Rouynnoranda_20cm_Rvb/Mtm10/Geotiff/MOS_21_392-5284_20CM_F10.TIF,,Mosaïque,2021,2021-05-12,,Printemps,0.2,Couleur naturelle,"MTM fuseau 10, NAD83 (SCRS)",Creative Commons (https://creativecommons.org/licenses/by/4.0/deed.fr),Vexcel Ultracam Eagle,Caméra Numérique,Ville de Rouyn-Noranda,https://www.donneesquebec.ca/recherche/dataset/orthophotographies-2021-rouyn-noranda,286.2,https://imagesgeo-atlas.mrnf.gouv.qc.ca/TERRITOIRE/Imagerie_2020_Chaudiere-Appalaches.xml,GEOTIFF,2021_Rouyn-Noranda_20cm
MOS_21_318-5318_20CM_F10,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Imagerie/Orthomosaique/2021_Rouynnoranda_20cm_Rvb/Mtm10/Geotiff/MOS_21_318-5318_20CM_F10.TIF,,Mosaïque,2021,2021-05-02,,Printemps,0.2,Couleur naturelle,"MTM fuseau 10, NAD83 (SCRS)",Creative Commons (https://creativecommons.org/licenses/by/4.0/deed.fr),Vexcel Ultracam Eagle,Caméra Numérique,Ville de Rouyn-Noranda,https://www.donneesquebec.ca/recherche/dataset/orthophotographies-2021-rouyn-noranda,286.2,https://imagesgeo-atlas.mrnf.gouv.qc.ca/TERRITOIRE/Imagerie_2020_Chaudiere-Appalaches.xml,GEOTIFF,2021_Rouyn-Noranda_20cm
MOS_21_326-5316_20CM_F10,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Imagerie/Orthomosaique/2021_Rouynnoranda_20cm_Rvb/Mtm10/Geotiff/MOS_21_326-5316_20CM_F10.TIF,,Mosaïque,2021,2021-05-12,,Printemps,0.2,Couleur naturelle,"MTM fuseau 10, NAD83 (SCRS)",Creative Commons (https://creativecommons.org/licenses/by/4.0/deed.fr),Vexcel Ultracam Eagle,Caméra Numérique,Ville de Rouyn-Noranda,https://www.donneesquebec.ca/recherche/dataset/orthophotographies-2021-rouyn-noranda,286.2,https://imagesgeo-atlas.mrnf.gouv.qc.ca/TERRITOIRE/Imagerie_2020_Chaudiere-Appalaches.xml,GEOTIFF,2021_Rouyn-Noranda_20cm
MOS_21_330-5320_20CM_F10,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Imagerie/Orthomosaique/2021_Rouynnoranda_20cm_Rvb/Mtm10/Geotiff/MOS_21_330-5320_20CM_F10.TIF,,Mosaïque,2021,2021-05-02,,Printemps,0.2,Couleur naturelle,"MTM fuseau 10, NAD83 (SCRS)",Creative Commons (https://creativecommons.org/licenses/by/4.0/deed.fr),Vexcel Ultracam Eagle,Caméra Numérique,Ville de Rouyn-Noranda,https://www.donneesquebec.ca/recherche/dataset/orthophotographies-2021-rouyn-noranda,286.2,https://imagesgeo-atlas.mrnf.gouv.qc.ca/TERRITOIRE/Imagerie_2020_Chaudiere-Appalaches.xml,GEOTIFF,2021_Rouyn-Noranda_20cm
MOS_21_304-5310_20CM_F10,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Imagerie/Orthomosaique/2021_Rouynnoranda_20cm_Rvb/Mtm10/Geotiff/MOS_21_304-5310_20CM_F10.TIF,,Mosaïque,2021,2021-05-16,,Printemps,0.2,Couleur naturelle,"MTM fuseau 10, NAD83 (SCRS)",Creative Commons (https://creativecommons.org/licenses/by/4.0/deed.fr),Vexcel Ultracam Eagle,Caméra Numérique,Ville de Rouyn-Noranda,https://www.donneesquebec.ca/recherche/dataset/orthophotographies-2021-rouyn-noranda,286.2,https://imagesgeo-atlas.mrnf.gouv.qc.ca/TERRITOIRE/Imagerie_2020_Chaudiere-Appalaches.xml,GEOTIFF,2021_Rouyn-Noranda_20cm
MOS_21_350-5328_20CM_F10,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Imagerie/Orthomosaique/2021_Rouynnoranda_20cm_Rvb/Mtm10/Geotiff/MOS_21_350-5328_20CM_F10.TIF,,Mosaïque,2021,2021-04-29,,Printemps,0.2,Couleur naturelle,"MTM fuseau 10, NAD83 (SCRS)",Creative Commons (https://creativecommons.org/licenses/by/4.0/deed.fr),Vexcel Ultracam Eagle,Caméra Numérique,Ville de Rouyn-Noranda,https://www.donneesquebec.ca/recherche/dataset/orthophotographies-2021-rouyn-noranda,286.2,https://imagesgeo-atlas.mrnf.gouv.qc.ca/TERRITOIRE/Imagerie_2020_Chaudiere-Appalaches.xml,GEOTIFF,2021_Rouyn-Noranda_20cm
MOS_21_398-5304_20CM_F10,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Imagerie/Orthomosaique/2021_Rouynnoranda_20cm_Rvb/Mtm10/Geotiff/MOS_21_398-5304_20CM_F10.TIF,,Mosaïque,2021,2021-05-02,,Printemps,0.2,Couleur naturelle,"MTM fuseau 10, NAD83 (SCRS)",Creative Commons (https://creativecommons.org/licenses/by/4.0/deed.fr),Vexcel Ultracam Eagle,Caméra Numérique,Ville de Rouyn-Noranda,https://www.donneesquebec.ca/recherche/dataset/orthophotographies-2021-rouyn-noranda,286.2,https://imagesgeo-atlas.mrnf.gouv.qc.ca/TERRITOIRE/Imagerie_2020_Chaudiere-Appalaches.xml,GEOTIFF,2021_Rouyn-Noranda_20cm
MOS_21_322-5342_20CM_F10,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Imagerie/Orthomosaique/2021_Rouynnoranda_20cm_Rvb/Mtm10/Geotiff/MOS_21_322-5342_20CM_F10.TIF,,Mosaïque,2021,2021-04-29,,Printemps,0.2,Couleur naturelle,"MTM fuseau 10, NAD83 (SCRS)",Creative Commons (https://creativecommons.org/licenses/by/4.0/deed.fr),Vexcel Ultracam Eagle,Caméra Numérique,Ville de Rouyn-Noranda,https://www.donneesquebec.ca/recherche/dataset/orthophotographies-2021-rouyn-noranda,286.2,https://imagesgeo-atlas.mrnf.gouv.qc.ca/TERRITOIRE/Imagerie_2020_Chaudiere-Appalaches.xml,GEOTIFF,2021_Rouyn-Noranda_20cm
MOS_21_370-5286_20CM_F10,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Imagerie/Orthomosaique/2021_Rouynnoranda_20cm_Rvb/Mtm10/Geotiff/MOS_21_370-5286_20CM_F10.TIF,,Mosaïque,2021,2021-05-19,,Printemps,0.2,Couleur naturelle,"MTM fuseau 10, NAD83 (SCRS)",Creative Commons (https://creativecommons.org/licenses/by/4.0/deed.fr),Vexcel Ultracam Eagle,Caméra Numérique,Ville de Rouyn-Noranda,https://www.donneesquebec.ca/recherche/dataset/orthophotographies-2021-rouyn-noranda,286.2,https://imagesgeo-atlas.mrnf.gouv.qc.ca/TERRITOIRE/Imagerie_2020_Chaudiere-Appalaches.xml,GEOTIFF,2021_Rouyn-Noranda_20cm
