ï»¿Caracteristiques ,Description,Details,n-2016,n-2017,n-2018,n-2019,n-2020,n-2021
Pays ,Pays de naissance,Colombie,1 341,864,731,740,934,1 891
Pays ,Pays de naissance,BrÃ©sil,671,459,782,981,1 254,1 917
Pays ,Pays de naissance,RÃ©p. dÃ©m. du Congo,1 018,947,892,1 000,810,1 321
Pays ,Pays de naissance,Ãtats-Unis,990,928,865,661,891,1 551
Pays ,Pays de naissance,Mexique,664,499,512,713,944,1 577
Pays ,Pays de naissance,Liban,902,806,968,566,569,905
Pays ,Pays de naissance,Pakistan,919,839,460,461,533,575
Pays ,Pays de naissance,Afghanistan,667,820,487,611,566,373
Pays ,Pays de naissance,Ãgypte,911,651,584,537,352,346
Pays ,Pays de naissance,Burundi,545,620,531,617,571,449
Pays ,Pays de naissance,SÃ©nÃ©gal,552,680,474,390,465,727
Pays ,Pays de naissance,Venezuela,504,364,502,684,631,393
Pays ,Pays de naissance,Vietnam,550,416,411,390,490,454
Pays ,Pays de naissance,NigÃ©ria,241,258,233,406,380,1 145
Pays ,Pays de naissance,BÃ©nin,467,718,288,250,325,353
Pays ,Pays de naissance,CorÃ©e du Sud,455,366,332,249,518,347
Pays ,Pays de naissance,Arabie saoudite,206,403,505,540,320,286
Pays ,Pays de naissance,Cuba,434,367,346,214,394,333
Pays ,Pays de naissance,Bangladesh,416,386,354,238,295,349
Pays ,Pays de naissance,Togo,351,549,255,169,239,371
Pays ,Pays de naissance,GuinÃ©e,291,328,254,283,297,410
Pays ,Pays de naissance,Ãmirats arabes unis,248,358,685,250,98,102
Pays ,Pays de naissance,Maurice,319,511,135,247,237,237
Pays ,Pays de naissance,RÃ©p. dominicaine,237,294,266,181,323,373
Pays ,Pays de naissance,Turquie,223,292,386,302,212,218
Pays ,Pays de naissance,Rwanda,274,275,169,250,258,354
Pays ,Pays de naissance,Belgique,290,217,236,213,281,318
Pays ,Pays de naissance,Burkina Faso,278,388,203,145,205,271
Pays ,Pays de naissance,Ukraine,598,196,250,107,142,151
Pays ,Pays de naissance,Royaume-Uni,244,221,173,157,197,281
Pays ,Pays de naissance,Iraq,217,281,372,232,87,59
Pays ,Pays de naissance,Roumanie,493,185,143,132,133,154
Pays ,Pays de naissance,PÃ©rou,224,170,171,162,238,271
Pays ,Pays de naissance,Congo,282,196,183,173,179,203
Pays ,Pays de naissance,NÃ©pal,893,100,60,31,40,17
Pays ,Pays de naissance,Russie,393,217,152,116,119,138
Pays ,Pays de naissance,Mali,188,216,198,146,159,223
Pays ,Pays de naissance,Moldova,466,165,152,92,125,105
Pays ,Pays de naissance,El Salvador,214,147,144,198,119,181
Pays ,Pays de naissance,RÃ©p. centrafricaine,200,68,164,283,210,78
Pays ,Pays de naissance,Madagascar,123,186,141,161,164,220
Pays ,Pays de naissance,Tchad,136,131,83,181,176,264
Pays ,Pays de naissance,Italie,207,158,157,130,111,166
Pays ,Pays de naissance,Sri Lanka,350,137,109,88,120,122
Pays ,Pays de naissance,Non disponible,814,34,14,9,*,30
Pays ,Pays de naissance,Allemagne,165,144,128,99,108,159
Pays ,Pays de naissance,Jordanie,238,95,174,109,87,92
Pays ,Pays de naissance,ÃrythrÃ©e,92,164,147,134,66,88
Pays ,Pays de naissance,Espagne,157,89,112,95,87,151
Pays ,Pays de naissance,Hong Kong,143,162,162,106,55,59
Pays ,Pays de naissance,Libye,156,88,77,119,108,131
Pays ,Pays de naissance,TaÃ¯wan,123,147,138,91,79,87
Pays ,Pays de naissance,KoweÃ¯t,124,105,213,85,63,68
Pays ,Pays de naissance,Chili,78,79,80,80,84,196
Pays ,Pays de naissance,Djibouti,56,88,141,104,96,93
Pays ,Pays de naissance,Suisse,76,99,89,83,93,132
Pays ,Pays de naissance,Guatemala,100,90,79,87,95,103
Pays ,Pays de naissance,IsraÃ«l,238,44,83,43,50,47
Pays ,Pays de naissance,Japon,112,92,81,51,80,82
Pays ,Pays de naissance,Angola,14,31,45,91,76,233
Pays ,Pays de naissance,Australie,75,106,74,52,64,85
Pays ,Pays de naissance,Tanzanie,57,127,80,78,47,62
Pays ,Pays de naissance,YÃ©men,37,38,80,121,73,84
Pays ,Pays de naissance,Honduras,85,59,50,73,66,94
Pays ,Pays de naissance,Cambodge,86,96,84,60,37,62
Pays ,Pays de naissance,Mauritanie,62,49,63,44,77,119
Pays ,Pays de naissance,Argentine,62,67,52,41,92,92
Pays ,Pays de naissance,ThaÃ¯lande,60,94,70,64,58,57
Pays ,Pays de naissance,Union soviÃ©tique,59,98,69,61,72,41
Pays ,Pays de naissance,Ghana,91,65,58,42,55,84
Pays ,Pays de naissance,Albanie,121,52,73,36,61,50
Pays ,Pays de naissance,Niger,87,55,68,55,58,61
Pays ,Pays de naissance,Nicaragua,25,32,30,35,40,211
Pays ,Pays de naissance,Afrique du Sud,51,58,35,59,59,102
Pays ,Pays de naissance,Saint-Vincent-et-les Grenadines,93,86,48,27,38,61
Pays ,Pays de naissance,RÃ©union,54,46,41,56,66,72
Pays ,Pays de naissance,Soudan,33,60,46,61,63,67
Pays ,Pays de naissance,JamaÃ¯que,86,53,53,50,39,48
Pays ,Pays de naissance,Costa Rica,58,64,51,37,34,83
Pays ,Pays de naissance,GrÃ¨ce,70,59,46,45,63,43
Pays ,Pays de naissance,Portugal,76,48,46,52,39,54
Pays ,Pays de naissance,Qatar,11,44,105,98,30,23
Pays ,Pays de naissance,Ãquateur,39,70,57,29,57,58
Pays ,Pays de naissance,Pologne,76,56,35,42,47,49
Pays ,Pays de naissance,Gabon,41,53,36,48,52,64
Pays ,Pays de naissance,Guadeloupe,34,38,50,52,48,69
Pays ,Pays de naissance,BÃ©larus,101,43,32,27,27,29
Pays ,Pays de naissance,Ouganda,11,30,53,67,44,46
Pays ,Pays de naissance,ArmÃ©nie,97,45,36,13,24,32
Pays ,Pays de naissance,Martinique,23,43,32,49,48,48
Pays ,Pays de naissance,IndonÃ©sie,43,44,36,37,38,42
Pays ,Pays de naissance,Bulgarie,70,36,36,28,27,32
Pays ,Pays de naissance,Kazakhstan,64,58,36,26,19,24
Pays ,Pays de naissance,Palestine,42,27,28,28,34,54
Pays ,Pays de naissance,Pays-Bas,27,42,43,24,28,44
Pays ,Pays de naissance,Ãthiopie,34,47,25,27,24,48
Pays ,Pays de naissance,Canada,38,33,31,19,38,31
Pays ,Pays de naissance,Hongrie,51,36,31,17,30,23
Pays ,Pays de naissance,Kenya,25,40,22,20,26,41
Pays ,Pays de naissance,Irlande,46,22,17,17,26,33
Pays ,Pays de naissance,Zimbabwe,27,22,20,17,18,46
Pays ,Pays de naissance,PolynÃ©sie franÃ§aise,7,24,29,25,32,28
Pays ,Pays de naissance,Nouvelle-CalÃ©donie,7,15,27,23,33,30
Pays ,Pays de naissance,Singapour,24,30,27,15,19,15
Pays ,Pays de naissance,Kirghizistan,50,21,27,7,16,5
Pays ,Pays de naissance,Malaisie,26,27,14,21,14,19
Pays ,Pays de naissance,AzerbaÃ¯djan,18,27,20,18,19,15
Pays ,Pays de naissance,OuzbÃ©kistan,40,14,25,14,11,12
Pays ,Pays de naissance,TrinitÃ©-et-Tobago,23,16,27,10,10,12
Pays ,Pays de naissance,Bolivie,23,6,16,8,17,28
Pays ,Pays de naissance,Serbie,23,13,25,10,9,16
Pays ,Pays de naissance,Croatie,28,24,27,5,*,9
Pays ,Pays de naissance,SuÃ¨de,17,20,15,6,12,19
Pays ,Pays de naissance,Bosnie-HerzÃ©govine,30,14,14,11,14,*
Pays ,Pays de naissance,Malawi,8,*,16,23,*,35
Pays ,Pays de naissance,Nouvelle-ZÃ©lande,16,11,9,10,23,17
Pays ,Pays de naissance,Uruguay,5,7,17,15,14,28
Pays ,Pays de naissance,Panama,11,12,5,16,12,26
Pays ,Pays de naissance,Sainte-Lucie,19,15,13,7,11,14
Pays ,Pays de naissance,Kosovo,10,13,12,12,13,19
Pays ,Pays de naissance,Tadjikistan,38,10,8,8,8,5
Pays ,Pays de naissance,Bahamas,8,11,10,6,12,30
Pays ,Pays de naissance,Autriche,11,11,7,13,10,20
Pays ,Pays de naissance,GÃ©orgie,18,13,11,7,7,14
Pays ,Pays de naissance,LibÃ©ria,14,5,6,6,*,32
Pays ,Pays de naissance,BahreÃ¯n,17,11,13,9,*,13
Pays ,Pays de naissance,Finlande,13,10,17,10,7,7
Pays ,Pays de naissance,Ãles Comores,6,6,7,9,14,17
Pays ,Pays de naissance,Mongolie,6,18,5,8,14,8
Pays ,Pays de naissance,Slovaquie,12,12,12,*,10,9
Pays ,Pays de naissance,RÃ©p. tchÃ¨que,12,5,8,6,10,16
Pays ,Pays de naissance,Grenade,17,11,7,7,9,6
Pays ,Pays de naissance,Lituanie,12,9,7,10,*,13
Pays ,Pays de naissance,Oman,6,6,13,8,10,10
Pays ,Pays de naissance,Monaco,6,8,*,17,6,14
Pays ,Pays de naissance,Danemark,6,12,7,7,13,7
Pays ,Pays de naissance,Somalie,12,12,*,9,11,6
Pays ,Pays de naissance,Guyana,10,6,12,5,8,10
Pays ,Pays de naissance,Gambie,6,11,*,*,6,20
Pays ,Pays de naissance,Myanmar,16,12,*,*,5,9
Pays ,Pays de naissance,Guyane franÃ§aise,7,7,*,11,5,17
Pays ,Pays de naissance,Zambie,12,8,5,9,5,7
Pays ,Pays de naissance,Barbade,10,7,10,*,6,10
Pays ,Pays de naissance,Sierra Leone,7,5,8,7,7,11
Pays ,Pays de naissance,Lettonie,16,6,11,,*,7
Pays ,Pays de naissance,Luxembourg,7,7,7,*,5,12
Pays ,Pays de naissance,Mozambique,6,5,13,6,*,*
Pays ,Pays de naissance,Namibie,*,*,14,*,,10
Pays ,Pays de naissance,NorvÃ¨ge,*,9,7,6,*,5
Pays ,Pays de naissance,Laos,11,*,6,5,*,*
Pays ,Pays de naissance,Botswana,5,11,5,*,*,*
Pays ,Pays de naissance,Chypre,*,*,9,*,*,*
Pays ,Pays de naissance,Seychelles,5,*,6,*,*,*
Pays ,Pays de naissance,RÃ©p. du Soudan du Sud,,*,*,*,11,*
Pays ,Pays de naissance,Paraguay,*,*,5,*,*,5
Pays ,Pays de naissance,MacÃ©doine,*,*,*,*,,12
Pays ,Pays de naissance,TurkmÃ©nistan,5,9,*,*,,*
Pays ,Pays de naissance,SlovÃ©nie,11,*,*,*,*,*
Pays ,Pays de naissance,Estonie,*,*,5,*,*,*
Pays ,Pays de naissance,Porto Rico,*,*,*,*,*,*
Pays ,Pays de naissance,Serbie-et-MontÃ©nÃ©gro,6,*,*,*,,
Pays ,Pays de naissance,MontÃ©nÃ©gro,*,5,*,*,*,*
Pays ,Pays de naissance,Dominique,6,*,*,*,,*
Pays ,Pays de naissance,Islande,,*,7,*,*,*
Pays ,Pays de naissance,GuinÃ©e-Bissau,*,*,,*,*,6
Pays ,Pays de naissance,Cap-Vert,*,*,,*,5,*
Pays ,Pays de naissance,Yougoslavie,5,*,,,*,
Pays ,Pays de naissance,Macao,*,,*,*,*,*
Pays ,Pays de naissance,Tibet,7,*,*,*,,*
Pays ,Pays de naissance,Ãles Salomon,,*,7,,,
Pays ,Pays de naissance,Ãles Turques et CaÃ¯ques,*,,*,,*,
Pays ,Pays de naissance,Bhoutan,*,6,,*,,
Pays ,Pays de naissance,TchÃ©coslovaquie,,*,*,*,*,*
Pays ,Pays de naissance,Suriname,*,*,*,,,*
Pays ,Pays de naissance,Saint-Pierre-et-Miquelon,,*,*,*,*,*
Pays ,Pays de naissance,Mayotte,,*,,5,*,
Pays ,Pays de naissance,Antigua-et-Barbuda,*,*,*,*,*,*
Pays ,Pays de naissance,Belize,*,*,*,*,*,*
Pays ,Pays de naissance,Maldives,*,*,*,,*,*
Pays ,Pays de naissance,Bermudes,*,*,*,*,*,*
Pays ,Pays de naissance,Fidji,,,*,*,*,*
Pays ,Pays de naissance,GuinÃ©e Ã©quatoriale,*,*,,*,,*
Pays ,Pays de naissance,CorÃ©e du Nord,*,,,*,*,*
Pays ,Pays de naissance,Saint-Martin,,,,*,*,*
Pays ,Pays de naissance,Apatrides,*,,,,*,
Pays ,Pays de naissance,Lesotho,,,,*,*,*
Pays ,Pays de naissance,Antilles nÃ©erlandaises,*,,,,*,*
Pays ,Pays de naissance,CuraÃ§ao,,,*,,*,*
Pays ,Pays de naissance,Ãle de NoÃ«l,,,*,*,*,
Pays ,Pays de naissance,Saint-Kitts-et-Nevis,*,,,,*,
Pays ,Pays de naissance,Ãles Marshall,,,*,,,*
Pays ,Pays de naissance,Ãles du Pacifique,*,,,,,
Pays ,Pays de naissance,Malte,*,,,,,*
Pays ,Pays de naissance,Swaziland,*,,,,*,
Pays ,Pays de naissance,Samoa,,,,*,*,
Pays ,Pays de naissance,Sahara occidental,*,,,,,
Pays ,Pays de naissance,"Jersey, Bailliage de",,,,*,,*
Pays ,Pays de naissance,Andorre,,*,,,,
Pays ,Pays de naissance,MicronÃ©sie,*,,,,,
Pays ,Pays de naissance,Ãles Mariannes du Nord,,,,,,*
Pays ,Pays de naissance,BrunÃ©i Darussalam,,,*,,,
Pays ,Pays de naissance,Kiribati,,,,,*,
Pays ,Pays de naissance,Montserrat,,,,,,*
Pays ,Pays de naissance,Autres Asie,,,,,,*
Pays ,Pays de naissance,Autres OcÃ©anie,*,,,,,
Pays ,Pays de naissance,Falkland,*,,,,,
Pays ,Pays de naissance,Sao TomÃ©-et-Principe,,,*,,,
Pays ,Pays de naissance,Ãles CaÃ¯manes,*,,,,,
Pays ,Pays de naissance,Ãles Vierges britanniques,,,*,,,
Pays ,Pays de naissance,Ãles Vierges amÃ©ricaines,,,*,,,
Pays ,Pays de naissance,Wallis-et-Futuna,*,,,,,
Pays ,Pays de naissance,Sainte-HÃ©lÃ¨ne,,,,,,*
Pays ,Pays de naissance,Papouasie-Nouvelle-GuinÃ©e,,,,,,*
Pays ,Pays de naissance,Gibraltar,,*,,,,
Pays ,Pays de naissance,Tonga,*,,,,,
Pays ,Pays de naissance,Saint-Marin,,,,,,*
Pays ,Pays de naissance,Timor-Leste,,*,,,,
