Circonscriptions,Population_totale_1921,Canadiens_francais_1921,Population_totale_1931,Canadiens_francais_1931,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Autres_liberal_01,Autres_liberal_02,Autres_independant_ministeriel,Autres_independant_opposition,Autres_ouvrier_opposition,Autres_ouvrier
Abitibi,15021,12725,23692,21004,7819,3736,74,3662,4083,2616,1046,,,,,,
Argenteuil,17165,9321,18976,11026,4527,,,,,Élu sans opposition,,,,,,,
Arthabaska,24848,24372,27159,26693,5625,3779,3,3776,1846,3141,635,,,,,,
Bagot,18035,17876,16914,16782,3908,3429,27,3402,479,1795,1607,,,,,,
Beauce,40308,39828,44793,44330,8852,,,,,Élu sans opposition,,,,,,,
Beauharnois,19888,18283,25163,20906,4796,3788,7,3781,1008,2021,1760,,,,,,
Bellechasse,21813,21781,22006,21927,4686,3097,4,3093,1589,2969,124,,,,,,
Berthier,20509,20213,19506,19276,4719,3575,44,3531,1144,2043,1488,,,,,,
Bonaventure,29092,21256,32432,24229,6872,,,,,Élu sans opposition,,,,,,,
Brome,13381,6083,12433,5628,3505,2640,12,2628,865,1497,872,,,,259,,
Chambly,21924,14420,26801,16576,6413,3651,12,3639,2762,2076,1563,,,,,,
Champlain,54191,51664,59935,57290,13044,9702,83,9619,3342,5304,4315,,,,,,
Charlevoix-Saguenay,38200,32206,44694,37812,7317,4997,19,4978,2320,2819,228,1931,,,,,
Châteauguay,13557,10151,13125,9837,3471,2345,4,2341,1126,1548,793,,,,,,
Chicoutimi,37578,36422,55724,52925,11066,6049,99,5950,5017,4850,1100,,,,,,
Compton,23023,14790,21917,14683,5695,3554,16,3538,2141,2369,1169,,,,,,
Deux-Montagnes,14309,13421,14284,13427,3489,3046,47,2999,443,1254,1745,,,,,,
Dorchester,26788,25524,27994,26863,6056,3645,5,3640,2411,2764,876,,,,,,
Dorion,—,—,33434,27747,10392,5495,82,5413,4897,2449,2964,,,,,,
Drummond,19975,18611,26179,23731,5558,3445,44,3401,2113,2373,1028,,,,,,
Frontenac,24090,22845,25681,24756,5078,3444,3,3441,1634,2347,1094,,,,,,
Gaspé,33248,24766,37675,29240,7538,2894,44,2850,4644,2346,504,,,,,,
Hull,55026,41535,63870,49933,12077,6994,25,6969,5083,1964,3148,1624,233,,,,
Huntingdon,13174,5901,12345,5914,3194,2098,15,2083,1096,1358,725,,,,,,
Iberville,9299,8938,9402,8991,2308,,,,,Élu sans opposition,,,,,,,
Îles-de-la-Madeleine,7127,6380,7942,7148,1781,,,,,Élu sans opposition,,,,,,,
Jacques-Cartier,37251,23616,50721,30057,10607,7133,102,7031,3474,3716,3217,,,98,,,
Joliette,25913,25169,27585,26719,6218,5388,19,5369,830,3170,2199,,,,,,
Kamouraska,22014,21879,23954,23807,4931,2818,11,2807,2113,2282,525,,,,,,
Labelle,19734,19031,20140,19461,4528,2848,12,2836,1680,2117,,719,,,,,
Lac-Saint-Jean,35539,35303,50253,48383,9643,6549,84,6465,3094,4142,,,,,2323,,
L'Assomption,14331,13825,15323,14768,3899,2601,33,2568,1298,1450,512,606,,,,,
Laurier,—,—,43860,18865,8933,4624,50,4574,4309,2351,2223,,,,,,
Laval,24674,22294,133552,105734,16264,9331,22,9309,6933,4220,5089,,,,,,
Lévis,33323,32418,35656,34704,7821,4676,33,4643,3145,3432,1211,,,,,,
L'Islet,17859,17691,19404,19276,4200,,,,,Élu sans opposition,,,,,,,
Lotbinière,21837,21054,23034,22527,5129,,,,,Élu sans opposition,,,,,,,
Maisonneuve,—,—,116154,88313,17439,8785,113,8672,8654,4240,,,,,,4432,
Maskinongé,16253,16167,16039,15839,3976,2700,15,2685,1276,1612,1073,,,,,,
Matane,16113,15725,20394,19569,4875,2993,8,2985,1882,2273,712,,,,,,
Matapédia,20190,19907,24878,24574,5105,3161,2,3159,1944,2187,869,,,,103,,
Mégantic,33633,30044,35492,32685,7610,4828,25,4803,2782,3996,807,,,,,,
Mercier,—,—,131689,93103,18974,9972,79,9893,9002,5056,4837,,,,,,
Missisquoi,17709,11508,19636,13335,4624,3257,21,3236,1367,1970,1266,,,,,,
Montcalm,13987,12955,13865,12855,3470,2328,14,2314,1142,1970,344,,,,,,
Montmagny,21997,21792,20239,20072,4620,2985,54,2931,1635,2131,800,,,,,,
Montmorency,14008,13798,16955,16594,3344,,,,,Élu sans opposition,,,,,,,
Napierville-Laprairie,20065,17053,21091,17582,4236,3498,14,3484,738,2212,1272,,,,,,
Nicolet,29695,29367,28673,28471,7104,5401,51,5350,1703,3368,1982,,,,,,
Papineau,26558,21681,29246,23636,7973,4754,20,4734,3219,2458,2276,,,,,,
Pontiac,19997,7536,21241,8742,5716,,,,,Élu sans opposition,,,,,,,
Portneuf,32960,31753,35890,34670,7931,5399,15,5384,2532,3508,1876,,,,,,
Québec-Centre,—,—,—,—,6684,4540,28,4512,2144,3512,1000,,,,,,
Québec-Comté,29434,26596,40321,37364,6742,5864,72,5792,878,3081,2711,,,,,,
Québec-Est,—,—,—,—,7264,5188,25,5163,2076,3306,1857,,,,,,
Québec-Ouest,—,—,—,—,3043,2388,21,2367,655,1356,527,,,484,,,
Richelieu,19548,19114,21483,21169,5025,3973,47,3926,1052,2396,1530,,,,,,
Richmond,23745,18107,24956,19613,5766,4299,27,4272,1467,2505,1767,,,,,,
Rimouski,27520,27325,33151,32255,4962,3789,22,3767,1173,2485,,1282,,,,,
Rouville,13656,13067,13776,13112,3304,2945,14,2931,359,1540,1391,,,,,,
Saint-Georges,—,—,36905,7757,4376,1640,19,1621,2736,639,982,,,,,,
Saint-Henri,—,—,57631,43543,8920,5421,13,5408,3499,2756,2652,,,,,,
Saint-Hyacinthe,23098,22928,25854,25541,5460,3562,57,3505,1898,2325,1180,,,,,,
Saint-Jacques,—,—,42925,37731,7201,4596,53,4543,2605,2627,1916,,,,,,
Saint-Jean,14219,12537,17649,15657,3587,2460,27,2433,1127,1863,570,,,,,,
Saint-Laurent,—,—,20545,5309,5683,3943,184,3759,1740,2528,1231,,,,,,
Saint-Louis,—,—,34861,12037,5613,3343,119,3224,2270,1858,1366,,,,,,
Saint-Maurice,27597,26213,32446,30950,7757,5422,21,5401,2335,2451,,2950,,,,,
Saint-Sauveur,—,—,—,—,7824,5809,27,5782,2015,2657,,,,783,,,2342
Sainte-Anne,—,—,66238,32976,6033,,,,,Élu sans opposition,,,,,,,
Sainte-Marie,—,—,75350,66170,12431,7229,65,7164,5202,3727,3437,,,,,,
Shefford,25734,21965,28262,24449,6403,,,,,Élu sans opposition,,,,,,,
