Circonscriptions,Population_totale_1871,Canadien_francais_1871,Population_totale_1881,Canadien_francais_1881,Electeurs_inscrits,Votes_exprimes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Autres_liberal,Autres_conservateur,Autres_independants
Argenteuil,12806,3902,16062,6414,2000,1458,1458,542,727,731,,,
Bagot,19491,19037,21199,20639,3139,2283,2283,856,1120,1163,,,
Beauce,27253,26202,32020,30803,,,,,Élu sans opposition,,,,
Beauharnois,14757,13251,16005,14420,2372,1371,1371,1001,346,314,,711,
Bellechasse,17637,17542,18068,17991,,,,,Élu sans opposition,,,,
Berthier,19804,19435,21838,21384,,,,,Élu sans opposition,,,,
Bonaventure,15923,9545,18908,12047,2352,1805,1805,547,742,1063,,,
Brome,13757,3471,15827,4910,,,,,Élu sans opposition,,,,
Chambly,10498,9775,10858,9747,2133,1590,1590,543,848,742,,,
Champlain,22052,21590,26818,25967,3471,2115,2115,1356,,1063,,1052,
Charlevoix,15611,15270,17901,17439,2882,2481,2481,401,1377,1104,,,
Châteauguay,16166,11288,14393,9908,2029,1430,1430,599,911,519,,,
Chicoutimi-Saguenay,22980,20162,32409,29324,2493,1888,1888,605,743,1145,,,
Compton,13665,3785,19581,7706,3162,1922,1922,1240,535,1387,,,
Deux-Montagnes,15615,13972,15856,14285,1927,1395,1395,532,725,670,,,
Dorchester,17779,14996,18710,16231,2579,1769,1769,810,874,895,,,
Drummond-Arthabaska,31892,26598,37360,31977,5160,3334,3334,1826,1786,1548,,,
Gaspé,18729,12956,25001,17848,1638,1045,1045,593,500,545,,,
Hochelaga,25640,20224,40079,31335,,,,,,Élu sans opposition,,,
Huntingdon,16304,4924,15495,4617,2476,924,924,1552,876,48,,,
Iberville,15413,13971,14459,13201,,,,,Élu sans opposition,,,,
Jacques-Cartier,11179,9766,12345,10705,,,,,Élu sans opposition,,,,
Joliette,23075,22020,21988,21057,2429,1803,1803,626,879,924,,,
Kamouraska,21254,21038,22181,21988,,,,,Élu sans opposition,,,,
Laprairie,11861,10154,11436,9682,,,,,,Élu sans opposition,,,
L'Assomption,15473,14979,15282,14862,2277,1697,1697,580,818,879,,,
Laval,9472,9325,9462,9269,,,,,,Élu sans opposition,,,
Lévis,24831,22706,27980,25972,4268,3242,3242,1026,1670,1572,,,
L'Islet,13517,13375,14917,14824,,,,,Élu sans opposition,,,,
Lotbinière,20606,17340,20857,18498,2065,1064,1064,1001,776,288,,,
Maskinongé,15079,14782,17493,17085,1995,1371,1371,624,764,607,,,
Mégantic,18879,12074,19056,12960,3204,1876,1876,1328,1003,621,,,252
Missisquoi,16922,7114,17784,8009,,,,,Élu sans opposition,,,,
Montcalm,12742,10794,12966,11337,,,,,,Élu sans opposition,,,
Montmagny,13555,13449,15268,15222,,,,,Élu sans opposition,,,,
Montmorency,12085,11602,12322,11967,,,,,,Élu sans opposition,,,
Montréal-Centre,23903,8166,25078,8947,6068,3922,3922,2146,1782,2140,,,
Montréal-Est,46291,35569,67506,54002,,,,,Élu sans opposition,,,,
Montréal-Ouest,37031,13121,48163,15735,6447,3478,3478,2969,2036,1442,,,
Napierville,11688,10815,10511,9859,1639,1273,1273,366,731,,542,,
Nicolet,23262,22621,26611,25868,3244,2241,2241,1003,951,1290,,,
Ottawa,38629,21514,49432,30433,6151,3285,3285,2866,716,2569,,,
Pontiac,15810,3455,19939,5054,,,,,,Élu sans opposition,,,
Portneuf,22569,20296,25175,23103,3372,2507,2507,865,1421,1086,,,
Québec-Centre,18188,11827,17898,11803,,,,,Élu sans opposition,,,,
Québec-Comté,19607,14681,20278,16110,,,,,,Élu sans opposition,,,
Québec-Est,28305,24202,31900,28794,,,,,Élu sans opposition,,,,
Québec-Ouest,13206,4861,12648,5847,1826,990,990,836,403,587,,,
Richelieu,20048,19317,20218,19689,3247,2439,2439,808,,1119,,1320,
Richmond-Wolfe,20036,11222,26339,15198,3623,2070,2070,1553,1111,949,,,10
Rimouski,27418,25957,33791,32032,4040,2082,2082,1958,1728,354,,,
Rouville,17634,16954,18547,17885,3018,885,885,2133,812,73,,,
Saint-Hyacinthe,18310,18075,20631,20328,,,,,Élu sans opposition,,,,
Saint-Jean,12122,9415,12265,9811,,,,,Élu sans opposition,,,,
Saint-Maurice,11085,10716,12986,12591,1689,1096,1096,593,575,521,,,
Shefford,19077,12683,23233,16494,3939,2790,2790,1149,1618,1172,,,
Sherbrooke,8516,3544,12221,5828,,,,,,Élu sans opposition,,,
Soulanges,10808,9724,10220,9344,,,,,,Élu sans opposition,,,
Stanstead,13138,3212,15556,4749,,,,,,Élu sans opposition,,,
Témiscouata,22491,21809,25484,24687,,,,,Élu sans opposition,,,,
Terrebonne,19591,18151,21892,20429,,,,,,Élu sans opposition,,,
Trois-Rivières,8414,7687,9296,8537,1022,577,577,445,126,451,,,
Vaudreuil,11003,9392,11485,10089,,,,,,Élu sans opposition,,,
Verchères,12717,12617,12449,12376,2126,1487,1487,639,924,563,,,
Yamaska,16317,15800,17091,16568,,,,,,Élu sans opposition,,,
