Circonscriptions,Population_totale_1871,Canadiens_francais_1871,Population_totale_1881,Canadiens_francais_1881,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Autres_liberal,Autres_conservateur,Autres_independant
Argenteuil,12806,3902,16062,6414,2312,1783,34,1749,529,919,830,,,
Bagot,19491,19037,21199,20639,3675,2694,81,2613,981,1226,1387,,,
Beauce,27253,26202,32020,30803,4282,1960,36,1924,2322,401,1523,,,
Beauharnois,14757,13251,16005,14420,2067,1001,15,986,1066,107,879,,,
Bellechasse,17637,17542,18068,17991,2541,2056,24,2032,485,1042,990,,,
Berthier,19804,19435,21838,21384,3234,2091,42,2049,1143,915,1134,,,
Bonaventure,15923,9545,18908,12047,2951,1865,26,1839,1086,825,1014,,,
Brome,13757,3471,15827,4910,3117,2332,69,2263,785,1272,991,,,
Chambly,10498,9775,10858,9747,2272,1756,26,1730,516,843,887,,,
Champlain,22052,21590,26818,25967,3607,2231,31,2200,1376,527,1673,,,
Charlevoix,15611,15270,17901,17439,2286,2020,32,1988,266,1052,,936,,
Châteauguay,16166,11288,14393,9908,2582,1739,46,1693,843,936,,757,,
Chicoutimi-Saguenay,22980,20162,32409,29324,3103,2633,22,2611,470,1158,1453,,,
Compton,13665,3785,19581,7706,4104,2288,28,2260,1816,796,1464,,,
Deux-Montagnes,15615,13972,15856,14285,2326,817,9,808,1509,11,797,,,
Dorchester,17779,14996,18710,16231,2899,1460,17,1443,1439,362,1081,,,
Drummond-Arthabaska,31892,26598,37360,31977,6060,4202,78,4124,1858,1981,2143,,,
Gaspé,18729,12956,25001,17848,2988,1077,48,1029,1911,116,913,,,
Hochelaga,25640,20224,40079,31335,8600,5678,297,5381,2922,2342,3039,,,
Huntingdon,16304,4924,15495,4617,,,,,,Élu sans opposition,,,,
Iberville,15413,13971,14459,13201,2093,1670,41,1629,423,929,700,,,
Jacques-Cartier,11179,9766,12345,10705,2524,2068,50,2018,456,1008,1010,,,
Joliette,23075,22020,21988,21057,3055,2220,51,2169,835,905,1264,,,
Kamouraska,21254,21038,22181,21988,3156,2537,38,2499,619,1254,1245,,,
Laprairie,11861,10154,11436,9682,1580,1304,42,1262,276,601,661,,,
L'Assomption,15473,14979,15282,14862,2375,1916,43,1873,459,852,1021,,,
Laval,9472,9325,9462,9269,,,,,,,Élu sans opposition,,,
Lévis,24831,22706,27980,25972,5367,4261,91,4170,1106,2026,2144,,,
L'Islet,13517,13375,14917,14824,1942,1330,15,1315,612,687,628,,,
Lotbinière,20606,17340,20857,18498,3136,2080,25,2055,1056,1083,972,,,
Maskinongé,15079,14782,17493,17085,2251,1480,67,1413,771,279,838,,296,
Mégantic,18879,12074,19056,12960,3668,2118,46,2072,1550,1191,881,,,
Missisquoi,16922,7114,17784,8009,3574,2682,118,2564,892,1209,1355,,,
Montcalm,12742,10794,12966,11337,2346,1410,12,1398,936,374,698,,240,86
Montmagny,13555,13449,15268,15222,1960,1558,28,1530,402,746,784,,,
Montmorency,12085,11602,12322,11967,1814,1482,46,1436,332,605,831,,,
Montréal-Centre,23903,8166,25078,8947,10646,4653,184,4469,5993,1845,2624,,,
Montréal-Est,46291,35569,67506,54002,11676,8215,355,7860,3461,3234,4626,,,
Montréal-Ouest,37031,13121,48163,15735,8215,5020,59,4961,3195,1627,3334,,,
Napierville,11688,10815,10511,9859,2022,1387,21,1366,635,749,617,,,
Nicolet,23262,22621,26611,25868,5578,2876,99,2777,2702,1018,1759,,,
Ottawa,38629,21514,49432,30433,7165,4893,483,4410,2272,1385,3025,,,
Pontiac,15810,3455,19939,5054,3243,2714,159,2555,529,1174,1381,,,
Portneuf,22569,20296,25175,23103,3924,3271,94,3177,653,1572,1605,,,
Québec-Centre,18188,11827,17898,11803,2760,1815,32,1783,945,1001,782,,,
Québec-Comté,19607,14681,20278,16110,3287,2862,87,2775,425,1073,1702,,,
Québec-Est,28305,24202,31900,28794,4487,3202,88,3114,1285,1946,,1168,,
Québec-Ouest,13206,4861,12648,5847,,,,,,,Élu sans opposition,,,
Richelieu,20048,19317,20218,19689,3315,2390,46,2344,925,,1227,,1117,
Richmond-Wolfe,20036,11222,26339,15198,4340,2829,76,2753,1511,1069,1684,,,
Rimouski,27418,25957,33791,32032,4749,3623,66,3557,1126,2003,1554,,,
Rouville,17634,16954,18547,17885,2904,2191,80,2111,713,1038,1073,,,
Saint-Hyacinthe,18310,18075,20631,20328,3020,2400,44,2356,620,1175,1181,,,
Saint-Jean,12122,9415,12265,9811,2189,1403,40,1363,786,780,583,,,
Saint-Maurice,11085,10716,12986,12591,1778,1562,20,1542,216,731,811,,,
Shefford,19077,12683,23233,16494,4374,2910,38,2872,1464,1414,1186,272,,
Sherbrooke,8516,3544,12221,5828,,,,,,,Élu sans opposition,,,
Soulanges,10808,9724,10220,9344,1930,1198,21,1177,732,,852,,325,
Stanstead,13138,3212,15556,4749,3235,2255,25,2230,980,738,1492,,,
Témiscouata,22491,21809,25484,24687,2640,2055,24,2031,585,952,1079,,,
Terrebonne,19591,18151,21892,20429,3295,1401,26,1375,1894,181,1194,,,
Trois-Rivières,8414,7687,9296,8537,1388,1035,15,1020,353,,584,,436,
Vaudreuil,11003,9392,11485,10089,2096,1486,20,1466,610,,764,,702,
Verchères,12717,12617,12449,12376,2138,1835,20,1815,303,935,880,,,
Yamaska,16317,15800,17091,16568,2463,1765,30,1735,698,706,1029,,,
