Circonscriptions,Population_totale_1891,Canadiens_francais_1891,Population_totale_1901,Canadiens_francais_1901,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Autres_liberal,Autres_conservateur,Autres_independants
Argenteuil,15158,5951,16407,7391,3000,,,,,Élu sans opposition,,,,
Arthabaska,27284,26225,23947,23185,5011,,,,,Élu sans opposition,,,,
Bagot,21695,21375,16291,16038,4265,,,,,Élu sans opposition,,,,
Beauce,37222,36076,43129,42192,8566,,,,,Élu sans opposition,,,,
Beauharnois,16662,15370,21732,19506,4632,3568,17,3551,1064,1791,1760,,,
Bellechasse,18368,18332,18706,18640,3816,,,,,Élu sans opposition,,,,
Berthier,19836,19539,18982,18672,3871,,,,,Élu sans opposition,,,,
Bonaventure,20835,13287,24495,17056,4070,2657,15,2642,1413,1432,1210,,,
Brome,14709,4839,13397,4766,3811,,,,,Élu sans opposition,,,,
Chambly,11704,10139,12779,10926,3408,,,,,Élu sans opposition,,,,
Champlain,29267,28284,35159,34293,6999,4806,15,4791,2193,2438,2353,,,
Charlevoix,19038,18896,19334,18979,3686,,,,,Élu sans opposition,,,,
Châteauguay,13864,9660,15693,9415,3337,2174,13,2161,1163,1153,1008,,,
Chicoutimi-Saguenay,24233,21696,28135,24418,4234,,,,,Élu sans opposition,,,,
Compton,22779,10335,26460,14460,6782,4243,27,4216,2539,1841,2178,197,,
Deux-Montagnes,15027,13915,14438,13366,3411,2661,28,2633,750,1434,,,1199,
Dorchester,19017,17132,21007,18106,4270,3174,15,3159,1096,1376,1783,,,
Drummond,16639,13391,20537,17860,3559,2266,18,2248,1293,1260,988,,,
Gaspé,21933,14975,24657,17526,3944,2538,45,2493,1406,1369,,1124,,
Hochelaga,80998,58522,142826,104069,30750,,,,,Élu sans opposition,,,,
Huntingdon,14385,4489,13979,5105,3322,1808,14,1794,1514,1054,740,,,
Iberville,11893,11132,9673,9184,2587,1866,18,1848,721,1018,830,,,
Îles-de-la-Madeleine,4942,4431,6026,5259,1039,861,7,854,178,451,,403,,
Jacques-Cartier,13832,11856,14934,12293,4493,2759,49,2710,1734,1556,1154,,,
Joliette,22921,22330,22255,21662,4609,3626,40,3586,983,1718,1868,,,
Kamouraska,20454,20411,19099,19012,3703,2779,30,2749,924,1484,1265,,,
Lac-Saint-Jean,14048,13960,20156,19871,4076,,,,,Élu sans opposition,,,,
Laprairie,10900,8974,8947,8729,2105,1711,16,1695,394,933,762,,,
L'Assomption,13674,13327,14993,14661,3182,2432,29,2403,750,1244,1159,,,
Laval,9436,9173,10248,9916,2306,1681,18,1663,625,679,984,,,
Lévis,25995,24848,26210,25068,5521,,,,,Élu sans opposition,,,,
L'Islet,13823,13805,14439,14413,2954,,,,,Élu sans opposition,,,,
Lotbinière,20688,19128,20039,18817,4410,2552,40,2512,1858,1068,1444,,,
Maskinongé,17829,17755,15813,15563,3403,,,,,Élu sans opposition,,,,
Matane,14621,14139,20456,19162,4067,,,,,Élu sans opposition,,,,
Mégantic,22233,16631,23621,18721,5513,,,,,Élu sans opposition,,,,
Missisquoi,18549,9337,18482,9908,4826,3216,29,3187,1610,1715,1472,,,
Montcalm,12131,11023,13001,12020,2930,2260,4,2256,670,1232,1024,,,
Montmagny,14726,14695,14757,14663,3049,,,,,Élu sans opposition,,,,
Montmorency,12309,12085,12311,12124,2594,2122,21,2101,472,1356,745,,,
Montréal-No. 1 (Sainte-Marie),34746,28662,40631,32850,8204,3197,54,3143,5007,2151,992,,,
Montréal-No. 2 (Saint-Jacques),35830,31879,42618,37081,8305,,,,,Élu sans opposition,,,,
Montréal-No. 3 (Saint-Louis),24924,17084,26919,16877,5472,,,,,Élu sans opposition,,,,
