Circonscriptions,Population_totale_1881,Canadiens_francais_1881,Population_totale_1891,Canadiens_francais_1891,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Autres_liberal,Autres_conservateur,Autres_nationaliste_01,Autres_nationaliste_02,Autres_ouvrier
Argenteuil,16062,6414,15158,5951,2682,,,,,,Élu sans opposition,,,,,
Bagot,21199,20639,21695,21375,3764,2656,52,2604,1108,1347,1257,,,,,
Beauce,32020,30803,37222,36076,5245,3420,52,3368,1825,171,1697,,1500,,,
Beauharnois,16005,14420,16662,15370,3069,2171,21,2150,898,1086,1064,,,,,
Bellechasse,18068,17991,18368,18332,2921,2392,25,2367,529,1172,1195,,,,,
Berthier,21838,21384,19836,19539,3374,2449,32,2417,925,1297,1076,,44,,,
Bonaventure,18908,12047,20835,13287,3083,1821,23,1798,1262,857,941,,,,,
Brome,15827,4910,14709,4839,3349,2517,32,2485,832,1094,1391,,,,,
Chambly,10858,9747,11704,10139,2366,1762,28,1734,604,892,842,,,,,
Champlain,26818,25967,29267,28284,4123,3166,42,3124,957,,1546,,,,1578,
Charlevoix,17901,17439,19038,18896,2781,2041,43,1998,740,995,584,,419,,,
Châteauguay,14393,9908,13864,9660,2698,1488,21,1467,1210,833,634,,,,,
Chicoutimi-Saguenay,32409,29324,38281,35656,4503,2743,39,2704,1760,,,,1761,943,,
Compton,19581,7706,22779,10335,4682,3053,39,3014,1629,1197,1817,,,,,
Deux-Montagnes,15856,14285,15027,13915,2848,,,,,,,,Élu sans opposition,,,
Dorchester,18710,16231,19017,17132,2618,,,,,,,,,,Élu sans opposition,
Drummond-Arthabaska,37360,31977,43923,39616,6485,4340,66,4274,2145,2204,2070,,,,,
Gaspé,25001,17848,26875,19406,4386,,,,,,Élu sans opposition,,,,,
Hochelaga,40079,31335,80998,58522,9469,5455,79,5376,4014,2634,2742,,,,,
Huntingdon,15495,4617,14385,4489,2726,1815,31,1784,911,931,853,,,,,
Iberville,14459,13201,11893,11132,2359,,,,,Élu sans opposition,,,,,,
Jacques-Cartier,12345,10705,13832,11856,2452,1648,43,1605,804,888,717,,,,,
