Circonscriptions,Population_totale_1881,Canadiens_francais_1881,Population_totale_1891,Canadiens_francais_1891,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Autres_liberal,Autres_conservateur,Autres_nationaliste,Autres_independants_01,Autres_independants_02
Argenteuil,16062,6414,15158,5951,2807,1899,33,1866,908,828,1038,,,,,
Bagot,21199,20639,21695,21375,,,,,,,,,Élu sans opposition,,,
Beauce,32020,30803,37222,36076,5830,3698,47,3651,2132,,1268,1900,,,483,
Beauharnois,16005,14420,16662,15370,3481,2689,47,2642,792,,1210,,1432,,,
Bellechasse,18068,17991,18368,18332,3161,2404,11,2393,757,,878,,,1515,,
Berthier,21838,21384,19836,19539,3790,2901,62,2839,889,1535,1304,,,,,
Bonaventure,18908,12047,20835,13287,3004,2391,45,2346,613,994,1352,,,,,
Brome,15827,4910,14709,4839,3591,2767,6,2761,824,1570,1191,,,,,
Chambly,10858,9747,11704,10139,2743,2138,42,2096,605,1071,1025,,,,,
Champlain,26818,25967,29267,28284,4562,3242,59,3183,1320,1534,1649,,,,,
Charlevoix,17901,17439,19038,18896,3710,2769,50,2719,941,,,903,,819,309,688
Châteauguay,14393,9908,13864,9660,3171,1914,27,1887,1257,1120,767,,,,,
Chicoutimi-Saguenay,32409,29324,38281,35656,4797,3000,79,2921,1797,1209,1122,,,590,,
Compton,19581,7706,22779,10335,5861,3503,13,3490,2358,1333,2157,,,,,
Deux-Montagnes,15856,14285,15027,13915,2806,2129,19,2110,677,1019,1091,,,,,
Dorchester,18710,16231,19017,17132,3723,2717,63,2654,1006,,1565,,1089,,,
Drummond-Arthabaska,37360,31977,43923,39616,,,,,,Élu sans opposition,,,,,,
Gaspé,25001,17848,26875,19406,3580,2416,52,2364,1164,1145,1219,,,,,
Hochelaga,40079,31335,80998,58522,9874,6063,181,5882,3811,2832,,,3050,,,
Huntingdon,15495,4617,14385,4489,,,,,,Élu sans opposition,,,,,,
Iberville,14459,13201,11893,11132,,,,,,Élu sans opposition,,,,,,
Jacques-Cartier,12345,10705,13832,11856,2797,2156,30,2126,641,965,1161,,,,,
Joliette,21988,21057,22921,22330,4341,3106,41,3065,1235,1532,1533,,,,,
Kamouraska,22181,21988,20454,20411,3525,2816,37,2779,709,1518,1261,,,,,
Laprairie,11436,9682,10900,8974,2229,1834,23,1811,395,,894,917,,,,
L'Assomption,15282,14862,13674,13327,2811,2260,47,2213,551,1117,1096,,,,,
Laval,9462,9269,9436,9173,1806,1410,22,1388,396,534,854,,,,,
Lévis,27980,25972,25995,24848,5216,4029,83,3946,1187,2170,1776,,,,,
L'Islet,14917,14824,13823,13805,2607,1783,57,1726,824,883,843,,,,,
Lotbinière,20857,18498,20688,19128,3390,2445,26,2419,945,1464,955,,,,,
Maskinongé,17493,17085,17829,17755,2815,2044,44,2000,771,,1003,,,997,,
Mégantic,19056,12960,22233,16631,4154,2833,26,2807,1321,1471,1336,,,,,
Missisquoi,17784,8009,18549,9337,4607,3319,34,3285,1288,1590,1410,,285,,,
Montcalm,12966,11337,12131,11023,2750,1810,22,1788,940,,953,,,835,,
Montmagny,15268,15222,14726,14695,2460,2015,66,1949,445,1071,878,,,,,
Montmorency,12322,11967,12309,12085,2180,1911,34,1877,269,939,938,,,,,
Montréal-Centre,25078,8947,28122,9757,8350,5460,159,5301,2890,2185,3116,,,,,
Montréal-Est,67506,54002,92063,74580,,,,,,,,,Élu sans opposition,,,
Montréal-Ouest,48163,15735,62510,15653,10190,6482,116,6366,3708,2458,,,3908,,,
Napierville,10511,9859,10101,9671,2056,1618,23,1595,438,908,687,,,,,
Nicolet,26611,25868,28735,28374,5198,2772,36,2736,2426,779,,,1957,,,
Ottawa,49432,30433,63560,42285,9298,4569,155,4414,4729,1784,2630,,,,,
Pontiac,19939,5054,22084,6663,4300,2668,21,2647,1632,966,1681,,,,,
Portneuf,25175,23103,25813,24102,4757,3661,38,3623,1096,1962,1661,,,,,
Québec-Centre,17898,11803,12936,9577,2696,1989,32,1957,707,1331,626,,,,,
Québec-Comté,20278,16110,19503,16373,3790,2712,69,2643,1078,1192,1451,,,,,
Québec-Est,31900,28794,36200,34275,5461,3359,42,3317,2102,2622,695,,,,,
Québec-Ouest,12648,5847,13954,7421,2153,1694,108,1586,459,770,816,,,,,
Richelieu,20218,19689,21354,21098,4265,3228,50,3178,1037,1560,1618,,,,,
Richmond-Wolfe,26339,15198,31347,22068,6369,4656,83,4573,1713,2218,2355,,,,,
Rimouski,33791,32032,33430,32825,5040,3970,82,3888,1070,2228,1660,,,,,
Rouville,18547,17885,16012,15644,,,,,,,,,Élu sans opposition,,,
Saint-Hyacinthe,20631,20328,21433,21169,4094,1821,18,1803,2273,1489,314,,,,,
Saint-Jean,12265,9811,12282,10234,2725,1616,,1616,1109,988,,628,,,,
Saint-Maurice,12986,12591,12267,12087,2333,1599,30,1569,734,651,918,,,,,
Shefford,23233,16494,23263,17888,5124,3352,41,3311,1772,1640,1671,,,,,
Sherbrooke,12221,5828,16088,8672,2724,1629,44,1585,1095,504,1081,,,,,
Soulanges,10220,9344,9608,8909,2121,1726,15,1711,395,756,927,,,28,,
Stanstead,15556,4749,18067,6933,4595,3288,34,3254,1307,1410,1844,,,,,
Témiscouata,25484,24687,25698,25189,4582,3367,19,3348,1215,1641,1707,,,,,
Terrebonne,21892,20429,23128,21770,4180,2853,,2853,1327,1034,1819,,,,,
Trois-Rivières,9296,8537,8834,8373,1558,1274,24,1250,284,610,640,,,,,
Vaudreuil,11485,10089,10792,9539,2596,1817,38,1779,779,783,996,,,,,
Verchères,12449,12376,12257,12176,2658,2172,56,2116,486,1125,991,,,,,
Yamaska,17091,16568,16058,15712,3471,2706,71,2635,765,1302,1333,,,,,
