Circonscriptions,Population_totale_1911,Canadiens_francais_1911,Population_totale_1921,Canadiens_francais_1921,Electeurs_inscrits,Votes_exprimes,Bulletin_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Autres_liberal_01,Autres_liberal_02,Autre_liberal_ouvrier,Autres_ouvrier_01,Autres_ouvrier_02,Autres_LD
Argenteuil,16766,8559,17165,9321,3959,,,,,Élu sans opposition,,,,,,,
Arthabaska,24441,23919,24848,24372,5498,,,,,Élu sans opposition,,,,,,,
Bagot,18206,18078,18035,17876,4138,3102,27,3075,1036,1922,1153,,,,,,
Beauce,39508,38835,40308,39828,8161,,,,,Élu sans opposition,,,,,,,
Beauharnois,20802,18049,19888,18283,4332,3274,20,3254,1058,2065,1189,,,,,,
Bellechasse,21141,21114,21813,21781,4909,,,,,Élu sans opposition,,,,,,,
Berthier,19872,19620,20509,20213,4617,,,,,Élu sans opposition,,,,,,,
Bonaventure,28110,20035,29092,21256,6532,,,,,Élu sans opposition,,,,,,,
Brome,13216,4977,13381,6083,3718,2097,13,2084,1621,1747,337,,,,,,
Chambly,16711,12417,21924,14420,4775,,,,,Élu sans opposition,,,,,,,
Champlain,42758,38944,54191,51664,10561,,,,,Élu sans opposition,,,,,,,
Charlevoix-Saguenay,32865,30336,38200,32206,6633,3390,24,3366,3243,1085,967,710,604,,,,
Châteauguay,13322,9607,13557,10151,3319,,,,,Élu sans opposition,,,,,,,
Chicoutimi,21304,21046,37578,36422,7438,5111,4,5107,2327,2645,,2462,,,,,
Compton,21483,15059,23023,14790,5559,,,,,Élu sans opposition,,,,,,,
Deux-Montagnes,13868,12902,14309,13421,3127,1986,27,1959,1141,574,1385,,,,,,
Dorchester,25096,23627,26788,25524,5701,,,,,Élu sans opposition,,,,,,,
Dorion,53809,43635,53809,43635,13245,5228,50,5178,8017,790,,,,,1893,1332,1163
Drummond,17149,15246,19975,18611,4945,,,,,Élu sans opposition,,,,,,,
Frontenac,20038,15400,24090,22845,4981,,,,,Élu sans opposition,,,,,,,
Gaspé,28338,21158,33248,24766,6918,,,,,Élu sans opposition,,,,,,,
Hochelaga,60479,41709,60479,41709,9881,4334,57,4277,5547,2173,1130,,,,974,,
Hull,48332,34373,55026,41535,11740,,,,,Élu sans opposition,,,,,,,
Huntingdon,13240,5372,13174,5901,3377,,,,,Élu sans opposition,,,,,,,
Iberville,9493,8959,9299,8938,2150,1760,12,1748,390,822,,707,219,,,,
Îles-de-la-Madeleine,6663,5969,7127,6380,1733,,,,,Élu sans opposition,,,,,,,
Jacques-Cartier,51839,34433,62252,33125,17679,5459,108,5351,12220,3051,2300,,,,,,
Joliette,23911,23227,25913,25169,5663,4263,41,4222,1400,2048,2174,,,,,,
Kamouraska,20888,20806,22014,21879,5010,,,,,Élu sans opposition,,,,,,,
Labelle,40351,34016,46292,40712,10165,4263,42,4221,5902,2512,1709,,,,,,
Lac-Saint-Jean,29809,29047,35539,35303,7056,4999,54,4945,2057,3694,1251,,,,,,
Laprairie,11623,9077,12071,9231,2158,1747,25,1722,411,986,736,,,,,,
L'Assomption,15164,14691,14331,13825,3247,2359,25,2334,888,1624,,710,,,,,
Laurier,58116,35062,58116,35062,14661,4464,68,4396,10197,1840,,1420,,,623,,513
Laval,29977,26819,24674,22294,10159,5320,40,5280,4839,2428,2852,,,,,,
Lévis,28913,27947,33323,32418,6939,,,,,Élu sans opposition,,,,,,,
L'Islet,16435,16209,17859,17691,3760,,,,,Élu sans opposition,,,,,,,
Lotbinière,22158,21319,21837,21054,5066,,,,,Élu sans opposition,,,,,,,
Maisonneuve,59053,46101,59053,46101,16800,7152,102,7050,9648,2255,,,,,3377,,1418
Maskinongé,16509,16377,16253,16167,3696,2138,25,2113,1558,1419,694,,,,,,
Matane,27539,26614,36303,35632,8013,5740,26,5714,2273,2338,696,1683,997,,,,
Mégantic,31314,26761,33633,30044,7294,,,,,Élu sans opposition,,,,,,,
Missisquoi,17466,10479,17709,11508,4694,2785,16,2769,1909,1189,,862,718,,,,
Montcalm,13862,12904,13987,12955,3161,2552,6,2546,609,1672,,730,144,,,,
Montmagny,17356,17226,21997,21792,4562,3142,26,3116,1420,1653,,1463,,,,,
Montmorency,13215,12953,14008,13798,3114,,,,,Élu sans opposition,,,,,,,
Napierville,7712,7426,7994,7822,1844,,,,,Élu sans opposition,,,,,,,
Nicolet,30055,29741,29695,29367,6958,,,,,Élu sans opposition,,,,,,,
Pontiac,20893,7453,19997,7536,5460,3425,16,3409,2035,1545,544,1320,,,,,
Portneuf,30529,29292,32960,31753,7290,,,,,Élu sans opposition,,,,,,,
Québec-Centre,21143,16945,21143,16945,4914,,,,,Élu sans opposition,,,,,,,
Québec-Comté,25844,22428,29434,26596,5666,,,,,Élu sans opposition,,,,,,,
Québec-Est,24673,23183,24673,23183,5267,3333,43,3290,1934,1833,,,,1457,,,
Québec-Ouest,9618,5465,9618,5465,2178,,,,,Élu sans opposition,,,,,,,
Richelieu,20686,20384,19548,19114,5085,3236,24,3212,1849,2024,,1188,,,,,
Richmond,21282,14961,23745,18107,5009,,,,,Élu sans opposition,,,,,,,
Rimouski,23951,23460,27520,27325,4160,,,,,Élu sans opposition,,,,,,,
Rouville,13131,12737,13656,13067,3126,,,,,Élu sans opposition,,,,,,,
Saint-Georges,48638,14230,48638,14230,4558,,,,,,Élu sans opposition,,,,,,
Saint-Hyacinthe,22342,22094,23098,22928,5179,4228,20,4208,951,2364,,1844,,,,,
Saint-Jacques,44057,38384,44057,38384,6663,3240,59,3181,3423,1486,,688,,,,,1007
Saint-Jean,12389,10673,14219,12537,3240,2158,24,2134,1082,1559,,575,,,,,
Saint-Laurent,25030,4785,25030,4785,3365,1514,39,1475,1851,639,,538,,,,,298
