POSTE,DESCRIPTION
1443,Endettement total net à long terme (compte tenu de l'agglomération s'il y a lieu)
1508,Endettement total net à long terme compétence nature locale compte tenu de la quote-part dans l'agglomération
3022,Passifs
3163,Taxes
3171,Revenus
3181,Charges
5428,Services rendus aux organismes municipaux
6805,Revenus d'électricité
6825,Excédent (déficit) de fonctionnement de l'exercice (réseau d'électricité)
6827,Charges d'électricité
6833,Remboursement de la dette à long terme (réseau d'électricité)
8938,Endettement total net à long terme
8958,Endettement total net à long terme
8978,Endettement total net à long terme
9061,Taxes
9615,Taxes
9641,Compensations tenant lieu de taxes
9682,Services rendus aux organismes municipaux
PRC0100,"Endettement total net à long terme par 100 $ de RFU (municipalités standards et reconstituées, centrales : partie locale dont l'agglomération taxe)"
PRC0101,Endettement total net à long terme par 100 $ de RFU (municipalités liées dont l'agglomération taxe)
PRC0102,Endettement total net à long terme par 100 $ de RFU (agglomérations qui taxent)
PRC0110,Endettement total net à long terme par 100 $ de RFU
PRC0120,Endettement total net à long terme par 100 $ de RFU
PRC0150,Endettement total net à long terme par 100 $ de RFU
PRC0170,Endettement total net à long terme par 100 $ de RFU
PRC0200,"Service de la dette / (Charges nettes sans l'amortissement + remboursement de la dette à long terme + variation fonds d'amortissement) (municipalités standards, reconstituées, partie globale munipalités centrales)"
PRC0210,Service de la dette / (Charges nettes sans l'amortissement + remboursement de la dette à long terme + variation du fonds d'amortissement)
PRC0220,Service de la dette / (Charges nettes sans l'amortissement + remboursement de la dette à long terme + variation du fonds d'amortissement)
PRC0250,Service de la dette / (Charges nettes sans l'amortissement + remboursement de la dette à long terme + variation du fonds d'amortissement)
PRC0270,Service de la dette / (Charges nettes sans l'amortissement + remboursement de la dette à long terme + variation du fonds d'amortissement)
PRC0300,"Charges nettes par 100 $ de RFU (municipalités standards et reconstituées, centrales : parties locale et agglomération dont l'agglomération taxe)"
PRC0301,Charges nettes par 100 $ de RFU (municipalités liées dont l'agglomération taxe)
PRC0310,Charges nettes par 100 $ de RFU
PRC0320,Charges nettes par 100 $ de RFU
PRC0350,Charges nettes par 100 $ de RFU
PRC0370,Charges nettes par 100 $ de RFU
PRC2100,Valeur comptable nette / Coût des immobilisations
PRC2110,Valeur comptable nette / Coût des immobilisations
PRC2120,Valeur comptable nette / Coût des immobilisations
PRC2150,Valeur comptable nette / Coût des immobilisations
PRC2170,Valeur comptable nette / Coût des immobilisations
PRC2400,Actifs / Passifs
PRC2410,Actifs / Passifs
PRC2420,Actifs / Passifs
PRC2450,Actifs / Passifs
PRC2470,Actifs / Passifs
PRC2500,Excédent (déficit) de fonctionnement accumulé / Revenus de fonctionnement
PRC2510,Excédent (déficit) de fonctionnement accumulé / Revenus de fonctionnement
PRC2520,Excédent (déficit) de fonctionnement accumulé / Revenus de fonctionnement
PRC2550,Excédent (déficit) de fonctionnement accumulé / Revenus de fonctionnement
PRC2570,Excédent (déficit) de fonctionnement accumulé / Revenus de fonctionnement
PRC2600,Service de la dette / Revenus de fonctionnement
PRC2610,Service de la dette / Revenus de fonctionnement
PRC2620,Service de la dette / Revenus de fonctionnement
PRC2650,Service de la dette / Revenus de fonctionnement
PRC2670,Service de la dette / Revenus de fonctionnement
PRC2700,Taxes de fonctionnement / Revenus de fonctionnement
PRC2710,Taxes de fonctionnement / Revenus de fonctionnement
PRC2720,Taxes de fonctionnement / Revenus de fonctionnement
PRC2750,Taxes de fonctionnement / Revenus de fonctionnement
PRC2770,Taxes de fonctionnement / Revenus de fonctionnement
PRC2800,Compensations tenant lieu de taxes / Revenus de fonctionnement
PRC2810,Compensations tenant lieu de taxes / Revenus de fonctionnement
PRC2820,Compensations tenant lieu de taxes / Revenus de fonctionnement
PRC2850,Compensations tenant lieu de taxes / Revenus de fonctionnement
PRC2870,Compensations tenant lieu de taxes / Revenus de fonctionnement
PRC2900,Transferts de fonctionnement / Revenus de fonctionnement
PRC2910,Transferts de fonctionnement / Revenus de fonctionnement
PRC2920,Transferts de fonctionnement / Revenus de fonctionnement
PRC2950,Transferts de fonctionnement / Revenus de fonctionnement
PRC2970,Transferts de fonctionnement / Revenus de fonctionnement
PRC3000,"Endettement total net à long terme par unité d'évaluation (municipalités standards et reconstituées, centrales : parties locale et agglomération dont l'agglomération taxe)"
PRC3001,Endettement total net à long terme par unité d'évaluation (total municipalités liées dont l'agglomération taxe)
PRC3002,Endettement total net à long terme par unité d'évaluation (en proportion de la RFU de la municipalité) (partie agglomération des municipalités liées dont l'agglomération taxe)
PRC3003,Endettement total net à long terme par unité d'évaluation (agglomérations qui taxent)
PRC3010,Endettement total net à long terme par unité d'évaluation
PRC3020,Endettement total net à long terme par unité d'évaluation
PRC3050,Endettement total net à long terme par unité d'évaluation
PRC3070,Endettement total net à long terme par unité d'évaluation
PRC3100,"Charges nettes par unité d'évaluation (municipalités standards et reconstituées, centrales : parties locale et agglomération dont l'agglomération taxe)"
PRC3101,Charges nettes par unité d'évaluation (total municipalités liées dont l'agglomération taxe)
PRC3102,Charges nettes par unité d'évaluation (en proportion de la RFU de la municipalité) (partie agglomération des municipalités liées dont l'agglomération taxe)
PRC3103,Charges nettes par unité d'évaluation (agglomérations qui taxent)
PRC3110,Charges nettes par unité d'évaluation
PRC3120,Charges nettes par unité d'évaluation
PRC3150,Charges nettes par unité d'évaluation
PRC3170,Charges nettes par unité d'évaluation
PRC3200,"Taxes par unité d'évaluation imposable (municipalités standards et reconstituées, centrales : parties locale et agglomération dont l'agglomération taxe)"
PRC3201,Taxes par unité d'évaluation imposable (total municipalités liées dont l'agglomération taxe)
PRC3202,Taxes par unité d'évaluation imposable (en proportion de la RFU de la municipalité) (partie agglomération des municipalités liées dont l'agglomération taxe)
PRC3203,Taxes par unité d'évaluation imposable (agglomérations qui taxent)
PRC3210,Taxes par unité d'évaluation imposable
PRC3220,Taxes par unité d'évaluation imposable
PRC3250,Taxes par unité d'évaluation imposable
PRC3270,Taxes par unité d'évaluation imposable
PRN0100,Endettement total net à long terme (réseau d'électricité)
PRN0200,Service de la dette (réseau d'électricité)
PRN0300,Services rendus aux organismes municipaux (réseau d'électricité)
RF01010102,Taxes de fonctionnement
RF01010201,Compensations tenant lieu de taxes
RF01010525,Transferts de fonctionnement
RF01010601,Revenus de fonctionnement
RF05021002,Service de la dette
RF06010101,Actifs
