point_echantillonnage,plan_eau,administration,nom,descrip_longue,programme,sous_prog,station_nom,date_heure,raison_annulation,temperature,conductivite,pH,signe,coliformes_fecaux,OD_concentration,OD_pourc,MES,phos_total,azote_total,cot,Ag,Al,As,Ba,Be,Ca,Cd,Co,Cr,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,Pb,Sb,Se,Sn,Tl,U,V,Zn,prec_0_mm,prec_1_mm,prec_2_mm,prec_tot_60h,meteo,tournee,latitude,longitude,x,y
"PAP-1","Marais du parc-nature de la Pointe-aux-Prairies","Rivière-des-Prairies-Pointe-aux-Trembles","P-N de la Pointe-aux-Prairies","Parc-nature de la Pointe-aux-Prairies, secteur de la rivière des Prairies, déversoir le plus à l'est","R","R","PAP-1   P-N de la Pointe-aux-Prairies",2013-04-09T14:08:48,,"          3.8",484,7.9,"<",10,"         11.57","         88.00",3,81,310,5.45,0.1,170,0.4,33,0.1,42000,0.1,0.21,0.96,1.8,460,4400,19000,62,1,27000,1.1,0.2,0.5,0.5,1,0.2,1.8,0.89,4.5,14,0,0,14,0,1,"45.690394475","-73.5204685299",303205.78,5061167.83999998
"DEN-0.8P1","Ruisseau Denis","Dorval","Rue Belmont","Rue Belmont, 200m à l'est du boul. des Sources, branche secondaire provenant de dépôts à neige","R","R","DEN-0.8P1   Rue Belmont",2013-05-07T13:29:26,,"         14.8",305,8.4,"=",18,"         13.74","        120.60",47,98,20,3.13,0.1,1700,0.56,36,0.1,37000,0.1,1.5,3.4,10,2000,1800,4400,49,1,24000,5.7,2.9,0.5,0.5,1,0.2,0.32,3.5,88,0,0,0,0,1,2,"45.4571451324","-73.7798862479",282910.234,5035284.29999998
"BOU-1.0","Ruisseau Bouchard","Dorval","Boul. Bouchard","Ponceau du boul. Bouchard, 150m à l'ouest du boul. Galland.","R","R","BOU-1.0   Boul. Bouchard",2013-04-24T11:57:46,,"          9.8",1228,7.9,"<",10,"          9.26","         82.00",12,37,130,9.47,0.1,230,0.36,51,0.1,86000,0.1,0.62,1.2,2.7,790,4700,21000,87,2.4,140000,2.4,1,0.5,0.5,1,0.2,1.2,1.1,13,0,0,0,0,1,2,"45.4460077533","-73.7253003703",287175.9,5034033.2
"DEN-2.6","Ruisseau Denis","Dorval","Av. Reverchon","Rue Reverchon, 100m à l'est du cr. Newman","R","R","DEN-2.6   Av. Reverchon",2013-05-07T13:16:04,,"         15.6",1165,8,"=",550,"         11.88","        119.80",460,510,54,4.22,0.1,6500,5.3,250,0.36,100000,0.14,7.5,21,35,11000,6000,24000,220,5.7,140000,20,32,1.5,0.5,1,0.2,0.98,17,140,0,0,0,0,1,2,"45.4660700012","-73.7801656599",282891.839,5036276.2
"DEN-3.2","Ruisseau Denis","Pointe-Claire","Ch. Aviation","Rue de l'Aviation, 300m à l'est du boul. des Sources","R","R","DEN-3.2   Ch. Aviation",2013-05-07T13:03:18,,"         15.0",1343,7.7,"=",1300,"         12.15","        121.10",31,75,85,3.84,0.1,730,0.48,52,0.1,94000,0.1,1.4,2.1,5.7,1300,3400,24000,50,1.4,150000,2.8,2.4,0.5,0.5,1,0.2,0.73,2.1,17,0,0,0,0,1,2,"45.4699534797","-73.7861966608",282421.768,5036709.42999999
"PAQ-1","Étang du parc Dr-Bernard-Paquet","Saint-Laurent","Rue Jean-Gascon","Inters. Av. Félix-Leclerc et rue Jean-Gascon, parc du Dr.-B.-Paquet, sur la passerelle.","R","R","PAQ-1   Rue Jean-Gascon",2013-05-07T09:47:53,,"         20.1",355,7.6,"<",10,"          5.87","         64.80",14,70,20,4.47,0.1,260,1.2,27,0.1,25000,0.1,0.19,1,0.83,1100,2700,3800,150,1,34000,0.62,0.5,0.5,0.5,1,0.2,0.1,1.3,6.3,0,0,0,0,1,2,"45.5065149921","-73.7324652116",286634.882,5040758.96
"BOU-1.5P2","Ruisseau Bouchard","Dorval","Rue Guthrie","Rencontre des rues Lépine et Meloche, côté sud.","R","R","BOU-1.5P2   Rue Guthrie",2013-04-24T10:11:28,,"          8.6",705,8,"<",10,"         11.81","        101.00",15,37,20,2.8,0.1,220,0.29,29,0.1,54000,0.1,0.26,1.5,3.7,610,2200,16000,23,1,64000,1.2,2.1,0.5,0.5,1.1,0.2,0.24,1.2,13,0,0,0,0,1,2,"45.4500566569","-73.7268568589",287055.414,5034483.49
"BER-0.7P1","Ruisseau Bertrand","Ahuntsic-Cartierville","Rue Camille","Montréal, PN Bois-de-Liesse, O rue Camille, N  chemin de fer","R","R","BER-0.7P1   Rue Camille",2013-05-07T11:01:22,,"         11.1",2008,7.7,"=",16000,"         11.01","        101.20",5.4,99,200,4.9,0.1,67,0.21,46,0.1,140000,0.1,0.16,0.83,8.4,130,5600,32000,21,1.2,230000,2.9,0.2,0.5,0.5,1,0.2,1.4,0.26,9.5,0,0,0,0,1,2,"45.5076747232","-73.7536315987",284981.322,5040892.84999999
"PHI-1","Bassin de rétention du parc Philippe-Laheurte","Saint-Laurent","Rue Raymond-Lasnier","Rue Raymond-Lasnier","R","R","PHI-1   Rue Raymond-Lasnier",2013-05-07T09:33:24,,"         10.3",1232,7.5,"<",10,"          4.25","         38.10",3.1,15,20,1.78,0.1,86,0.2,38,0.1,150000,0.1,0.15,0.77,2,220,6200,41000,7.9,5,61000,3.7,0.64,0.5,0.5,1,0.2,1.7,0.26,7.5,0,0,0,0,1,2,"45.5037461955","-73.7195880639",287640.277,5040448.42999999
"SAR-1","Marécage du parc-nature du Bois-de-Saraguay","Ahuntsic-Cartierville","Exutoire du marais de Saraguay","Bois de Saraguay, 175m  N boul. Gouin , 250m E ave Jean-Bourdon, exutoire du marais à la rivière","R","R","SAR-1   Exutoire du marais de Saraguay",2013-05-07T10:13:13,"Non représentatif",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,2,"45.5161697552","-73.7481144895",285415.343,5041835.55999999
