point_echantillonnage,plan_eau,administration,nom,descrip_longue,programme,sous_prog,station_nom,date_heure,raison_annulation,temperature,conductivite,pH,signe,coliformes_fecaux,OD_concentration,OD_pourc,MES,phos_total,azote_total,cot,Ag,Al,As,Ba,Be,Ca,Cd,Co,Cr,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,Pb,Sb,Se,Sn,Tl,U,V,Zn,prec_0_mm,prec_1_mm,prec_2_mm,prec_tot_60h,meteo,tournee,latitude,longitude,x,y
"CAS-1","Lac aux Castors","Ville-Marie","Ch. Remembrance","Parc du Mont-Royal, effluent du lac des Castors, 100m à l'est de la rue Remembrance, près du chalet.","R","R","CAS-1   Ch. Remembrance",2024-06-04T09:27:03,,"         22.8",539,8.2,"=",36,"         11.30","        130.00",0.9,11,20,,0.1,9,0.3,33,1.3,46300,0.1,0.1,0.3,1.5,19,3320,12600,4.3,1,46200,0.9,0.2,0.5,0.5,1,0.2,0.6,0.3,7,0,0,1.7,1.7,-2,2,"45.4987859127","-73.5988369105",297075.705,5039878.49
"IDS-1","Lac Lacoursière","Verdun","Rue Savoyanne","Île des Soeurs, chemin du Golf, rue de la Savoyane, lac du parc Lacoursière, muret près du garde fou .","R","R","IDS-1   Rue Savoyanne",2024-06-04T10:00:07,,"         24.1",700,7.6,"=",72,"          8.50","        101.00",1.2,25,20,,0.1,10,0.8,59,1.3,53900,0.1,0.2,0.3,0.5,18,217,27300,80.8,1.2,53800,1.2,0.2,0.5,0.5,1,0.2,0.4,0.3,7,0,0,1.7,1.7,-2,2,"45.4652017939","-73.5499612987",300893.108,5036142.74
"IDS-2","Lac des Battures","Verdun","Boul. Forêt","Île des Soeurs, chemin de la Forêt, parc Adrien D-Archambault, sur la plate-forme de bois, lac des Battures.","R","R","IDS-2   Boul. Forêt",2024-06-04T10:13:33,,"         23.9",467,7.9,"=",45,"          7.80","         93.00",2.4,33,20,,0.1,16,0.6,39,1.3,60300,0.1,0.2,0.3,0.8,45,3470,12800,79.3,1,18700,0.6,0.2,0.5,0.5,1,0.2,0.4,0.3,7,0,0,1.7,1.7,-2,2,"45.4561003757","-73.5538839661",300585.683,5035131.5
"LAF-1","Étang du parc Lafontaine","Le Plateau-Mont-Royal","Exutoire de l'étang","Intersection rue Cherrier et ave du Parc La Fontaine, sortie du bassin.","R","R","LAF-1   Exutoire de l'étang",2024-06-04T08:42:28,"À sec",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1.7,1.7,-2,2,"45.5232984378","-73.5674130424",299533.827,5042600.04
"MON-0.0","Ruisseau De Montigny","Montréal-Nord","Embouchure du ruisseau","Boul. Gouin E., 250m à l'ouest de l'ave Ozias-Leduc, effluent à la rivière des Prairies.","R","R","MON-0.0   Embouchure du ruisseau",2024-06-04T11:56:35,,"         19.4",922,7.7,"=",230,"          7.60","         83.00",16.3,147,230,,0.1,245,0.9,46,1.3,70800,0.1,0.6,1.5,3.4,660,3840,16800,88.8,1.7,97700,2.7,1.6,0.5,0.5,1,0.2,0.6,1,10,1,0,1.7,2.7,0,2,"45.6292967385","-73.6212094296",295349.158,5054384.76999999
"MON-4.0","Ruisseau De Montigny","Anjou","Rue Bombardier","Près de l'intersection du boul. Galerie D'Anjou et de la rue Bombardier.","R","R","MON-4.0   Rue Bombardier",2024-06-04T11:15:37,,"         23.5",679,8.2,"=",140,"         10.30","        121.00",13.8,126,40,,0.1,70,0.7,38,1.3,52800,0.1,0.4,0.4,2.2,314,3440,13000,40.2,1.2,70700,2,0.7,0.5,0.5,1,0.2,0.4,0.3,7,1,0,1.7,2.7,0,2,"45.6069163251","-73.5883539648",297908.196,5051894.21999999
"MON-i","Ruisseau De Montigny","Anjou","INDUSTRIEL ANJOU","350m au sud-est de l'inters. Renaude-Lapointe et du boul. Henri-Bourassa","R","R","MON-i   INDUSTRIEL ANJOU",2024-06-04T11:31:25,,"         23.0",804,8.5,"=",27,,,7.3,51,20,,0.1,38,0.6,37,1.3,56500,0.1,0.3,0.7,3,144,3630,15200,23.5,1.6,88800,1.6,0.4,0.5,0.5,1,0.2,0.5,0.3,7,1,0,1.7,2.7,0,2,"45.6104555834","-73.5967252571",297255.692,5052288.29999998
"PAP-golf","Marais du parc-nature de la Pointe-aux-Prairies","Rivière-des-Prairies-Pointe-aux-Trembles","P-N de la Pointe-aux-Prairies","Parc-nature de la Ponte-aux-Prairies, secteur rivière des Prairies, branche en provenance du Golf de Montréal.","R","R","PAP-golf   P-N de la Pointe-aux-Prairies",2024-06-04T13:28:49,"Niveau trop faible",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1.7,2.7,0,2,"45.685539048","-73.5217702047",303104.25,5060628.25999999
"PIN-0.0","Ruisseau Pinel","Rivière-des-Prairies-Pointe-aux-Trembles","embouchure du ruisseau","Boul. Gouin, 50m à l'est de la 87e ave, embouchure du ruisseau vers la rivière-des-Prairies.","R","R","PIN-0.0   embouchure du ruisseau",2024-06-04T13:11:01,,"         19.1",1039,7.9,"=",530,"          7.40","         82.00",5.2,64,140,,0.1,97,0.7,51,1.3,94100,0.1,0.2,0.7,2,309,15000,28600,62.5,2.2,90500,2,0.5,0.5,0.6,1,0.2,0.6,0.3,7,1,0,1.7,2.7,0,2,"45.6722382412","-73.5413309745",301579.837,5059150.69
"ANG-2","Étang du parc Angrignon","Le Sud-Ouest","Sortie du bassin principal","Montréal, parc Angrignon, bassin principal, à la sortie de l'étang.","R","R","ANG-2   Sortie du bassin principal",2024-05-27T09:49:07,,"         22.8",398,8,"<",10,"          8.20","         95.00",1.1,27,20,,0.1,14,0.8,23,1.3,46200,0.1,0.1,0.3,1.6,19,1200,18400,14.9,1,9290,0.6,0.2,0.5,0.5,1,0.2,0.7,0.5,7,1.8,0,0,1.8,0,1,"45.4440053939","-73.5952183078",297351.293,5033790.38999999
