Type de location,Signataire (Nom),Adresse,Arrondissement,Date de début de bail,Date de fin de bail
Locateur,ARTS EN MOUVEMENT DU QUEBEC INC,"330, rue Saint-Paul E",VILLE-MARIE,2020-01-01,2028-12-31
Locateur,SOCOTROP SENC,"330, rue Saint-Paul E",VILLE-MARIE,2020-01-01,2027-05-31
Locateur,DIFFUSION BIPLAN INC.,"330, rue Saint-Paul E",VILLE-MARIE,2020-01-01,2028-12-31
Locateur,Groupe MTLDécor Inc,"330, rue Saint-Paul E",VILLE-MARIE,2020-01-01,2025-12-31
Locateur,9062-4438 QUEBEC INC.    ,"330, rue Saint-Paul E",VILLE-MARIE,2020-01-01,2028-12-31
Locateur,MEUBLES D'AUTREFOIS M.B.,"330, rue Saint-Paul E",VILLE-MARIE,2020-01-01,2025-04-30
Locateur,ART & CULTURE DU CANADA INC.,"330, rue Saint-Paul E",VILLE-MARIE,2020-01-01,2028-12-31
Locateur,GESTION LCBH INC.,"330, rue Saint-Paul E",VILLE-MARIE,2020-01-01,2028-12-31
Locateur,CONSEIL DES METIERS D'ART DU QUÉBEC,"330, rue Saint-Paul E",VILLE-MARIE,2020-01-01,2024-12-31
Locateur,9319-4322 QUEBEC INC. PUB BREWSKEY,"330, rue Saint-Paul E",VILLE-MARIE,2020-01-01,2031-08-31
Locateur,CAFE DES ARTS GALERIE MAM INC.,"330, rue Saint-Paul E",VILLE-MARIE,2020-01-01,2028-12-31
Locateur,JULES PERRIER ARTISAN INC.,"330, rue Saint-Paul E",VILLE-MARIE,2020-01-01,2028-12-31
Locateur,148501 CANADA INC.,"330, rue Saint-Paul E",VILLE-MARIE,2020-01-01,2027-05-31
Locateur,148501 CANADA INC.,"330, rue Saint-Paul E",VILLE-MARIE,2020-01-01,2027-05-31
Locateur,Distribution Impex,"330, rue Saint-Paul E",VILLE-MARIE,2020-01-01,2030-12-31
Locateur,GROUPE ÉCORÉCRÉO INC.,"330, rue Saint-Paul E",VILLE-MARIE,2021-02-01,2025-01-31
Locateur,Évenements Marché Bonsecours,"330, rue Saint-Paul E",VILLE-MARIE,2021-06-01,2028-12-31
Locateur,Le Commerce Ziptown inc.,"330, rue Saint-Paul E",VILLE-MARIE,2022-10-01,2029-03-31
Locateur,GESTION LCBH INC.,"330, rue Saint-Paul E",VILLE-MARIE,2023-01-01,2025-12-31
Emphytéose,Centre Céra.Poterie Bonsecours,"444, rue Saint-Gabriel",VILLE-MARIE,1982-04-20,2032-04-19
Locateur,CPE Fleur de Macadam,"105, rue Ontario E",VILLE-MARIE,2010-01-01,2032-03-04
Locateur,Ctre comm. Faubourg St-Laurent ,"105, rue Ontario E",VILLE-MARIE,2010-01-01,2032-03-04
Locateur,Institut de rech en biologie,"4101, rue Sherbrooke E",ROSEMONT / PETITE-PATRIE,1995-06-01,2039-07-10
Locateur,VIDEOTRON LTÉE,"2111, rue Saint-Zotique E",ROSEMONT / PETITE-PATRIE,2013-06-01,2033-05-31
Locateur,AGENCE DE MOBILITÉ DURABLE,1500 Rue des Carrières,ROSEMONT / PETITE-PATRIE,2020-01-01,2024-12-31
Locateur,Société de transport Mtl (STM) Finances,"1100, Voie Camillien-Houde",VILLE-MARIE,2014-04-01,2029-03-31
Locateur,BELL MEDIA INC.,"1100, Voie Camillien-Houde",VILLE-MARIE,2008-01-01,2023-03-31
Locateur,GROUPE TVA INC.,"1100, Voie Camillien-Houde",VILLE-MARIE,2008-01-01,2023-03-31
Locateur,SOCIÉTÉ RADIO-CANADA,"1100, Voie Camillien-Houde",VILLE-MARIE,2008-01-01,2032-12-31
Locateur,Centre de Services Partages Qc ,"1100, Voie Camillien-Houde",VILLE-MARIE,2011-07-01,2024-06-30
Locateur,Soc québécoise infrastructures,"1100, Voie Camillien-Houde",VILLE-MARIE,2013-01-01,2022-12-31
Locateur,Consulat Gén. #USA,"1100, Voie Camillien-Houde",VILLE-MARIE,2018-04-01,2028-03-31
Locateur,Intégration jeunesse du Qc inc,"8100, boulevard Saint-Michel",VILLERAY/ST-MICHEL/PARC-EXTENS,2022-07-01,2026-06-30
