ID,ID_Carto,ID_Fiches,Adresse,Type,Definition,Nom_propri,Adresse_pr,Ville,Code_posta,Adresse_sp,Etag_min,Etag_max,Haut_min,Haut_max,Usage,Densite,Taux_min,Taux_max,Uni_pays,Im_int,Ens_embl,Patrimoine,Air_protec,Compte_fon,Valeur_bat,Valeur_ter,Valeur_pro,No_civique,Nom_rue,Coord_X,Coord_Y,Mise_a_jou
"2","2","1","3900, avenue de Ramezay",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",Madame Amanda Gales,"3900, avenue de Ramezay",Montréal (Québec),H3Y 3K5,3900 avenue de Ramezay,"2","2",S.O.,"12.5",R.1,"2",S.O.,35 %,Flanc ouest,S.O.,S.O.,"Le site patrimonial cité du Mont-Royal, Le site patrimonial déclaré du Mont-Royal",S.O.,"26221650","1043400","1388600","2432000","3900",avenue de Ramezay,297324.103045518219005,5039276.201722187921405,Décembre 2022
"3","3","40","3015, rue Sherbrooke Ouest",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",Akelius Montréal Ltd.,"289, Niagara Street",Toronto (Ontario),M6J 0C3,3015 rue Sherbrooke Ouest,"2","3",S.O.,"14",R.3,"3",S.O.,70 %,Flanc sud,S.O.,S.O.,S.O.,S.O.,"26068325","7517800","2754200","10272000","3015",rue Sherbrooke Ouest,297856.400066395872273,5039020.096996821463108,Décembre 2022
"4","1","9","4044, chemin de Trafalgar",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",Viorel Pavel Stirbu,"5526, avenue Trans Island",Montréal (Québec),H3W 3A9,4044 chemin de Trafalgar,"2","2",S.O.,"12.5",R.1,"2",S.O.,60 %,Flanc ouest,S.O.,S.O.,"Le site patrimonial cité du Mont-Royal, Le site patrimonial déclaré du Mont-Royal",S.O.,"26237600","289300","505800","795100","4044",chemin de Trafalgar,297043.899399436486419,5039329.396857856772840,Décembre 2022
"5","5","4","1830, avenue Lincoln",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",Société en commandite 1830 Lincoln,"1280, avenue Bernard #200",Outremont (Québec),H2V 1V9,1830 avenue Lincoln,"2",S.O.,S.O.,"14",R.3,"3",S.O.,85 %,Centre-Ville,S.O.,S.O.,S.O.,S.O.,"26200800","2328100","1362900","3691000","1830",avenue Lincoln,298416.898090068658348,5039400.903761417604983,Décembre 2022
"6","4","2","1570, avenue des Pins Ouest",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",Shaghayegh Bakhshi,"18, rue de l'Île Barwick",Pierrefonds (Québec),H8Z 2W8,1570 avenue des Pins Ouest,"2","3",S.O.,"14",R.2,"3",S.O.,60 %,Flanc sud,S.O.,S.O.,"Le site patrimonial cité du Mont-Royal, Le site patrimonial déclaré du Mont-Royal",S.O.,"26089101","797100","1002600","1799700","1570",avenue des Pins Ouest,298019.296119101636577,5039723.104867991060019,Décembre 2022
"7","6","32","1179, rue Saint-Marc",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",Monsieur Jean Yves Bourdages,"1185, rue Saint-Marc #3",Montréal (Québec),H3H 2E4,1179 rue Saint-Marc,"2","3",S.O.,"14",R.2,"3",S.O.,70 %,Maisons en rangée,S.O.,S.O.,S.O.,La maison Shaughnessy,"26162800","132700","521800","654500","1179",rue Saint-Marc,298696.598588688939344,5039090.403784517198801,Décembre 2022
"8","13","14","1449, rue Crescent",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",Les entreprises Ragueneau Inc.,"1449, rue Crescent",Montréal (Québec),H3G 2B2,1449 rue Crescent,"2","3",S.O.,"14",M.8C,"3",S.O.,100 %,Maisons en rangée,S.O.,S.O.,S.O.,"L'édifice du Mount Stephen Club, La façade des Appartements-Bishop Court","26118075","4471400","4828600","9300000","1449",rue Crescent,298816.496154243184719,5039775.999974694103003,Décembre 2022
"9","12","18","1181, rue Guy",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",Concordia University,"1455, boulevard De Maisonneuve Ouest GM-620",Montréal (Québec),H3G 1M8,1181 rue Guy,"3","4",S.O.,"16",M.7C,"6",S.O.,100 %,Maisons en rangée,S.O.,S.O.,S.O.,La chapelle de l'Invention-de-la-Sainte-Croix,"26151250","354800","1936000","2290800","1181",rue Guy,298872.700200176506769,5039393.903085544705391,Décembre 2022
"10","11","19","1195, rue Guy",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",Concordia University,"1455, boulevard De Maisonneuve Ouest GM-620",Montréal (Québec),H3G 1M8,1195 rue Guy,"3","4",S.O.,"16",M.7C,"6",S.O.,100 %,Maisons en rangée,S.O.,S.O.,S.O.,La chapelle de l'Invention-de-la-Sainte-Croix,"26151000","1303600","2761100","4064700","1195",rue Guy,298862.299069868051447,5039409.804620741866529,Décembre 2022
"11","10","20","1201, rue Guy",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",Concordia University,"1455, boulevard De Maisonneuve Ouest GM-620",Montréal (Québec),H3G 1M8,1201 rue Guy,"3","4",S.O.,"16",M.7C,"6",S.O.,100 %,Maisons en rangée,S.O.,S.O.,S.O.,La chapelle de l'Invention-de-la-Sainte-Croix,"26150800","350200","933800","1284000","1201",rue Guy,298850.000826180563308,5039419.095517721958458,Décembre 2022
"12","9","21","1205, rue Guy",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",Concordia University,"1455, boulevard De Maisonneuve Ouest GM-620",Montréal (Québec),H3G 1M8,1205 rue Guy,"3","4",S.O.,"16",M.7C,"6",S.O.,100 %,Maisons en rangée,S.O.,S.O.,S.O.,La chapelle de l'Invention-de-la-Sainte-Croix,"26150700","886000","1171200","2057200","1205",rue Guy,298844.202257895958610,5039422.895884624682367,Décembre 2022
"13","8","22","1209, rue Guy",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",Concordia University,"1455, boulevard De Maisonneuve Ouest GM-620",Montréal (Québec),H3G 1M8,1209 rue Guy,"3","4",S.O.,"16",M.7C,"6",S.O.,100 %,Maisons en rangée,S.O.,S.O.,S.O.,La chapelle de l'Invention-de-la-Sainte-Croix,"26150600","900000","1179500","2079500","1209",rue Guy,298835.698240966536105,5039423.695961866527796,Décembre 2022
"14","15","13","1189, rue Crescent",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",157837 Canada Inc. A/s de Joseph Drazin,"1117, rue Sainte-Catherine Ouest #303",Montréal (Québec),H3B 1H9,1189 rue Crescent,"3","4",S.O.,"16",M.7C,"6",S.O.,100 %,Maisons en rangée,S.O.,S.O.,S.O.,S.O.,"26118850","5215400","6054600","11270000","1189",rue Crescent,299014.101133466057945,5039634.096274748444557,Décembre 2022
"15","7","23","1221, rue Guy",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",La Résidence Fulford A/s de Mme Lacoste,"1221, rue Guy",Montréal (Québec),H3H 2K8,1221 rue Guy,"3","4",S.O.,"16",M.7C,"6",S.O.,100 %,Maisons en rangée,S.O.,S.O.,S.O.,La chapelle de l'Invention-de-la-Sainte-Croix,"26150500","1177200","2884700","4061900","1221",rue Guy,298818.302536112780217,5039446.698182592168450,Décembre 2022
"18","14","17","1220, rue de la Montagne",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",Centre de services scolaires de Montréal Service des ressources matérielles,"5100, rue Sherbrooke Est",Montréal (Québec),H1V 3R9,1220 rue de la Montagne,S.O.,S.O.,"11","23",M.7C,"6",S.O.,100 %,Maisons en rangée,L'académie Bourget,S.O.,S.O.,S.O.,"26104940","840000","5986700","6826700","1220",rue de la Montagne,299006.281727016379591,5039699.772615402936935,Décembre 2022
"24","16","39","350, rue Sherbrooke Ouest",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",Gestion Sherbrooke-Bleury Inc.,"755, rue Berri #200",Montréal (Québec),H2Y 3E5,350 rue Sherbrooke Ouest,S.O.,S.O.,"11","16",M.7C,"12",S.O.,100 %,Rue Sherbrooke,S.O.,S.O.,S.O.,Les façades de la Rue-Jeanne-Mance,"17160100","2929400","1811200","4740600","350",rue Sherbrooke Ouest,299239.296739875106141,5040901.598644456826150,Décembre 2022
"37","17","31","480, rue Saint-François-Xavier",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",Vaestas Développement Inc.,"1155, boulevard René-Lévesque Ouest #2500",Montréal (Québec),H3B 2K4,480 rue Saint-François-Xavier,S.O.,S.O.,"11","16",M.7C,"6",S.O.,100 %,Vieux-Montréal,S.O.,S.O.,Le site patrimonial déclaré de Montréal,S.O.,"14010900","277700","726500","1004200","480",rue Saint-François-Xavier,300335.003441046399530,5040413.301502312533557,Décembre 2022
"38","18","28","11, rue Saint-Antoine Ouest",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",147015 Canada Inc.,"3495, avenue du Musée #101",Montréal (Québec),H3G 2C8,11 rue Saint-Antoine Ouest,S.O.,S.O.,"16","44",M.7C,"6",S.O.,100 %,Boulevard Saint-Laurent,S.O.,S.O.,S.O.,S.O.,"17135300","112200","587800","700000","11",rue Saint-Antoine Ouest,300284.903151202131994,5040752.004202015697956,Décembre 2022
"39","19","33","100, rue Saint-Paul Est",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",Indiport Inc.,"8425, chemin de Devonshire",Mont-Royal (Québec),H4P 2L1,100 rue Saint-Paul Est,S.O.,S.O.,"11","16",M.6C,"6",S.O.,100 %,Vieux-Montréal,S.O.,S.O.,Le site patrimonial déclaré de Montréal,S.O.,"11006000","476200","427500","903700","100",rue Saint-Paul Est,300673.003058635978960,5040737.002753715962172,Décembre 2022
"49","25","42",550 rue Sainte-Catherine Est,Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",Société en commandite Poggi II,"4770, avenue de Kent #214",Montréal (Québec),H3W 1H2,550 rue Sainte-Catherine Est,S.O.,S.O.,"11","44",M.9C,"6",S.O.,100 %,Sainte-Catherine-Centre,S.O.,S.O.,S.O.,Le clocher de l'Église-de-Saint-Jacques,"20141800","964700","446000","1410700","550",rue Sainte-Catherine Est,300185.898577774234582,5041684.804258234798908,Décembre 2022
"50","26","12","1085, rue Berri",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",Monsieur Sergey Ovcharenko,"10, rue Roy",L'Île-Perrot (Québec),J7V 8W3,1085 rue Berri,S.O.,S.O.,"11","44",M.3B,"6",S.O.,100 %,Centre-Ville,L'académie Marchand,S.O.,S.O.,S.O.,"11076900","2039000","1621500","3660500","1085",rue Berri,300368.475119707582053,5041512.037578653544188,Décembre 2022
"51","20","34","176, rue Sainte-Catherine Est",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",Église de scientologie de Montréal A/s de Monique Deneault,"176, rue Sainte-Catherine Est",Montréal (Québec),H2X 1K9,176 rue Sainte-Catherine Est,S.O.,S.O.,"11","23",M.9C,"6",S.O.,100 %,Sainte-Catherine-Centre,S.O.,S.O.,S.O.,S.O.,"19096300","2150500","1963500","4114000","176",rue Sainte-Catherine Est,299950.400820885202847,5041286.295784645713866,Décembre 2022
"52","22","29","1093, rue Saint-Denis",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",Picone Doumit Holdings Inc.,"3024, chemin Saint-Sulpice",Montréal (Québec),H3H 1B5,1093 rue Saint-Denis,"2",S.O.,S.O.,"16",M.7A,"3",S.O.,100 %,Maisons en rangée,S.O.,S.O.,S.O.,S.O.,"11053700","1567600","696500","2264100","1093",rue Saint-Denis,300300.797661990742199,5041413.498065258376300,Décembre 2022
"53","21","30","1679-1681, rue Saint-Denis",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",La Société de Développement Donacona Inc.,"409, rue Saint-Nicolas #200",Montréal (Québec),H2Y 2P4,1681 rue Saint-Denis,"2","3",S.O.,"14",M.8C,"3",S.O.,85 %,Maisons en rangée,S.O.,S.O.,S.O.,S.O.,"20004100","731300","505000","1236300","1679",rue Saint-Denis,5041723.598003536462784,5041723.598003536462784,Décembre 2022
"54","23","15","405, rue de Bonsecours",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",Fondation PHI pour l'art contemporain,"451, rue Saint-Jean",Montréal (Québec),H2Y 2R5,405 rue de Bonsecours,S.O.,S.O.,"11","16",M.3C,"3",S.O.,100 %,Vieux-Montréal,S.O.,S.O.,Le site patrimonial déclaré de Montréal,S.O.,"11014250","708100","2052400","2760500","405",rue de Bonsecours,300758.826818238710985,5041139.521614484488964,Décembre 2022
"56","30","41","1750, rue Wolfe",Bâtiment inoccupé,"Bâtiment sans occupant dans l'ensemble du bâtiment, mais toujours desservi par au moins une des utilités publiques suivantes : eau, électricité, gaz.",Claude Leblond,"1752, rue Wolfe",Montréal (Québec),H2L 3J8,1750 rue Wolfe,"2","3",S.O.,"12.5",R.3,"3",35 %,70 %,Sainte-Marie--Saint-Jacques,S.O.,S.O.,S.O.,S.O.,"20082300","553200","334800","888000","1750",rue Wolfe,300069.003400350280572,5042187.602800400927663,Décembre 2022
