"Point_echantillonnage ","PlanEau","NOM","Description","Administration","Latitude","Longitude","Statut"
"BLAP-0.5","BLAP","Parc Ranger","Parc Ranger, inters. du boul. Lasalle et de la rue Lyette","LaSalle","45.42838902","-73.6658646","Actif"
"BLAP-01","BLAP","Canal de Lachine (Cabouse)","Canal de Lachine, inters. av. Dollard et rue de la Berge du Canal","Lachine","45.44146729","-73.64512033","Actif"
"BLAP-02","BLAP","Canal de Lachine (H2O adventures)","Canal de Lachine, inters. rue d'Argenson et rue St-Patrick","Le Sud-Ouest","45.4790223","-73.57396405","Actif"
"BLAP-1","BLAP","Parc de l'Aqueduc (La Bécane)","Parc de l'Aqueduc (La Bécane), boul. Lasalle et 68e av.","LaSalle","45.41499067","-73.6286007","Actif"
"BLAP-10","BLAP","Bout de la rue Hall","Extrémité sud du ch. de la Pointe-Sud","Verdun","45.44959111","-73.54700372","Inactif"
"BLAP-10.5","BLAP","Pointe sud-ouest de Î.-D.-S.","Piste cyclable, inters. rue André-Prévost et ch. de la Pointe-Sud","Verdun","45.44659631","-73.56113118","Actif"
"BLAP-11","BLAP","Parc Aidan-D.-Archambault (piste cyclable)","Bout du boul. de la Forêt, au sud du parc Adian-D.-Archambault","Verdun","45.454782","-73.559501","Actif"
"BLAP-2","BLAP","Terrasse Chatelle","Lasalle, 50m au sud de l'intersection du boul.Lasalle et de l'av. 40e","LaSalle","45.41573335","-73.61542338","Inactif"
"BLAP-2.2","BLAP","Parc des Rapides (vague à Guy)","Parc des Rapides, vague à Guy, près de la place René-Lévesque","LaSalle","45.41938789","-73.60320278","Actif"
"BLAP-2.5","BLAP","Parc des Rapides (Tsse Serre)","Parc des Rapides - Tsse Serre, inters. boul. Lasalle et boul. Bishop-Power","LaSalle","45.42655875","-73.59512663","Actif"
"BLAP-2.7","BLAP","Parc O'Reilley (future plage)","Parc de l'Honorable-Georges-O'Reilley, future plage, boul. Lasalle","Verdun","45.44074986","-73.57703947","Actif"
"BLAP-2.75","BLAP","Bassin de pèche (Ter. Serre)","Lasalle, boul. LaSalle, 150m à l'est de l'intersection du boul. St-Joseph et de l'av. 7e, au ponceau du bassin du pôle des rapides de Lachine","LaSalle","45.42881276","-73.59182699","Inactif"
"BLAP-2.8","BLAP","Parc O'Reilley (Natatorium)","Parc de l'Honorable-George-O'Reilley, quai du Natatorium, inters. boul. Lasalle et rue Stephens","Verdun","45.44265029","-73.57434082","Actif"
"BLAP-3","BLAP","Parc du Quai-de-La Tortue","Parc de Quai-de-La Tortue, quai de la Tortue, inters. boul. Lasalle et rue Brault","Verdun","45.44739282","-73.56877213","Actif"
"BLAP-4","BLAP","Parc Desmarchais (marina)","Parc Desmarchais, marina de Verdun, inters. boul. Lasalle et boul. Desmarchais","Verdun","45.45397045","-73.56378152","Actif"
"BLAP-4.25","BLAP","Plage de Verdun","En rive à la hauteur de l'Auditorium, site de la future plage","Verdun","45.46252017","-73.56006873","Inactif"
