NUMEROTATION,TYPE_SOINS,GRP_RUBR,NBR_DPRTS,SEJ_TOT, SEJ_MOY ,GRP_AGE-0_9,GRP_AGE-10_19,GRP_AGE-20_39,GRP_AGE-40_59,GRP_AGE-60_69,GRP_AGE-70+,NBR_DECES,AUT_POURC,NBR_OPRS,POUR_PROV_URG,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,Soins physiques et psychiatriques de courte durée,Maladies intestinales infectieuses (A00-A09),9108,58837,6.5,2858,313,585,924,949,3479,293,1.40%,1716,91.20%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
2,Soins physiques et psychiatriques de courte durée,Tuberculose (A15-A19),165,3177,19.3,4,24,66,28,22,21,1,0.00%,103,50.90%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
3,Soins physiques et psychiatriques de courte durée,Certaines maladies zoonotiques bactériennes (A20- A28),15,94,6.3,2,2,5,3,1,2,0,0.00%,9,73.30%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
4,Soins physiques et psychiatriques de courte durée,Autres maladies bactériennes (A30-A49),3344,38036,11.4,315,82,191,606,588,1562,411,4.90%,1394,89.20%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
5,Soins physiques et psychiatriques de courte durée,Infections dont le mode de transmission est essentiellement sexuel (A50-A64),98,787,8,3,17,35,26,6,11,0,0.00%,38,73.50%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
6,Soins physiques et psychiatriques de courte durée,Autres maladies à spirochètes (A65-A69),4,5,1.2,1,2,0,0,1,0,0,0.00%,1,50.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
7,Soins physiques et psychiatriques de courte durée,Autres maladies causées par la Chlamydia (A70- A74),1,5,5,0,1,0,0,0,0,0,0.00%,0,100.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
8,Soins physiques et psychiatriques de courte durée,Rickettsioses (A75-A79),6,44,7.3,0,0,1,3,1,1,0,0.00%,2,100.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
9,Soins physiques et psychiatriques de courte durée,Infections virales du système nerveux central (A80- A89),529,3469,6.6,250,67,101,63,22,26,14,35.70%,164,89.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
10,Soins physiques et psychiatriques de courte durée,Fièvres virales transmises par des arthropodes et fièvres virales hémorragiques (A90-A99),28,428,15.3,1,2,3,9,9,4,1,0.00%,11,89.30%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
11,Soins physiques et psychiatriques de courte durée,Infections virales caractérisées par des lésions cutanéo-muqueuses (B00-B09),965,7792,8.1,374,80,54,103,91,263,28,0.00%,170,87.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
12,Soins physiques et psychiatriques de courte durée,Hépatite virale (B15-B19),157,1159,7.4,8,10,36,54,28,21,3,0.00%,41,86.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
13,Soins physiques et psychiatriques de courte durée,Immunodéficience humaine virale [VIH],81,2606,32.2,0,0,15,45,19,2,13,7.70%,37,84.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
14,Soins physiques et psychiatriques de courte durée,Autres maladies virales (B25-B34),1900,5621,3,1217,188,141,128,72,154,2,0.00%,249,87.10%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
15,Soins physiques et psychiatriques de courte durée,Mycoses (B35-B49),370,4953,13.4,17,4,27,86,84,152,36,8.30%,210,80.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
16,Soins physiques et psychiatriques de courte durée,Maladies dues à des protozoaires (B50-B64),157,2108,13.4,8,3,39,46,38,23,11,9.10%,78,77.70%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
17,Soins physiques et psychiatriques de courte durée,Helminthiases (B65-B83),18,106,5.9,2,2,3,5,2,4,0,0.00%,9,66.70%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
18,Soins physiques et psychiatriques de courte durée,Pédiculose  acariase et autres infestations (B85- B89),9,64,7.1,2,1,2,2,0,2,0,0.00%,2,77.80%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
19,Soins physiques et psychiatriques de courte durée,Autres maladies infectieuses (B99),19,127,6.7,4,2,0,2,3,8,3,0.00%,5,84.20%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
20,Soins physiques et psychiatriques de courte durée,Tumeurs malignes de la lèvre  de la cavité buccale et du pharynx (C00-C14),869,12666,14.6,2,5,21,254,265,322,101,0.00%,703,28.30%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
21,Soins physiques et psychiatriques de courte durée,Tumeurs malignes des organes digestifs (C15-C26),11333,157934,13.9,9,7,139,2381,3138,5659,1644,1.80%,8998,46.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
22,Soins physiques et psychiatriques de courte durée,Tumeurs malignes des organes respiratoires et intrathoraciques (C30-C39),8312,116160,14,4,5,62,1939,2715,3587,2104,2.20%,5532,61.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
23,Soins physiques et psychiatriques de courte durée,Tumeurs malignes des os et du cartilage articulaire (C40-C41),165,2712,16.4,11,26,19,49,31,29,11,9.10%,133,27.30%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
24,Soins physiques et psychiatriques de courte durée,Mélanome malin et autres tumeurs malignes de la peau (C43-C44),601,5059,8.4,2,1,21,132,141,304,69,1.40%,484,24.50%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
25,Soins physiques et psychiatriques de courte durée,Tumeurs malignes du tissu mésothélial et des tissus mous (C45-C49),678,8847,13,31,18,52,148,165,264,91,13.20%,537,36.30%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
26,Soins physiques et psychiatriques de courte durée,Tumeur maligne du sein (C50),3755,22625,6,0,0,157,1323,970,1305,340,2.40%,3167,22.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
