NUMEROTATION,TYPE_SOINS,GRP_RUBR,NBR_DPRTS,SEJ_TOT,SEJ_MOY,GRP_AGE-0_9,GRP_AGE-10_19,GRP_AGE-20_39,GRP_AGE-40_59,GRP_AGE-60_69,GRP_AGE-70+,NBR_DECES,AUT_POURC,NBR_OPRS,POUR_PROV_URG,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,Soins physiques et psychiatriques de courte durée,Maladies intestinales infectieuses (A00-A09),8482,54123,6.4,1677,311,705,1119,993,3677,271,1.50%,1688,92.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
2,Soins physiques et psychiatriques de courte durée,Tuberculose (A15-A19),177,3786,21.4,6,15,50,48,24,34,5,0.00%,115,43.50%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
3,Soins physiques et psychiatriques de courte durée,Certaines maladies zoonotiques bactériennes (A20- A28),19,124,6.5,3,0,7,3,2,4,1,0.00%,7,84.20%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
4,Soins physiques et psychiatriques de courte durée,Autres maladies bactériennes (A30-A49),4287,49233,11.5,270,68,198,724,776,2251,634,3.00%,1874,90.70%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
5,Soins physiques et psychiatriques de courte durée,Infections dont le mode de transmission est essentiellement sexuel (A50-A64),110,760,6.9,0,19,49,27,5,10,1,0.00%,39,76.40%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
6,Soins physiques et psychiatriques de courte durée,Autres maladies à spirochètes (A65-A69),14,118,8.4,2,1,5,2,3,1,0,0.00%,3,78.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
7,Soins physiques et psychiatriques de courte durée,Autres maladies causées par la Chlamydia (A70- A74),3,6,2,0,1,2,0,0,0,0,0.00%,1,66.70%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
8,Soins physiques et psychiatriques de courte durée,Rickettsioses (A75-A79),7,53,7.6,0,0,2,2,3,0,0,0.00%,2,85.70%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
9,Soins physiques et psychiatriques de courte durée,Infections virales du système nerveux central (A80- A89),449,2868,6.4,223,29,83,57,25,32,14,71.40%,134,85.70%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
10,Soins physiques et psychiatriques de courte durée,Fièvres virales transmises par des arthropodes et fièvres virales hémorragiques (A90-A99),13,31,2.4,0,2,4,4,3,0,0,0.00%,0,84.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
