NUMEROTATION,TYPE_SOINS,GRP_RUBR,NBR_DPRTS,SEJ_TOT,SEJ_MOY,GRP_AGE-0_9,GRP_AGE-10_19,GRP_AGE-20_39,GRP_AGE-40_59,GRP_AGE-60_69,GRP_AGE-70+,NBR_DECES,AUT_POURC,NBR_OPRS,POUR_PROV_URG,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,Soins physiques et psychiatriques de courte durée,Maladies intestinales infectieuses (A00-A09),8322,45228,5.4,1728,255,776,1112,1044,3407,173,1.70%,1528,92.20%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
2,Soins physiques et psychiatriques de courte durée,Tuberculose (A15-A19),164,3363,20.5,9,11,70,32,14,28,6,33.30%,82,58.50%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
3,Soins physiques et psychiatriques de courte durée,Certaines maladies zoonotiques bactériennes (A20- A28),30,339,11.3,4,1,6,9,7,3,1,0.00%,9,80.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
4,Soins physiques et psychiatriques de courte durée,Autres maladies bactériennes (A30-A49),4394,46912,10.7,290,60,182,617,811,2434,564,2.50%,1871,90.70%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
5,Soins physiques et psychiatriques de courte durée,Infections dont le mode de transmission est essentiellement sexuel (A50-A64),108,717,6.6,5,15,43,31,8,6,2,0.00%,31,78.70%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
6,Soins physiques et psychiatriques de courte durée,Autres maladies à spirochètes (A65-A69),12,65,5.4,1,2,2,3,2,2,0,0.00%,5,83.30%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
7,Soins physiques et psychiatriques de courte durée,Autres maladies causées par la Chlamydia (A70- A74),2,3,1.5,0,1,1,0,0,0,0,0.00%,0,100.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
8,Soins physiques et psychiatriques de courte durée,Rickettsioses (A75-A79),13,117,9.0,0,0,1,9,3,0,0,0.00%,9,92.30%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
9,Soins physiques et psychiatriques de courte durée,Infections virales du système nerveux central (A80- A89),423,3039,7.2,196,28,75,43,34,47,14,21.40%,136,89.80%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
10,Soins physiques et psychiatriques de courte durée,Fièvres virales transmises par des arthropodes et fièvres virales hémorragiques (A92-A99),24,482,20.1,0,1,4,9,4,6,1,0.00%,10,87.50%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
11,Soins physiques et psychiatriques de courte durée,Infections virales caractérisées par des lésions cutanéo-muqueuses (B00-B09),1102,7434,6.7,424,37,56,121,131,333,20,5.00%,171,84.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
12,Soins physiques et psychiatriques de courte durée,Hépatite virale (B15-B19),154,797,5.2,10,17,51,45,11,20,4,0.00%,26,92.20%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
13,Soins physiques et psychiatriques de courte durée,Immunodéficience humaine virale [VIH],59,1451,24.6,0,0,17,29,7,6,6,16.70%,31,84.70%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
14,Soins physiques et psychiatriques de courte durée,Autres maladies virales (B25-B34),2240,6292,2.8,1368,169,188,162,117,236,2,0.00%,245,87.10%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
15,Soins physiques et psychiatriques de courte durée,Mycoses (B35-B49),342,4361,12.8,14,4,25,83,69,147,32,6.20%,200,82.20%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
16,Soins physiques et psychiatriques de courte durée,Maladies dues à des protozoaires (B50-B64),207,2452,11.8,32,13,33,59,35,35,12,0.00%,91,81.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
17,Soins physiques et psychiatriques de courte durée,Helminthiases (B65-B83),25,482,19.3,1,2,4,8,3,7,0,0.00%,12,72.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
18,Soins physiques et psychiatriques de courte durée,Pédiculose  acariase et autres infestations (B85- B89),7,95,13.6,1,0,0,1,1,4,0,0.00%,0,71.40%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
19,Soins physiques et psychiatriques de courte durée,Autres maladies infectieuses (B99),25,271,10.8,2,0,3,5,2,13,3,0.00%,6,72.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
20,Soins physiques et psychiatriques de courte durée,Tumeurs malignes de la lèvre  de la cavité buccale et du pharynx (C00-C14),990,12818,12.9,0,1,22,255,343,369,88,1.10%,816,29.30%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
21,Soins physiques et psychiatriques de courte durée,Tumeurs malignes des organes digestifs (C15-C26),11180,133797,12.0,5,7,202,2089,3074,5803,1411,1.10%,8812,45.70%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
22,Soins physiques et psychiatriques de courte durée,Tumeurs malignes des organes respiratoires et intrathoraciques (C30-C39),8296,96905,11.7,0,7,44,1475,2753,4017,1731,0.80%,5479,56.70%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
23,Soins physiques et psychiatriques de courte durée,Tumeurs malignes des os et du cartilage articulaire (C40-C41),179,2234,12.5,18,29,24,48,19,41,10,0.00%,146,20.10%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
24,Soins physiques et psychiatriques de courte durée,Mélanome malin et autres tumeurs malignes de la peau (C43-C44),624,5546,8.9,0,0,22,118,138,346,66,3.00%,488,29.30%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
25,Soins physiques et psychiatriques de courte durée,Tumeurs malignes du tissu mésothélial et des tissus mous (C45-C49),618,6737,10.9,23,12,46,121,134,282,80,6.20%,458,41.90%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
26,Soins physiques et psychiatriques de courte durée,Tumeur maligne du sein (C50),2734,17943,6.6,0,0,175,888,627,1044,277,0.40%,2199,30.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
27,Soins physiques et psychiatriques de courte durée,Tumeurs malignes des organes génitaux de la femme (C51-C58),3293,23669,7.2,0,3,167,1100,985,1038,215,0.50%,2825,26.50%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
28,Soins physiques et psychiatriques de courte durée,Tumeurs malignes des organes génitaux de l'homme (C60-C63),2809,17906,6.4,1,7,57,491,1138,1115,164,0.60%,2308,22.10%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
29,Soins physiques et psychiatriques de courte durée,Tumeurs malignes des voies urinaires (C64-C68),3548,28442,8.0,16,1,57,635,988,1851,277,0.00%,2971,25.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
30,Soins physiques et psychiatriques de courte durée,Tumeurs malignes de l'oeil  de l'encéphale et d'autres parties du système nerveux central (C69- C72),1591,22199,14.0,52,64,162,451,391,471,153,1.30%,993,47.50%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
31,Soins physiques et psychiatriques de courte durée,Tumeurs malignes de la thyroïde et d'autres glandes endocrines (C73-C75),1750,5215,3.0,36,30,345,706,356,277,18,11.10%,1713,3.50%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
32,Soins physiques et psychiatriques de courte durée,Tumeurs malignes de sièges mal définis  secondaires et non précisés (C76-C80),4956,54423,11.0,14,14,135,1244,1483,2066,554,1.60%,3629,56.50%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
33,Soins physiques et psychiatriques de courte durée,Tumeurs malignes des tissus lymphoïdes  hématopoïétiques et apparentés (C81-C96),4853,86032,17.7,143,110,310,1084,1267,1939,759,2.50%,3816,57.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
34,Soins physiques et psychiatriques de courte durée,Tumeurs in situ (D00-D09),1822,7177,3.9,0,1,84,368,481,888,21,4.80%,1730,8.20%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
35,Soins physiques et psychiatriques de courte durée,Tumeurs bénignes (D10-D36),7418,31113,4.2,220,114,1016,3595,1286,1187,13,30.80%,6913,8.50%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
36,Soins physiques et psychiatriques de courte durée,Tumeurs à évolution imprévisible ou inconnue (D37-D48),855,6818,8.0,13,19,107,273,215,228,15,0.00%,741,22.80%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
37,Soins physiques et psychiatriques de courte durée,Anémies nutritionnelles (D50-D53),1666,11595,7.0,28,16,51,176,297,1098,38,2.60%,1317,89.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
38,Soins physiques et psychiatriques de courte durée,Anémies hémolytiques (D55-D59),622,3779,6.1,151,138,161,62,51,59,8,12.50%,310,75.10%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
39,Soins physiques et psychiatriques de courte durée,Anémies aplastiques (aplasies médullaires) et autres anémies (D60-D64),1058,8098,7.7,27,24,44,133,172,658,34,0.00%,787,81.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
40,Soins physiques et psychiatriques de courte durée,Anomalies de la coagulation  purpura et autres affections hémorragiques (D65-D69),1013,7078,7.0,163,41,74,162,135,438,24,0.00%,536,78.10%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
41,Soins physiques et psychiatriques de courte durée,Autres maladies du sang et des organes hématopoïétiques (D70-D77),1637,10583,6.5,225,72,134,376,411,419,43,2.30%,717,85.30%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
42,Soins physiques et psychiatriques de courte durée,Certaines anomalies du système immunitaire (D80- D89),152,2003,13.2,16,9,17,54,25,31,5,20.00%,93,54.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
43,Soins physiques et psychiatriques de courte durée,Affections de la glande thyroïde (E00-E07),1051,3656,3.5,2,21,152,419,227,230,2,0.00%,881,18.40%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
44,Soins physiques et psychiatriques de courte durée,Diabète sucré (E10-E14),4882,42643,8.7,134,277,773,1282,928,1488,72,1.40%,1417,86.40%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
45,Soins physiques et psychiatriques de courte durée,Autres anomalies de la régulation du glucose et de la sécrétion pancréatique interne (E15-E16),192,1037,5.4,76,2,8,25,19,62,6,0.00%,22,77.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
46,Soins physiques et psychiatriques de courte durée,Maladies des autres glandes endocrines (E20-E35),831,5478,6.6,20,11,85,167,198,350,5,0.00%,345,65.80%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
47,Soins physiques et psychiatriques de courte durée,Malnutrition (E40-E46),265,4670,17.6,30,4,19,86,50,76,21,0.00%,156,63.40%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
48,Soins physiques et psychiatriques de courte durée,Autres carences nutritionnelles (E50-E64),116,2695,23.2,7,1,5,48,34,21,3,0.00%,41,87.10%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
49,Soins physiques et psychiatriques de courte durée,Obésité et autres excès d'apport (E65-E68),3427,9004,2.6,0,11,1059,1930,373,54,3,0.00%,3336,2.10%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
50,Soins physiques et psychiatriques de courte durée,Anomalies du métabolisme (E70-E90),3467,28722,8.3,389,196,397,481,526,1478,127,3.10%,1015,77.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
51,Soins physiques et psychiatriques de courte durée,Troubles mentaux organiques  y compris les troubles symptomatiques (F00-F09),7215,228277,31.6,5,18,64,167,497,6464,403,0.70%,1146,88.80%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
52,Soins physiques et psychiatriques de courte durée,Troubles mentaux et du comportement liés à l'utilisation de substances psycho-actives (F10-F19),7258,63728,8.8,6,400,3016,2641,794,401,16,6.20%,758,77.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
53,Soins physiques et psychiatriques de courte durée,Schizophrénie  trouble schizotypique et troubles délirants (F20-F29),11397,583815,51.2,1,460,5072,3781,1267,816,9,11.10%,1101,70.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
54,Soins physiques et psychiatriques de courte durée,Troubles de l'humeur [affectifs] (F30-F39),9273,238124,25.7,5,724,2678,3108,1294,1464,17,0.00%,1242,73.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
