NUMEROTATION,TYPE_SOINS,GRP_RUBR,NBR_DPRTS,SEJ_TOT,SEJ_MOY,GRP_AGE-0_9,GRP_AGE-10_19,GRP_AGE-20_39,GRP_AGE-40_59,GRP_AGE-60_69,GRP_AGE-70+,NBR_DECES,AUT_POURC,POUR_PROV_URG,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,Soins physiques et psychiatriques de courte durée,Maladies intestinales infectieuses (A00-A09),8497,43146,5.1,1607,277,819,1196,1076,3522,132,0,93.2,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
2,Soins physiques et psychiatriques de courte durée,Tuberculose (A15-A19),237,4978,21,25,29,66,56,20,41,7,0,49.4,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
3,Soins physiques et psychiatriques de courte durée,Certaines maladies zoonotiques bactériennes (A20-A28),20,289,14.4,0,2,1,5,6,6,3,0,90,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
4,Soins physiques et psychiatriques de courte durée,Autres maladies bactériennes (A30-A49),4938,51395,10.4,299,57,245,715,932,2690,552,2.4,90.1,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
5,Soins physiques et psychiatriques de courte durée,Infections dont le mode de transmission est essentiellement sexuel (A50-A64),170,1235,7.3,6,37,65,33,14,15,2,50,79.4,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
6,Soins physiques et psychiatriques de courte durée,Autres maladies à spirochètes (A65-A69),22,88,4,0,1,7,6,8,0,0,0,90.9,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
7,Soins physiques et psychiatriques de courte durée,Autres maladies causées par la Chlamydia (A70-A74),9,26,2.9,0,1,6,0,1,1,0,0,100,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
8,Soins physiques et psychiatriques de courte durée,Rickettsioses (A75-A79),7,73,10.4,0,0,1,2,3,1,0,0,100,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
9,Soins physiques et psychiatriques de courte durée,Infections virales du système nerveux central (A80-A89),611,4249,7,248,33,113,87,48,82,26,19.2,84.3,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
10,Soins physiques et psychiatriques de courte durée,Fièvres virales transmises par des arthropodes et fièvres virales hémorragiques (A92-A99),100,3082,30.8,1,2,7,25,27,38,9,0,76,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
