NUMEROTATION,TYPE_SOINS,GRP_RUBR,NBR_DPRTS,SEJ_TOT,SEJ_MOY,GRP_AGE-0_9,GRP_AGE-10_19,GRP_AGE-20_39,GRP_AGE-40_59,GRP_AGE-60_69,GRP_AGE-70+,NBR_DECES,AUT_POURC,NBR_OPRS,POUR_PROV_URG,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,Soins physiques et psychiatriques de courte durée,Maladies intestinales infectieuses (A00-A09),8717,54514,6.3,2244,314,695,989,943,3532,261,5.00%,1631,91.20%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
2,Soins physiques et psychiatriques de courte durée,Tuberculose (A15-A19),171,3389,19.8,13,21,57,37,18,25,3,33.30%,108,40.40%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
3,Soins physiques et psychiatriques de courte durée,Certaines maladies zoonotiques bactériennes (A20- A28),16,132,8.2,3,1,5,6,0,1,0,0.00%,8,75.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
4,Soins physiques et psychiatriques de courte durée,Autres maladies bactériennes (A30-A49),3795,41763,11,382,76,208,661,693,1775,446,3.80%,1557,90.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
5,Soins physiques et psychiatriques de courte durée,Infections dont le mode de transmission est essentiellement sexuel (A50-A64),103,516,5,5,12,54,17,5,10,0,0.00%,31,78.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
6,Soins physiques et psychiatriques de courte durée,Autres maladies à spirochètes (A65-A69),15,98,6.5,1,1,2,8,1,2,0,0.00%,9,66.70%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
7,Soins physiques et psychiatriques de courte durée,Autres maladies causées par la Chlamydia (A70- A74),2,17,8.5,0,0,0,1,0,1,0,0.00%,1,100.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
8,Soins physiques et psychiatriques de courte durée,Rickettsioses (A75-A79),10,74,7.4,0,0,2,3,3,2,0,0.00%,2,90.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
9,Soins physiques et psychiatriques de courte durée,Infections virales du système nerveux central (A80- A89),680,3896,5.7,287,86,146,79,45,37,20,35.00%,184,89.70%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
10,Soins physiques et psychiatriques de courte durée,Fièvres virales transmises par des arthropodes et fièvres virales hémorragiques (A90-A99),59,1222,20.7,1,3,6,16,13,20,7,0.00%,28,91.50%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
11,Soins physiques et psychiatriques de courte durée,Infections virales caractérisées par des lésions cutanéo-muqueuses (B00-B09),920,7535,8.2,350,39,43,88,100,300,20,5.00%,153,85.30%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
12,Soins physiques et psychiatriques de courte durée,Hépatite virale (B15-B19),172,1270,7.4,17,14,41,49,28,23,5,0.00%,37,89.50%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
13,Soins physiques et psychiatriques de courte durée,Immunodéficience humaine virale [VIH],77,1695,22,1,0,17,47,11,1,6,0.00%,38,88.30%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
14,Soins physiques et psychiatriques de courte durée,Autres maladies virales (B25-B34),1974,5572,2.8,1256,159,155,145,76,183,1,0.00%,266,88.10%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
15,Soins physiques et psychiatriques de courte durée,Mycoses (B35-B49),280,3470,12.4,9,4,14,54,67,132,29,0.00%,176,83.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
16,Soins physiques et psychiatriques de courte durée,Maladies dues à des protozoaires (B50-B64),139,1681,12.1,8,3,29,54,25,20,11,18.20%,76,82.70%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
