NUMEROTATION,TYPE_SOINS,GRP_RUBR,NBR_DPRTS,SEJ_TOT,SEJ_MOY,GRP_AGE-0_9,GRP_AGE-10_19,GRP_AGE-20_39,GRP_AGE-40_59,GRP_AGE-60_69,GRP_AGE-70+,NBR_DECES,AUT_POURC,NBR_OPRS,POUR_PROV_URG,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,Soins physiques et psychiatriques de courte durée,Maladies intestinales infectieuses (A00-A09),8525,52368,6.1,1639,283,784,1133,986,3700,242,1.70%,1666,92.10%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
2,Soins physiques et psychiatriques de courte durée,Tuberculose (A15-A19),177,3841,21.7,11,12,73,30,18,33,6,0.00%,115,45.80%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
3,Soins physiques et psychiatriques de courte durée,Certaines maladies zoonotiques bactériennes (A20- A28),14,75,5.4,3,1,3,4,1,2,0,0.00%,4,92.90%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
4,Soins physiques et psychiatriques de courte durée,Autres maladies bactériennes (A30-A49),4344,48004,11.1,312,62,209,742,766,2253,549,2.20%,1817,90.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
5,Soins physiques et psychiatriques de courte durée,Infections dont le mode de transmission est essentiellement sexuel (A50-A64),128,874,6.8,2,22,56,34,10,4,0,0.00%,39,75.80%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
6,Soins physiques et psychiatriques de courte durée,Autres maladies à spirochètes (A65-A69),17,58,3.4,2,0,6,8,0,1,0,0.00%,5,94.10%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
7,Soins physiques et psychiatriques de courte durée,Autres maladies causées par la Chlamydia (A70- A74),3,9,3,0,0,3,0,0,0,0,0.00%,1,100.00%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
8,Soins physiques et psychiatriques de courte durée,Rickettsioses (A75-A79),9,54,6,0,0,4,3,1,1,0,0.00%,1,88.90%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
9,Soins physiques et psychiatriques de courte durée,Infections virales du système nerveux central (A80- A89),527,2733,5.2,195,49,131,73,33,46,15,33.30%,145,87.50%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
10,Soins physiques et psychiatriques de courte durée,Fièvres virales transmises par des arthropodes et fièvres virales hémorragiques (A92-A99),32,737,23,0,1,4,7,7,13,2,0.00%,13,78.10%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
11,Soins physiques et psychiatriques de courte durée,Infections virales caractérisées par des lésions cutanéo-muqueuses (B00-B09),1093,7842,7.2,425,42,72,116,124,314,15,6.70%,158,87.50%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
12,Soins physiques et psychiatriques de courte durée,Hépatite virale (B15-B19),135,878,6.5,5,12,36,39,25,18,6,0.00%,29,89.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
13,Soins physiques et psychiatriques de courte durée,Immunodéficience humaine virale [VIH],62,2228,35.9,1,0,10,36,11,4,4,0.00%,42,85.50%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
14,Soins physiques et psychiatriques de courte durée,Autres maladies virales (B25-B34),2061,5720,2.8,1245,169,206,167,85,189,3,0.00%,187,88.60%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
15,Soins physiques et psychiatriques de courte durée,Mycoses (B35-B49),357,4521,12.7,11,4,26,70,69,177,29,10.30%,224,76.50%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
16,Soins physiques et psychiatriques de courte durée,Maladies dues à des protozoaires (B50-B64),206,2081,10.1,34,18,29,54,43,28,13,7.70%,81,87.40%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
17,Soins physiques et psychiatriques de courte durée,Helminthiases (B65-B83),21,171,8.1,3,3,5,5,3,2,0,0.00%,8,52.40%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
18,Soins physiques et psychiatriques de courte durée,Pédiculose  acariase et autres infestations (B85- B89),9,51,5.7,2,0,1,2,3,1,0,0.00%,2,77.80%,S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
