NUMEROTATION,TYPE_DE_SOINS,GRP_RUBR,NBR_DPRTS,SEJ_TOT,SEJ_MOY,GRP_AGE-0_9,GRP_AGE-10_19,GRP_AGE-20_39,GRP_AGE-40_59,GRP_AGE-60_69,GRP_AGE-70+,NBR_DECES,AUT_POURC,POUR_PROV_URG,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,"Soins physiques et psychiatriques de courte durée","Maladies intestinales infectieuses (A00-A09)",5717,29226,5.1,1180,184,503,696,701,2453,120,0.0,93.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
2,"Soins physiques et psychiatriques de courte durée","Tuberculose (A15-A19)",188,3731,19.8,15,18,68,45,10,32,7,0.0,54.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
3,"Soins physiques et psychiatriques de courte durée","Certaines maladies zoonotiques bactériennes (A20-A28)",12,49,4.1,3,1,1,1,2,4,1,0.0,75.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
4,"Soins physiques et psychiatriques de courte durée","Autres maladies bactériennes (A30-A49)",4429,50359,11.4,226,57,182,586,784,2594,539,1.9,90.5,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
5,"Soins physiques et psychiatriques de courte durée","Infections dont le mode de transmission est essentiellement sexuel (A50-A64)",127,831,6.5,19,5,58,34,8,3,0,0.0,68.5,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
6,"Soins physiques et psychiatriques de courte durée","Autres maladies à spirochètes (A65-A69)",27,185,6.9,10,0,6,6,2,3,0,0.0,74.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
7,"Soins physiques et psychiatriques de courte durée","Autres maladies causées par la Chlamydia (A70-A74)",3,9,3.0,0,1,2,0,0,0,0,0.0,100.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
8,"Soins physiques et psychiatriques de courte durée","Rickettsioses (A75-A79)",12,105,8.8,0,0,0,1,6,5,0,0.0,83.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
9,"Soins physiques et psychiatriques de courte durée","Infections virales du système nerveux central (A80-A89)",501,3180,6.3,293,22,62,37,32,55,28,28.6,84.2,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
10,"Soins physiques et psychiatriques de courte durée","Fièvres virales transmises par des arthropodes et fièvres virales hémorragiques (A92-A99)",12,89,7.4,0,0,3,4,3,2,1,0.0,91.7,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
11,"Soins physiques et psychiatriques de courte durée","Infections virales caractérisées par des lésions cutanéo-muqueuses (B00-B09)",952,7985,8.4,268,29,61,94,102,398,30,3.3,88.9,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
12,"Soins physiques et psychiatriques de courte durée","Hépatite virale (B15-B19)",193,920,4.8,16,17,53,51,23,33,5,0.0,87.6,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
13,"Soins physiques et psychiatriques de courte durée","Immunodéficience humaine virale [VIH]",40,957,23.9,1,0,9,18,7,5,5,0.0,70.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
14,"Soins physiques et psychiatriques de courte durée","Autres maladies virales (B25-B34)",1781,5503,3.1,1070,153,128,110,92,228,6,0.0,86.9,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
15,"Soins physiques et psychiatriques de courte durée","Mycoses (B35-B49)",400,5782,14.5,8,2,22,83,105,180,47,4.3,74.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
16,"Soins physiques et psychiatriques de courte durée","Maladies dues à des protozoaires (B50-B64)",143,793,5.5,24,20,50,31,12,6,2,50.0,89.5,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
17,"Soins physiques et psychiatriques de courte durée","Helminthiases (B65-B83)",25,116,4.6,1,6,8,8,2,0,0,0.0,68.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
18,"Soins physiques et psychiatriques de courte durée","Pédiculose, acariase et autres infestations (B85-B89)",6,17,2.8,2,0,0,0,0,4,0,0.0,100.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
19,"Soins physiques et psychiatriques de courte durée","Autres maladies infectieuses (B99)",33,255,7.7,3,0,2,5,2,21,3,0.0,81.8,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
20,"Soins physiques et psychiatriques de courte durée","Tumeurs malignes de la lèvre, de la cavité buccale et du pharynx (C00-C14)",860,9836,11.4,0,7,33,207,272,341,76,2.6,25.2,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
21,"Soins physiques et psychiatriques de courte durée","Tumeurs malignes des organes digestifs (C15-C26)",9609,96973,10.1,9,20,181,1559,2616,5224,1264,0.9,43.8,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
22,"Soins physiques et psychiatriques de courte durée","Tumeurs malignes des organes respiratoires et intrathoraciques (C30-C39)",7055,69120,9.8,5,1,31,800,2476,3742,1481,0.4,50.9,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
23,"Soins physiques et psychiatriques de courte durée","Tumeurs malignes des os et du cartilage articulaire (C40-C41)",151,2234,14.8,1,22,29,41,27,31,10,0.0,20.5,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
24,"Soins physiques et psychiatriques de courte durée","Mélanome malin et autres tumeurs malignes de la peau (C43-C44)",532,4143,7.8,0,0,14,69,127,322,72,1.4,27.4,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
25,"Soins physiques et psychiatriques de courte durée","Tumeurs malignes du tissu mésothélial et des tissus mous (C45-C49)",534,6334,11.9,28,14,42,77,135,238,55,3.6,43.6,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
