VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour avril 2019,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Date ,Nom fournisseur,Numéro de,Montant de ,Description
,commande,d'approbation,,l'entente,l'engagement,
"ANGELY, MARION",1337332,02/04/2019,CENTRE PATRONAL DE SANTE ET SECURITE DU TRAVAIL DU QUEBEC (C P S S T Q ),,"262,47",Service - Formation en développement interpersonnel/relationnel
,1341692,25/04/2019,"MONETTE BARAKETT, S.E.N.C.",,"1259,85",Service - Formation en développement interpersonnel/relationnel
,1336933,01/04/2019,P.LAPLANTE & ASSOCIES INC.,,"4362,23",Conseiller en relation de travail
,1336946,01/04/2019,SERVICE D'ARBITRAGE ACCELERE INC.,,"1181,11",Conseiller en relation de travail
"BAUDIN, CYRIL",1338804,09/04/2019,3289419 CANADA (COLLINS),,"163,7","Bottes, souliers et couvres-chaussure"
,1340794,18/04/2019,ADDISON ELECTRONIQUE MONTREAL,,"286,25",Ordinateur et accessoire
,1320026,12/04/2019,CONSTRUCTION DJL INC,,"869,77","Asphalte, bitume"
,1338056,04/04/2019,LANAUCO LTEE,,"1784,79",Poteau et fût pour signalisation lumineuse et éclairage urbain
,1339608,12/04/2019,MULTI RECYCLAGE S.D. INC,,"1256,54",Service - Enfouissement
,1337610,03/04/2019,PRODUITS SANY,1048199,"9,2",Breuvage et nourriture
,,03/04/2019,,,"8,32",Produits de laboratoire
,,03/04/2019,,,"65,53",Équipement d'entretien manuel
,,03/04/2019,,,"132,72",Produits d'entretien ménager
,1340857,18/04/2019,,,"469,97",Produits d'entretien ménager
,1338545,08/04/2019,"RICCI, TEASDALE HUISSIERS DE JUSTICE INC.",,"1259,85",Huissier de justice
,1340317,17/04/2019,TENAQUIP LIMITED,,"58,09",Outil à batterie
,1335818,10/04/2019,LES PAVAGES CHENAIL INC.,,"3184,4","Asphalte, bitume"
,1340334,17/04/2019,U. CAYOUETTE INC.,,"2099,54",Bois de construction
"BEAUCHEMIN, SONIA",1334129,08/04/2019,AGENCE DOUBLE XPRESSO INC.,,"1049,87","Service - Infographie, graphisme"
,1337890,04/04/2019,ARIANNE PARADIS-MARSOLAIS,,"3085,97",Conseiller en communications
,1337057,01/04/2019,CONFIDENTIEL DECHIQUETAGE DE DOCUMENTS INC.,,"209,97",Service - Destruction de documents
,1334122,08/04/2019,CORPORATION DE DEVELOPPEMENT COMMUNAUTAIRE DE COTE-DES-NEIGES,,"229,67","Service - Agence de sécurité, gardiennage"
,1337902,04/04/2019,FANNIE PILON-MILLETTE,,"3057,55",Conseiller en communications
,1337052,01/04/2019,GLOBEX COURRIER EXPRESS INTERNATIONAL INC.,1302177,"314,96","Service - Postal, messagerie"
,1333713,04/04/2019,JEAN BEAUDIN,,"398,95",Service - Photographie
,1338835,09/04/2019,LABARRE GAUTHIER INC.,,"3913,41",Service - Formation en informatique
,1342187,29/04/2019,LES TRADUCTIONS TERRY KNOWLES INC.,,"5249,37","Service - Rédaction, révision"
,1335956,29/04/2019,MARIE-CLAIRE LEGARE,,126,"Service - Rédaction, révision"
,1337896,04/04/2019,MARIE-HELENE ROCH,,3000,Conseiller en communications
,1338869,09/04/2019,PUBLICATION 9417,,"1228,35",Service - Impression
"BEDARD, LUCIE",1340307,17/04/2019,AVEC PLAISIRS,,"222,19",Service - Traiteur
,1340639,18/04/2019,GROUPE TRIUM INC.,,"1089,77",Vêtements de travail
,1338597,08/04/2019,IMPRIMERIE MULTI-FORMAT,,"70,34","Service - Infographie, graphisme"
,1338482,08/04/2019,XYLEME INC.,,"13648,37","Service - Abattage, émondage, élagage"
"CARRIER, RAYMOND",1339629,12/04/2019,BOUTY INC,1013950,"3673,68",Chaise et fauteuil ergonomique
,1339627,12/04/2019,CPU SERVICE INC.,,"2015,76",Appareil électronique
,1338672,09/04/2019,ROBOTSHOP INC.,,"5350,53",Outils électriques
,1338926,10/04/2019,SERVICE D'INTERPRETE D'AIDE ET DE REFERENCE AUX IMMIGRANTS (SIARI),,1150,"Service - Formation, animation d'atelier"
,1337821,04/04/2019,TRAUMA-SECOURS INC.,,"2860,91",Service - Formation en santé et sécurité
,1339631,12/04/2019,ULINE CANADA CORP,,"529,38",Équipement de scène
"CHAMBEROT, ROBERT",1339624,12/04/2019,ROULEAUX DE PAPIER & RUBANS J.L. INC.,,"361,16",Fourniture d'expédition et étiquette
"DESJARDINS, STEVE",1337024,01/04/2019,CUISINE-ATOUT ENTREPRISE D'INSERTION INC.,,"228,4",Service - Traiteur
