ï»¿Sexe,Annee,Pourcentage_aucune_annee_additionnelles_de_gains,Pourcentage_1_a_5_Annees_additionnelles_de_gains,Pourcentage_6_a_10_Annees_additionnelles_de_gains,Pourcentage_11_Annees_ou_plus_additionnelles_de_gains,Nombre_de_partages_effectues
H,2002,81.26,17.54,01.01,0.19,8819
H,2003,81.51,17.2,01.04,0.25,8441
H,2004,81.16,17.39,1.12,0.33,8392
H,2005,80.73,17.66,1.2,0.42,7686
H,2006,80.43,18.02,01.07,0.48,7477
H,2007,79.3,19.12,1.3,0.28,6898
H,2008,78.29,20.03,1.21,0.48,6701
H,2009,78.76,19.56,1.41,0.27,6223
H,2010,79.61,18.94,01.09,0.36,6067
H,2011,79.01,18.97,1.44,0.58,6042
H,2012,78.89,19.4,1.43,0.29,5960
H,2013,79.09,18.98,1.49,0.44,5437
H,2014,78.4,19.75,1.41,0.43,5103
H,2015,77.93,19.98,1.62,0.47,4689
H,2016,77.27,20.58,1.74,0.41,5063
H,2017,77.13,20.75,1.68,0.44,4775
H,2018,79.06,19,1.43,0.51,4479
H,2019,76.99,20.69,1.66,0.66,4398
H,2020,76.69,21.16,1.53,0.62,3521
F,2002,20.9,34.42,18.84,25.84,8821
F,2003,21.37,35.06,18.58,24.99,8443
F,2004,22.15,35.41,17.69,24.75,8396
F,2005,23.17,36.56,17.23,23.04,7674
F,2006,24.45,36.79,16.34,22.42,7477
F,2007,25.43,37.41,16.02,21.14,6902
F,2008,26.11,38.43,15.82,19.63,6705
F,2009,27.13,37.22,15.97,19.68,6225
F,2010,27.82,37.75,14.64,19.78,6071
F,2011,27.84,38.87,14.65,18.65,6028
F,2012,29.3,38.07,14.88,17.75,5960
F,2013,30.58,38.98,14.84,15.59,5451
F,2014,31.95,39.2,13.41,15.43,5099
F,2015,32.37,39.34,13.77,14.53,4693
F,2016,32.11,40.56,12.61,14.72,5067
F,2017,32.48,40.14,13.57,13.8,4781
F,2018,32.14,41.46,13.79,12.61,4481
F,2019,33.41,41.6,13.61,11.38,4430
F,2020,35.14,41.93,11.59,11.34,3537
