ï»¿description,nom_batiment,classe,lien_photo,piia,annee_inventaire,avis_de_categorisation,st_area(shape),st_length(shape)
6764-37-3963 et 6764-37-3648, ,Provincial,jmap.shawinigan.ca/doc/photos/6764-37-3963_6764-37-3648.jpg,Section_7,2010,,134.195713635,50.6597188641134
6764-23-4368 et 6764-23-3364, ,Provincial,jmap.shawinigan.ca/doc/photos/6764-23-4368_6764-23-3364.jpg,Section_7,2010,,0.00560553,0.920169606579902
5664-80-6355, ,Provincial,jmap.shawinigan.ca/doc/photos/5664-80-6355.jpg,Section_7,2010,,111.813656535,44.980536701051
5664-36-4478, ,Provincial,jmap.shawinigan.ca/doc/photos/5664-36-4478.jpg,Section_7,2010,,109.12133072,45.0174358957789
5763-51-0421 Ãglise St-GÃ©rard-Magella,Ãglise St-GÃ©rard-Magella,Patri-Arch,jmap.shawinigan.ca/doc/photos/5763-51-0421.jpg,Section_7,2010,,622.93662326,129.820105353816
6152-53-0957 Ferme Thelland, ,Provincial,jmap.shawinigan.ca/doc/photos/6152-53-0957.jpg,Section_7,2010,,177.97250112,66.2209892554477
6155-28-1810 Aluminium Company of Canada (bureau),Aluminium Company of Canada (bureau),National,jmap.shawinigan.ca/doc/photos/6155-28-1810_bureau.jpg,Section_7,2010,Avis de categorisation_Aluminerie,528.20169481,115.363043858538
6155-28-1810 Aluminium Company of Canada,Aluminium Company of Canada,National,jmap.shawinigan.ca/doc/photos/6155-28-1810.jpg,Section_7,2010,Avis de categorisation_Aluminerie,7358.59974427,617.40764045014
6156-71-4930, ,Provincial,jmap.shawinigan.ca/doc/photos/6156-71-4930.jpg,Section_7,2010,,176.3245077,59.884446602915
6156-71-8346, ,Provincial,jmap.shawinigan.ca/doc/photos/6156-71-8346.jpg,Section_7,2010,,153.302976,56.3129425795806
6156-72-0559, ,Provincial,jmap.shawinigan.ca/doc/photos/6156-72-0559.jpg,Section_7,2010,,114.5101045,48.0963147816117
6156-72-1731, ,Provincial,jmap.shawinigan.ca/doc/photos/6156-72-1731.jpg,Section_7,2010,,120.754065,49.2682240456948
6156-72-6426, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6156-72-6426.jpg,Section_7,2010,,113.44267307,42.7880553864894
6156-72-8175, ,Provincial,jmap.shawinigan.ca/doc/photos/6156-72-8175.jpg,Section_7,2010,,218.3965005,70.0237597952609
6156-82-5090, ,Provincial,jmap.shawinigan.ca/doc/photos/6156-82-5090.jpg,Section_7,2010,,178.2180535,65.2083408206864
6156-82-7192, ,Provincial,jmap.shawinigan.ca/doc/photos/6156-82-7192.jpg,Section_7,2010,,211.13580667,63.5914979838899
6156-82-9582, ,Provincial,jmap.shawinigan.ca/doc/photos/6156-82-9582.jpg,Section_7,2010,,134.5758985,51.5357694974078
6156-92-1299, ,Provincial,jmap.shawinigan.ca/doc/photos/6156-92-1299.jpg,Section_7,2010,,158.17945318,62.2184854353138
6156-92-5189, ,Provincial,jmap.shawinigan.ca/doc/photos/6156-92-5189.jpg,Section_7,2010,,258.750692795,72.344768160553
6256-02-4375,"1074, Rue des Ãrables secteur Shawinigan",Provincial,jmap.shawinigan.ca/doc/photos/6256-02-4375.jpg,Section_7,2010,,183.36175583,69.3893824694827
6764-23-4368 et 6764-23-3364, ,Provincial,jmap.shawinigan.ca/doc/photos/6764-23-4368_6764-23-3364.jpg,Section_7,2010,,104.43654809,61.2594407411809
6257-30-9745 et 6257-40-1152, ,Provincial,jmap.shawinigan.ca/doc/photos/6257-30-9745_6257-40-1152.jpg,Section_7,2010,,74.71357201,36.6907634388543
6159-68-3591, ,Provincial,jmap.shawinigan.ca/doc/photos/6159-68-3591.jpg,Section_7,2010,,128.7552895,47.1314825581151
6160-69-8717,10500 50e Avenue secteur Shawinigan,Provincial,jmap.shawinigan.ca/doc/photos/6160-69-8717.jpg,Section_7,2010,,193.605520275,55.355257524612
6161-85-7350, ,Provincial,jmap.shawinigan.ca/doc/photos/6161-85-7350.jpg,Section_7,2010,,132.9645546,48.2444192250037
6162-91-8723, ,Provincial,jmap.shawinigan.ca/doc/photos/6162-91-8723.jpg,Section_7,2010,,116.172537155,45.9333544108159
6251-29-4881, ,Provincial,jmap.shawinigan.ca/doc/photos/6251-29-4881.jpg,Section_7,2010,,132.15857381,47.8997462497371
6253-14-4149 Ãglise St-AndrÃ©,Ãglise St-AndrÃ©,Patri-Arch,jmap.shawinigan.ca/doc/photos/6253-14-4149.jpg,Section_7,2010,,846.068112,143.224249600555
6254-11-2550 Ãglise Ste-Jeanne-d'Arc,Ãglise Ste-Jeanne-d'Arc,Patri-Arch,jmap.shawinigan.ca/doc/photos/6254-11-2550_Eglise.jpg,Section_7,2010,,1071.747140305,160.691378179577
6254-11-2550 PresbytÃ¨re Ste-Jeanne-d'Arc,PresbytÃ¨re Ste-Jeanne-d'Arc,Patri-Arch,jmap.shawinigan.ca/doc/photos/6254-11-2550_PresbytÃ¨re.jpg,Section_7,2010,,286.095049745,71.56084976387
6254-16-0950 Maison du capitaine Jos Veilleux,Maison du capitaine Jos Veilleux,Provincial,jmap.shawinigan.ca/doc/photos/6254-16-0950.jpg,Section_7,2010,,118.800641115,44.4466912311621
6254-34-3577 PresbytÃ¨re de Notre-Dame-de-la-PrÃ©sentation,PresbytÃ¨re de Notre-Dame-de-la-PrÃ©sentation,Patri-Arch,jmap.shawinigan.ca/doc/photos/6254-34-3577_PresbytÃ¨re.jpg,Section_7,2010,,288.06451232,77.1570934470139
6255-47-0510 PresbytÃ¨re St-Bernard,PresbytÃ¨re St-Bernard,Patri-Arch,jmap.shawinigan.ca/doc/photos/6255-47-0510.jpg,Section_7,2010,,217.2296305,63.1545726319829
6255-47-3631 Ãglise St-Bernard,Ãglise St-Bernard,Patri-Arch,jmap.shawinigan.ca/doc/photos/6255-47-3631.jpg,Section_7,2010,,1148.992237,153.748748259893
6255-56-7975, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6255-56-7975.jpg,Section_7,2010,,267.04809893,69.8675337817897
6255-57-3019, ,Provincial,jmap.shawinigan.ca/doc/photos/6255-57-3019.jpg,Section_7,2010,,236.591309235,62.1176976633283
6255-67-8048 AcadÃ©mie St-Bernard,AcadÃ©mie St-Bernard,Patri-Arch,jmap.shawinigan.ca/doc/photos/6255-67-8048.jpg,Section_7,2010,,767.668169,126.053905222074
6255-69-4931 Ãdifice des Chevaliers de Colomb,Ãdifice des Chevaliers de Colomb,Provincial,jmap.shawinigan.ca/doc/photos/6255-69-4931.jpg,Section_7,2010,,246.923580445,67.8669913053186
6255-75-0289 Ancienne Ã©cole St-Maurice,Ancienne Ã©cole St-Maurice,Provincial,jmap.shawinigan.ca/doc/photos/6255-75-0289.jpg,Section_7,2010,,1431.277017895,215.338353166132
6255-78-7359,"103, 4e Rue secteur Shawinigan",Provincial,jmap.shawinigan.ca/doc/photos/6255-78-7359.jpg,Section_7,2010,,113.5728043,45.0670523402595
6255-79-6402, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6255-79-6402.jpg,Section_7,2010,,227.0749315,70.8883483228648
6257-30-7941 et 6257-30-6339,"1022-1032, Rue Summit secteur Shawinigan",Provincial,jmap.shawinigan.ca/doc/photos/6257-30-7941_6257-30-6339.jpg,Section_7,2010,,78.46923502,39.6524758983265
6256-53-8949 et 6256-53-9365,"1003-1021, Avenue des CÃ¨dres secteur Shawinigan",Provincial,jmap.shawinigan.ca/doc/photos/6256-53-8949_6256-53-9365.jpg,Section_7,2010,,106.81928504,43.1426996352735
6255-89-2906, ,Provincial,jmap.shawinigan.ca/doc/photos/6255-89-2906.jpg,Section_7,2010,,151.3854275,51.0168902606035
6256-02-0808 Ãglise anglicane St John The Evangelist,Ãglise anglicane St John The Evangelist,Provincial,jmap.shawinigan.ca/doc/photos/6256-02-0808_Eglise.jpg,Section_7,2010,,172.412942,67.1958614131058
6256-02-0808 PresbytÃ¨re (rectorat) de l'Ã©glise St John,PresbytÃ¨re (rectorat) de l'Ã©glise St John,Patri-Arch,jmap.shawinigan.ca/doc/photos/6256-02-0808_PresbytÃ¨re.jpg,Section_7,2010,,119.400217,47.6159454412488
6256-02-2677 et 6256-02-0980,"1092-1102, Rue des Ãrables secteur Shawinigan",Provincial,jmap.shawinigan.ca/doc/photos/6256-02-2677_6256-02-0980.jpg,Section_7,2010,,120.408923225,54.3109325758827
6256-02-6169,"1052, Rue des Ãrables secteur Shawinigan",Provincial,jmap.shawinigan.ca/doc/photos/6256-02-6169.jpg,Section_7,2010,,166.966513,55.4224657272657
6256-10-2071 Maison Burrill,Maison Burrill,Patri-Arch,jmap.shawinigan.ca/doc/photos/6256-10-2071.jpg,Section_7,2010,,290.622443015,73.4642289388341
6256-35-1247 Gare du Canadien Pacifique,Gare du Canadien Pacifique,National,jmap.shawinigan.ca/doc/photos/6256-35-1247.jpg,Section_7,2010,,509.471508,112.833200256767
6256-35-7216 The Shawinigan Cotton Company Limited (Wabasso Cotton),The Shawinigan Cotton Company Limited (Wabasso Cotton),Patri-Arch,jmap.shawinigan.ca/doc/photos/6256-35-7216.jpg,Section_7,2010,,7397.63497355,473.984022529959
6256-41-1030 Ãglise St-Pierre,Ãglise St-Pierre,Patri-Arch,jmap.shawinigan.ca/doc/photos/6256-41-1030.jpg,Section_7,2010,,1448.705426225,188.12437076492
6256-42-5300 Couvent des Ursulines,Couvent des Ursulines,Patri-Arch,jmap.shawinigan.ca/doc/photos/6256-42-5300.jpg,Section_7,2010,,1272.672889155,181.802590316572
6256-43-4757,"1002, Avenue Hemlock secteur Shawinigan",Provincial,jmap.shawinigan.ca/doc/photos/6256-43-4757.jpg,Section_7,2010,,147.7612815,52.5505841450664
6256-43-5489 Ãcole protestante,"Ãcole protestante, - 1032 Avenue Hemlock secteur Shawinigan",Provincial,jmap.shawinigan.ca/doc/photos/6256-43-5489.jpg,Section_7,2010,,323.1098675,75.5484230232851
6256-54-4958 High School,High School,Patri-Arch,jmap.shawinigan.ca/doc/photos/6256-54-4958.jpg,Section_7,2010,,1770.293687645,203.126562911616
6256-55-3335, ,Provincial,jmap.shawinigan.ca/doc/photos/6256-55-3335.jpg,Section_7,2010,,108.371262,45.3432794358546
6256-59-2795, ,Provincial,jmap.shawinigan.ca/doc/photos/6256-59-2795.jpg,Section_7,2010,,74.2520895,35.5431347803497
6258-51-8435 Maison Fleurie,Maison Fleurie,Patri-Arch,jmap.shawinigan.ca/doc/photos/6258-51-8435.jpg,Section_7,2010,,277.897520285,76.5149715114935
6257-30-9745 et 6257-40-1152, ,Provincial,jmap.shawinigan.ca/doc/photos/6257-30-9745_6257-40-1152.jpg,Section_7,2010,,112.202953395,49.7345709574788
6257-30-7941 et 6257-30-6339,"1022-1032, Rue Summit secteur Shawinigan",Provincial,jmap.shawinigan.ca/doc/photos/6257-30-7941_6257-30-6339.jpg,Section_7,2010,,85.50372243,42.034689292928
6256-71-1149 Ãcole supÃ©rieure,Ãcole supÃ©rieure,Provincial,jmap.shawinigan.ca/doc/photos/6256-71-1149.jpg,Section_7,2010,,2064.133888,284.777471274846
6256-72-0438 Auditorium municipal (arÃ©na Jacques-Plante),Auditorium municipal (arÃ©na Jacques-Plante),Patri-Arch,jmap.shawinigan.ca/doc/photos/6256-72-0438.jpg,Section_7,2010,,4091.999447,270.962049932901
