"Liste des contrats de 25 000 $ et plus",,
"Octroyés du 1er juin 2012 au 31 mai 2013",,
,,
"Nom du fournisseur","Montant du contrat","Description du bon de commande"
"7632495 CANADA INC. ","46 074,00 $","Travaux d'aménagement de paysage au parc Nelson-Mandela "
"9064-2711 QUEBEC INC. ","188 297,04 $","Location de remorqueuses avec opérateur "
"ACTUALITÉS CÔTE-DES-NEIGES INC. ","39 966,78 $","Parutions Avis publics 2012 "
"ACTUALITÉS CÔTE-DES-NEIGES INC. ","26 394,00 $","Parutions Avis publics 2013 "
"À DEUX MAINS INC. (HEAD & HANDS) ","59 684,00 $","Contribution financière 2013 au programme Jeunesse 2000 "
"AFFLECK & DE LA RIVA ARCHITECTES ","67 084,75 $","Services professionnels en architecture et en ingénierie pour la construction d'un chalet et d'un garage au parc de la Confédération dans le cadre de l'aménagement d'une patinoire réfrigérée extérieure multisports "
"AFFLECK & DE LA RIVA ARCHITECTES ","8 501,07 $","Services professionnels en architecture pour le remplacement de trois unités de climatisation et travaux connexes à la maison de la culture NDG "
"AFFLECK & DE LA RIVA ARCHITECTES ","8 501.07 $","Services professionnels en architecture pour la climatisation du 3e étage et travaux connexes à l'édifice Madison "
"AFFLECK & DE LA RIVA ARCHITECTES ","80 542,94 $","Services professionnels en architecture pour le réaménagement et l'agrandissement du chalet du parc Nelson-Mandela "
"AQUATECHNO SPÉCIALISTES AQUATIQUES INC. ","26 407,20 $","Produits chimiques - année 2012 "
"AQUATECHNO SPÉCIALISTES AQUATIQUES INC. ","24 133,08 $","Produits chimiques - année 2013 "
"AQUATECHNO SPÉCIALISTES AQUATIQUES INC. ","3 134,29 $","Fourniture et installation d'un réservoir de confinement double paroi pour hypochlorite de sodium à la piscine Côte-Saint-Antoine "
"ARDEC CONSTRUCTION INC. ","269 768,68 $","Travaux de climatisation du 3e étage et travaux connexes de l'édifice Madison "
"ASSOCIATION DE LA COMMUNAUTÉ NOIRE DE CDN ","152 600,00 $","Contribution financière - année 2013 "
"ASSOCIATION POUR LE DÉVELOPPEMENT JEUNESSE DE LOYOLA ","21 142,67 $","Contribution financière 2013 - activités de loisirs, Association pour le développement jeunesse de Loyola. "
"ASSOCIATION POUR LE DÉVELOPPEMENT JEUNESSE DE LOYOLA ","42 285,00 $","Contribution financière 2013 - portion activités de loisirs "
"BAU-VAL CMM ","51 298,73 $","Service de récupération de béton - année 2012 "
"BAU-VAL CMM ","10 226,04 $","Service de récupération de béton - année 2013 "
"BOO! DESIGN INC. ","11 332,93 $","Montage infographique et impression de la programmation culturelle - hiver 2012 "
