"List of contracts of $25,000 or more",,
"Awarded June 1st, 2009 to May 31, 2010",,
,,
,,
"Supplier","Amount","Description"
"2946-8980 QUÉBEC INC.","$7,725.05","Work to refit the offices at 5160, boulevard Décarie "
"2946-8980 QUÉBEC INC.","$18,751.72","Work to refit the offices at 5160, boulevard Décarie "
"CONSTRUCTION BENTECH ","$76,914.88","Reconstruction of sewer lines, water mains and sidewalks – avenue Wilderton between avenue Kent and avenue Barclay "
"ACTUALITÉS CÔTE-DES-NEIGES INC","$3,584.68","2009 publication in Actualités Côte-des-Neiges "
"ACTUALITÉS CÔTE-DES-NEIGES INC","$45,159.71","Public notices in Actualités Côte-des-Neiges "
"À DEUX MAINS INC. (HEAD & HANDS)","$43,450.50","Financial contribution 2010 "
"AQUATECHNO SPÉCIALISTES AQUATIQUES INC. ","$12,481.14","Order of chemical products "
"AQUATECHNO SPÉCIALISTES AQUATIQUES INC. ","$9,255.68","Order of chemical products "
"AQUATECHNO SPÉCIALISTES AQUATIQUES INC. ","$21,989.43","Order of chemical products "
"ARBO-DESIGN INC. ","$19,244.90","Contract for tree trimming in parks, 2009 season "
"ARBO-DESIGN INC.","$25,409.96","Contract for tree trimming in parks, 2009 season "
"ARBREVERT INC. ","$23,888.92","Transplanting of trees as part of the Benny Sports and Community Complex construction project "
"ARBREVERT INC. ","$16,397.01","Felling of European black pines and a poplar in Benny Park "
"ARBREVERT INC.","$16,305.31","Transplanting of trees on July 8 as part of the Benny Sports and Community Complex construction project "
"ARBREVERT INC.","$2,998.93","Maintenance of transplanted trees in Benny Park "
"ASSOCIATION DE LA COMMUNAUTÉ NOIRE DE CDN","$37,025.00","Financial contribution 2009 "
"ASSOCIATION DE LA COMMUNAUTÉ NOIRE DE CDN","$148,100.00","Financial contribution 2010 "
"ASSOCIATION DE LA COMMUNAUTÉ NOIRE DE NDG","$23,042.50","Financial contribution 2010 "
"ASSOCIATION DE LA COMMUNAUTÉ NOIRE DE NDG","$9,339.50","Financial contribution "
"ASSOCIATION POUR LE DÉVELOPPEMENT JEUNESSE DE LOYOLA","$11,900.00","Financial contribution "
"ASSOCIATION POUR LE DÉVELOPPEMENT JEUNESSE DE LOYOLA","$18,809.33","Financial contribution 0210 "
"ASSOCIATION POUR LE DÉVELOPPEMENT JEUNESSE DE LOYOLA","$37,618.67","Financial contribution "
"B.D.M.P. TRANSPORT EN VRAC S.E.N.C.","$138,614.20","Winter 2009–10 snow transportation contract "
"BENCO MFG INDUSTRIES INC","$340,537.64","Rental of Benco brand utility tractors, model TU900, 2009, with accessories "
"BENCO MFG INDUSTRIES INC","$43,365.76","Rental of Benco brand utility tractors, model TU900, 2009, with accessories "
"BENCO MFG INDUSTRIES INC","$296,656.26","Rental of Benco brand utility tractors, model TU900, 2009, with accessories "
"B.P. ASPHALTE INC.","$134,185.71","Construction of curb extensions on avenue de Monkland "
"B.P. ASPHALTE INC. ","$23,887.80","Road work – reconstruction of sidewalks "
"B.P. ASPHALTE INC. ","$3,364.41","Road work – reconstruction of sidewalks (driveway curb profile) "
"B.P. ASPHALTE INC. ","$17,202.66","Reconstruction of sidewalks – Le Manoir NDG Centre "
"B.P. ASPHALTE INC. ","$4,244.34","Road work – reconstruction of sidewalks "
"BRIÈRE, GILBERT + ASSOCIÉS, ARCHITECTES","$28,290.22","Professional services for complementary urban design study – Namur/Jean-Talon Ouest sector "
"BRIÈRE, GILBERT + ASSOCIÉS, ARCHITECTES","$18,183.95","Professional services for review of the Namur/Jean-Talon Ouest concept "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES","$4,200.00","Financial contribution for Programme d’accompagnement en loisirs (program allowing children with disabilities to take part in recreational activities) "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES","$70,000.00","Financial contribution "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES","$11,866.00","Financial contributions "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES","$230,744.00","Financial contribution 2010 "
"CENTRE COMMUNAUTAIRE MOUNTAIN SIGHTS","$91,200.00","Financial contribution 2010 "
"CENTRE DE RESSOURCES COMMUNAUTAIRE CÔTE-DES-NEIGES","$140,000.00","Financial contribution 2010 "
"CLAULAC INC. EXPERTS-CONSEILS","$5,393.75","Drawing up of plans for calls for tenders for the Road Repair Program "
"CLAULAC INC. EXPERTS-CONSEILS","$5,393.75","Geometric study – chemin Hudson "
"CLAULAC INC. EXPERTS-CONSEILS","$2,589.01","2140, avenue Madison project – Refitting of second-floor ceilings "
"CLAULAC INC. EXPERTS-CONSEILS","$8,953.63","Professional fees, refit of 5160 boulevard Décarie "
"CLAULAC INC. EXPERTS-CONSEILS","$3,236.25","Geometric study – boulevard Édouard-Montpetit/avenue Louis-Colin "
"CLAULAC INC. EXPERTS-CONSEILS","$3,236.25","Preparation of a plan for tendering – chemin Hudson/avenue de Brighton "
"CLUB DE PLEIN AIR NDG","$42,000.00","Financial contribution 2010 "
