"Liste des contrats de 25 000 $ et plus",,
"Octroyés du 1er juin 2010 au 31 mai 2011",,
,,
"Nom du fournisseur","Montant du contrat","Description du bon de commande"
"A.B.C RÉCRÉATION LTD ","85 992,12$","Contrat pour la fourniture et l’installation des modules de jeux d’enfants de 6 à 12 ans au parc Van Horne "
"A.B.C RÉCRÉATION LTD","14 324,68$","Achat de trois paniers de basket-ball dans le cadre du projet d’aménagement d’un terrain de basket-ball au parc Georges-Saint-Pierre "
"ACCESSOIRES OUTILLAGE LIMITÉE ","7 550,17$","Location d’un balai – aspirateur de rue "
"ACCESSOIRES OUTILLAGE LIMITÉE","14 261,08$","Chariot élévateur usagé "
"ACCESSOIRES OUTILLAGE LIMITÉE","7 499,29$","Réparation de matériel roulant "
"ACCESSOIRES OUTILLAGE LIMITÉE","13 964,42$","Aspirateur à feuilles "
"ACTUALITÉS CÔTE-DES-NEIGES INC. ","17 825,08$","Parutions 2010 "
"ACTUALITÉS CÔTE-DES-NEIGES INC.","26 544,99$","Parutions 2011 "
"À DEUX MAINS INC. (HEAD & HANDS) ","14 483,50$","Contribution financière "
"À DEUX MAINS INC. (HEAD & HANDS)","59 684,00$","Contribution financière 2011 "
"AQUAM INC. ","10 213,63$","Matériel aquatique "
"AQUAM INC. ","60 779,88$","Équipements – centre sportif de Notre-Dame-de-Grâce "
"AQUATECHNO SPÉCIALISTES AQUATIQUES INC. ","2 359,77$","Chlore granulé – Piscine de la Confédération "
"AQUATECHNO SPÉCIALISTES AQUATIQUES INC. ","17 799,38$","Chlore pulsar pour les piscines extérieures "
"AQUATECHNO SPÉCIALISTES AQUATIQUES INC. ","22 188,21$","Produits chimiques pour les piscines "
"ARBO-DESIGN INC. ","15 309,48$","Contrat d’essouchement – 2010 – parcs "
"ARBO-DESIGN INC.","119 086,45$","Contrat pour travaux d’élagage "
"ASSOCIATION DE LA COMMUNAUTÉ NOIRE DE CDN ","13 706,00$","Contribution financière 2010 "
"ASSOCIATION DE LA COMMUNAUTÉ NOIRE DE CDN","164 019,00$","Contribution financière 2011 "
"ASSOCIATION PHILIPPINE DE MONTRÉAL ET DE LA BANLIEUE (FAMAS) ","7 500,00$","Contribution financière 2010 "
"ASSOCIATION PHILIPPINE DE MONTRÉAL ET DE LA BANLIEUE (FAMAS)","17 500,00$","Contribution financière 2011 "
"ASSOCIATION POUR LE DÉVELOPPEMENT JEUNESSE DE LOYOLA ","63 428,00$","Contribution financière 2011 "
"ATWILL-MORIN CO. ","143 721,50$","Contrat pour la réfection du fronton de l’entrée principale du Centre communautaire Notre-Dame-de-Grâce "
"BAU-QUEBEC LTÉE ","59 684,92$","Contrat pour la réalisation des travaux de réfections diverses dans le parc Jean-Brillant "
"B.P. ASPHALTE INC. ","699 240,36$","Travaux de reconstruction des trottoirs et des bordures sur les différentes rues de l’arrondissement de Côte-des-Neiges—Notre-Dame-de-Grâce – PRR 2010 "
"B.P. ASPHALTE INC. ","236 407,83$","Réfections mineures de trottoirs – PRR 2010 "
"BRASSARD CONSTRUCTIONS INC. ","37 686,77$","Contrat pour les travaux d’enlèvement des parties des murets et de réhabilitation architecturale au chalet du parc de Kent "
"BUDGET CONSTRUCTION SOLUTIONS INC. ","69 928,26$","Centre NDG – économiste "
"CAMIONS EXCELLENCE PETERBILT INC. ","22 354,44$","Location d’un camion-tasseur "
"CAMIONS EXCELLENCE PETERBILT INC.","2 668,50$","Réparation d’un camion-tasseur "
"CARRIÈRE ST-JACQUES INC. ","42 164,48$","Achat d’abrasifs 90/10 – 2010-2011 "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES ","307 456,00$","Contribution financière "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES","3 574,52$","Remboursement de matériel de sports "
"CENTRE COMMUNAUTAIRE MOUNTAIN SIGHTS ","32 900,00$","Contribution financière – volet encadrement des activités de loisirs "
"CENTRE COMMUNAUTAIRE MOUNTAIN SIGHTS","125 300,00$","Contribution financière 2011 "
"CENTRE DE RESSOURCES COMMUNAUTAIRE CÔTE-DES-NEIGES ","140 000,00$","Contribution financière 2011 "
"CHAGNON (1975) LIMITEE ","19 858,71$","Installation d’éclairage extérieur au grand chalet du parc de Kent "
"CHAGNON (1975) LIMITEE ","15 834,97$","Travaux et fourniture d’éclairage sécuritaire pour le mini-soccer au centre sportif CDN—NDG "
"CHEVALIER MORALES ARCHITECTES ","80 906,25$","Concours – Centre culturel Notre-Dame-de-Grâce "
"CIMA + ","113 268,75$","Contrat de services professionnels pour la réalisation d’un Plan directeur de transport urbain de l’arrondissement "
"CIMA +","17 475,75$","Étude sur les mesures d’atténuation sur rue locale CDN—NDG "
"CIMA +","17 421,81$","Services professionnels en ingénierie de bâtiment pour un rapport d’état du bâtiment Théâtre Empress "
"CIMA +","2 124,04$","Services professionnels en ingénierie structurale au chalet du parc Maurice-Cullen "
"CIMA +","5 730,82$","Honoraires professionnels de service d’ingénierie – Plan de déneigement "
"CLINIQUE DE MÉDECINE INDUSTRIELLE ET PRÉVENTIVE DU QUÉBEC INC. ","8 602,52$","Dossiers CSST 2010 "
"CLINIQUE DE MÉDECINE INDUSTRIELLE ET PRÉVENTIVE DU QUÉBEC INC.","9 193,34$","Expertise médicale 2010 "
"CLINIQUE DE MÉDECINE INDUSTRIELLE ET PRÉVENTIVE DU QUÉBEC INC.","16 427,89$","Dossiers CSST 2011 "
"CLINIQUE DE MÉDECINE INDUSTRIELLE ET PRÉVENTIVE DU QUÉBEC INC.","11 316,05$","Expertise médicale 2011 "
"CLUB DE PLEIN AIR NDG ","42 000,00$","Contribution financière 2011 "
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC. ","135 531,96$","Contrat de déneigement 2010-2013 – N73 – HIVER 2010/2011 "
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC. ","601 561,15$","Contrat de déneigement 2010-2013 – N73 – HIVER 2010/2011 "
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC. ","463 815,78$","Contrat de déneigement 2010-2013 – N73 – HIVER 2010/2011 "
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC. ","636 503,49$","Contrat de déneigement 2010-2013 – N73 – HIVER 2010/2011 "
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC. ","156 110,10$","Contrat de déneigement 2010-2013 – N73 – HIVER 2010/2011 "
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRACE ","2 000,00$","Location de gonflables et activités de golf pour le Splish Splash 2010 "
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRACE","637 594,00$","Contribution financière 2011 "
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRACE","20 000,00$","Mandat du conseil d’administration provisoire du centre Walkley "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM) ","6 425,40$","Facturation pour utilisation de locaux, avril 2010 "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM)","5 539,48$","Facturation pour utilisation de locaux, mai 2010 "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM)","3 441,34$","Facturation pour utilisation de locaux, juin 2010 "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM)","12 919,43$","Facturation pour utilisation de locaux, juillet 2010 "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM)","5 548,12$","Facturation pour utilisation de locaux, août 2010 "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM)","2 895,42$","Facturation pour utilisation de locaux, septembre 2010 "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM)","5 719,44$","Facturation pour utilisation de locaux, octobre 2010 "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM)","6 204,58$","Facturation pour utilisation de locaux, novembre 2010 "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM)","3 894,97$","Facturation pour utilisation de locaux, décembre 2010 "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM)","2 500,00$","Remboursement partiel – travaux de réparation dans le gymnase "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM)","4 543,47$","Facturation pour utilisation de locaux, janvier 2011 "
