"Liste des contrats de 25 000 $ et plus",,
"Octroyés du 1er juin 2013 au 31 mai 2014",,
,,
"Nom du fournisseur","Montant du contrat","Description du bon de commande"
"9297-6646 QUÉBEC INC. ","42 795,88 $","Location de rétrocaveuse avec opérateur "
"ACCESSOIRES OUTILLAGE LIMITÉE","46 016,83 $","Aspirateur et benne à feuilles, année 2013 "
"ACCESSOIRES OUTILLAGE LIMITÉE","16 496,25 $","Dégeleuse à vapeur usagée "
"ACCESSOIRES OUTILLAGE LIMITÉE","4 238,25 $","Réparation de l’unité # 539-06328 "
"ACCESSOIRES OUTILLAGE LIMITÉE","15 519,27 $","Réparation de l’unité # 749-90169 "
"ACTION COMMUNITERRE","20 250,00 $","Contribution financière pour le réseau des jardins de NDG "
"ACTION COMMUNITERRE","6 557,69 $","Travaux de réaménagement au jardin NDG, construction de quatre bacs pour personnes à mobilité réduite, soit deux au jardin NDG et deux au jardin Châteaufort, et construction de deux bacs surélevés au jardin Saint-Raymond"
"ACTUALITÉS CÔTE-DES-NEIGES INC.","9 631,61 $","Parution avis publics 2013 "
"ACTUALITÉS CÔTE-DES-NEIGES INC.","26 964,78 $","Parution avis publics 2014 "
"À DEUX MAINS INC. (HEAD & HANDS) ","59 684,00 $","Contribution financière 2014 à Jeunesse 2000 "
"AGENCE WEBDIFFUSION INC.","25 668,39 $","Service conférence pour l'année 2014 "
"AGENCE WEBDIFFUSION INC.","6 844,90 $","Séance extraordinaire, présentation du budget 2014 ; séances du conseil 9 et 13 janvier 2014 "
"AGENCE WEBDIFFUSION INC.","3 007,61 $","Séance ordinaire du 10 février 2014, frais d'utilisation des cartes LTE pour diffusion "
"AGENCE WEBDIFFUSION INC.","3 007,61 $","Séance ordinaire du 3 mars 2014, frais d'utilisation des cartes LTE pour diffusion "
"AMÉNAGEMENTS SUD-OUEST","123 664,14 $","Parc Coffee : travaux d'aménagement de paysage et projet de réaménagement des aires de jeux pour enfants "
"AMÉNAGEMENTS SUD-OUEST","1 144 867,60 $","Parc Georges-Saint-Pierre : travaux de réaménagement du terrain de soccer "
"ANJALEC CONSTRUCTION INC.","377 215,80 $","Parc Maurice-Cullen : travaux de reconstruction du chalet "
"ANJALEC CONSTRUCTION INC.","7 114,26 $","Complexe sportif et communautaire Benny : travaux de réinstallation des bancs et d’autre mobilier "
"AQUATECHNO SPÉCIALISTES AQUATIQUES INC.","7 258,35 $","Produits chimiques pour la piscine de la Confédération "
"AQUATECHNO SPÉCIALISTES AQUATIQUES INC.","7 258,35 $","Produits chimiques pour la piscine de Kent "
"AQUATECHNO SPÉCIALISTES AQUATIQUES INC.","15 737,43 $","Produits chimiques "
"AQUATECHNO SPÉCIALISTES AQUATIQUES INC.","7 511,45 $","Produits chimiques pour le démarrage de la piscine de Kent "
"AQUATECHNO SPÉCIALISTES AQUATIQUES INC.","15 271,10 $","Produits chimiques pour le démarrage de la piscine de la Confédération "
"ASSOCIATION DE LA COMMUNAUTÉ NOIRE DE CDN ","152 600,00 $","Contribution financière 2014 : activités de loisirs et clubs de vacances "
"ASSOCIATION POUR LE DÉVELOPPEMENT JEUNESSE DE LOYOLA ","63 428,00 $","Contribution financière 2014 : activités de loisirs "
"BAUVAL CMM","77 934,86 $","Service de rebut de béton/asphalte - 2013 "
"BAUVAL CMM","16 872,40 $","Service de rebut de béton/asphalte - 2014 "
"BIBLIOTHÈQUE PUBLIQUE JUIVE ","27 468,00 $","Contribution financière 2014 "
"BP EXCAVATION","15 649,44 $","Travaux exécutés dans le tunnel Melrose "
"BP EXCAVATION","18 336,08 $","Travaux de réparation de pavé uni, gazonnage et construction de trottoirs "
"CAFÉTÉRIA COMMUNAUTAIRE MULTICAF ","25 000,00 $","Contribution financière "
"CARDIN RAMIREZ JULIEN INC.","5 773,70 $","Centre communautaire NDG : services professionnels en architecture pour la réfection du plancher du gymnase "
"CARDIN RAMIREZ JULIEN INC.","53 333,23 $","Centre communautaire le Manoir NDG : contrat de services professionnels pour la réfection de la toiture "
"CARRIÈRES ST-JACQUES INC. ","87 864,88 $","Abrasif d'hiver 90-10 du 15 septembre 2013 au 30 avril 2014 "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES"," 17 000,00 $","Contribution financière pour le projet Pour bien animer"
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES","3 809,00 $","Contribution financière 2013 "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES","6 000,00 $","Côte-des-Neiges en fête "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES","11 000,00 $","Dépenses effectuées pour l'animation dans le parc Jean-Brillant du 4 juillet au 14 septembre 2013 "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES","237 744,00 $","Contribution financière 2014 : activités de loisirs et club de vacances "
"CENTRE COMMUNAUTAIRE MOUNTAIN SIGHTS","31 325,00 $","Contribution financière : club de vacances et activités de loisirs "
"CENTRE COMMUNAUTAIRE MOUNTAIN SIGHTS","125 300,33 $","Contribution financière 2014 "
"CENTRE DE RESSOURCES COMMUNAUTAIRES CÔTE-DES-NEIGES ","140 000,00 $","Contribution financière 2014 "
"CLÔTURE FORTIN ","35 547,88 $","Parc Notre-Dame-de-Grâce : contrat de travaux de remplacement de l'arrêt-balles et de la clôture du terrain de baseball"
"CLUB DE PLEIN AIR NDG","42 000.00 $","Contribution financière 2014 : activités de loisirs "
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC.","77 685,43 $","Contrat de déneigement pour 2012-2013 "
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC.","5 232 180,30 $","Contrat de déneigement pour 2013-2014 "
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC.","156 923,65 $","Location d'une rétrocaveuse et de deux chargeuses "
"COFELY SERVICES INC.","5 040,34 $","Phase transitoire du Centre sportif NDG "
"COFELY SERVICES INC.","63 719,88 $","Gestion du Centre sportif NDG "
"COMEAU EXPERTS-CONSEILS","73 133,38 $","Services professionnels pour la préparation des plans et devis, cahiers des charges et surveillance de chantier pour le projet du terrain de soccer au parc Georges-Saint-Pierre"
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE","10 000,00 $","Contribution financière 2013 pour Ça bouge dans les parcs "
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE","390 909,00 $","Contribution financière 2014 : activités de loisirs et club de vacances "
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE","167 100,00 $","Centre communautaire Saint-Raymond : contribution financière 2014 pour la gestion du centre, les activités de loisirs et les clubs de vacances "
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE","79 585,00 $","Centre communautaire Walkley : contribution financière 2014 pour les activités de loisirs et le club de vacances "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM)"," 5 550,62 $","Formation Mise en place et finition de trottoirs"
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM)","56 531,18 $","Location de locaux - 2013 "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM)","22 682,73 $","Location de locaux - 2014 "
"COMPAGNIE DE CHEMIN DE FER DU CANADIEN PACIFIQUE ","238 181,59 $","Réparation de passage à niveau "
"CONCEPTION PAYSAGE INC.","19 795,50 $","Parc de la Confédération : réaménagement des aires périphériques de la nouvelle patinoire du chalet "
"CONCEPTION PAYSAGE INC.","21 468,12 $","Parc Jean-Brillant : honoraires professionnels pour le réaménagement de l’aire de jeux 5 à 12 ans, de l’accès nord-ouest, des sentiers ainsi que pour la surveillance du chantier "
"CONSEIL COMMUNAUTAIRE NOTRE-DAME-DE-GRÂCE","16 600,00 $","Initiative montréalaise de soutien au développement social local pour la période du 1er avril 2012 au 31 mars 2015 "
