"Liste des contrats de 25 000 $ et plus",,
"Octroyés du 1er juin 2014 au 31 mai 2015",,
,,
"Nom du fournisseur","Montant du contrat","Description du bon de commande"
"9158-9663 QUÉBEC INC. ","35 655,74 $","Finalisation du contrat de design intérieur du Centre culturel Notre-Dame-de-Grâce "
"ACTUALITÉS CÔTE-DES-NEIGES INC.","12 990,66 $","Avis publics – 2014 "
"ACTUALITÉS CÔTE-DES-NEIGES INC.","19 611,66 $","Avis publics – 2015 "
"À DEUX MAINS INC. (HEAD & HANDS) ","59 684,00 $","Contribution financière 2015 "
"AFFLECK & DE LA RIVA ARCHITECTES","12 598,50 $","Contingences au contrat de services professionnels pour la réfection des toitures de 3 chalets de parc. GDD 1154921004"
"AFFLECK & DE LA RIVA ARCHITECTES","24 671,14 $","Contrat de services d'architecture: réaménagement et agrandissement du chalet du parc Nelson-Mandela "
"AMÉNAGEMENTS SUD–OUEST","48 442,34 $","Travaux de réaménagement du terrain de soccer du parc Georges-Saint-Pierre "
"AQUATECHNO SPÉCIALISTES AQUATIQUES INC.","28 235,25 $","Produits chimiques – 2014 "
"AQUATECHNO SPÉCIALISTES AQUATIQUES INC.","20 231,08 $","Produits chimiques – 2015 "
"AQUEST DESIGN","1 396,98 $","Achat de bancs 2 places pour la bibliothèque interculturelle "
"AQUEST DESIGN","7 068,88 $","Achat de sofas et de nettoyant pour la bibliothèque interculturelle "
"AQUEST DESIGN","2 445,49 $","Achat de tables et de chaises pour le Centre des Aînés "
"AQUEST DESIGN","4 941,82 $","Achat de chaises empilables pour le pavillon Nelson-Mandela "
"AQUEST DESIGN","9 170,74 $","Achat de tables, de chaises et de fauteuils pour le pavillon Nelson-Mandela "
"AQUEST DESIGN","4 609,95 $","Achat de tables et de chaises pour l’aréna Doug-Harvey "
"AQUEST DESIGN","205,35 $","Achat tables et chaises pour l'aréna Doug-Harvey "
"AQUEST DESIGN","2 004,16 $","Achat de tables et de chaises pour la bibliothèque de Côte-des-Neiges "
"ASSOCIATION DE LA COMMUNAUTÉ NOIRE DE CÔTE-DES -NEIGES","44 490,00 $","Contribution financière 2015 pour club de vacances "
"ASSOCIATION DE LA COMMUNAUTÉ NOIRE DE CÔTE-DES -NEIGES","90 091,67 $","Contribution financière 2015 pour activités de loisirs "
"ASSOCIATION DE LA COMMUNAUTÉ NOIRE DE CÔTE-DES -NEIGES","18 018,32 $","Contribution financière pour BCA CDN pour addenda du 1er novembre 2015 au 31 décembre 2015 "
"ASSOCIATION POUR LE DEVELOPPEMENT JEUNESSE DE LOYOLA","31 714,00 $","Contribution financière 2015 pour activités de loisirs "
"ASSOCIATION POUR LE DEVELOPPEMENT JEUNESSE DE LOYOLA","31 714,00 $","Contribution financière 2015 "
"BAU-VAL CMM","14 938,63 $","Rebuts de béton et d’asphalte – 2015 "
"BAU-VAL CMM","60 774,32 $","Rebuts de béton et d’asphalte – 2014 "
"BIBLIOTHÈQUE PUBLIQUE JUIVE ","27 468,00 $","Contribution financière afin de permettre d’offrir des collections accessibles aux abonnés de l'arrondissement "
"BRUNEAU ÉLECTRIQUE INC. ","218 533,70 $","Contrat de travaux d'éclairage du petit terrain de baseball du parc Loyola "
"CARDIN RAMIREZ JULIEN INC. ","71 741,87 $","Contingences au contrat de services professionnels pour la mise à niveau des vides sanitaires au Centre communautaire Notre-Dame-de-Grâce. GDD 1143942006 "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES -NEIGES","202 453,33 $","Contribution financière 2015 pour club de vacances "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES -NEIGES","35 290,70 $","Contribution financière 2015 pour activités de loisirs "
