"List of contracts of $25,000 or more",,
"Awarded June 1, 2007 to May 31, 2008",,
,,
,,
"Supplier","Amount","Description"
"(S.P.C.A) SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS","$52,800.00","Animal control contract for 2008 "
"À DEUX MAINS INC. (HEAD & HANDS)","$57,934.00","Partnership agreement "
"A.B.C. RÉCRÉATION LTD","$32,187.39","Purchase of six parasols for the swimmers pavilion at the Kent Park swimming pool "
"A.B.C. RÉCRÉATION LTD","$4,420.77","Purchase of swings for ages 6-12, Rosemary Brown Park "
"A.B.C. RÉCRÉATION LTD","$2,561.84","Repair of picnic tables, water playground, MacKenzie King Park "
"A.B.C. RÉCRÉATION LTD","$10,282.52","Purchase of street furniture to upgrade the Kent Park swimming pool "
"A.B.C. RÉCRÉATION LTD","$11,364.98","Purchase of street furniture for the swimmers pavilion, Kent Park swimming pool "
"A.B.C. RÉCRÉATION LTD","$5,644.98","Purchase, transportation and installation of a Play Booster, Dunkerque Park "
"A.B.C. RÉCRÉATION LTD","$4,338.75","Purchase of octagonal tables, Jean Brillant Park "
"A.B.C. RÉCRÉATION LTD","$2,132.17","Purchase of six bases for the six parasols at the Kent Park outdoor swimming pool "
"A.B.C. RÉCRÉATION LTD","$47,910.09","Purchase of play modules for ages 6-12, Rosemary Brown Park "
"A.B.C. RÉCRÉATION LTD","$48,498.44","Play modules, Confederation Park, playground for ages 2-5"
"A.B.C. RÉCRÉATION LTD","$9,262.11","Confederation Park, playground for ages 2-5, renewal of phase I of the Playshaper "
"A.B.C. RÉCRÉATION LTD","$3,801.82","Purchase of tables for the Saint-Raymond bocce court in Georges Saint-Pierre Park "
"A.B.C. RÉCRÉATION LTD","$56,125.83","Purchase, delivery and installation of play modules for ages 6-12, Dunkerque Park "
"A.B.C. RÉCRÉATION LTD","$33,720.82","Purchase, delivery and installation of play modules for ages 2-5, De Sousa–Mendes Park "
"ACTUALITÉS CÔTE-DES-NEIGES INC.","$15,116.76","Media placement "
"ACTUALITÉS CÔTE-DES-NEIGES INC.","$10,787.50","Media placement (public notices) "
"ACTUALITÉS CÔTE-DES-NEIGES INC.","$2,389.15","Media placement "
"ARBO-DESIGN INC.","$55,867.05","Contract for arboriculture work"
"CDN BLACK COMMUNITY ASSOCIATION","$148,100.00","Financial contribution 2008"
"NDG BLACK COMMUNITY ASSOCIATION","$34,563.72","Partnership agreement "
"WALKLEY UNITED FAMILIES ASSOCIATION","$76,985.00","Partnership agreement "
"LOYOLA YOUTH DEVELOPMENT ASSOCIATION","$56,428.00","Partnership agreement "
"B.D.M.P. TRANSPORT EN VRAC S.E.N.C.","$281,034.80","Contract for transporting snow"
"B.D.M.P. TRANSPORT EN VRAC S.E.N.C.","$535,048.12","Contract for transporting snow"
"B.P. ASPHALTE INC.","$1,193,619.54","Rebuilding of sidewalks and curbs on different streets in the borough "
"BENCO MFG INDUSTRIES INC.","$2,939.59","Lease of a tractor "
"BENCO MFG INDUSTRIES INC.","$23,641.05","Lease of snow-clearing and abrasive-spreading equipment "
"BRIÈRE, GILBERT + ASSOCIÉS, ARCHITECTES","$33,935.80","Professional services, urban design study, Victoria and Van Horne avenues "
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC.","$385,641.19","Snow-removal contract "
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC.","$2,166,463.63","Snow-removal contract "
"CARRIÈRE ST-JACQUES INC.","$12,829.28","Annual order of abrasives, 2007 "
"CARRIÈRE ST-JACQUES INC.","$19,147.81","Annual order of abrasives, 2008 "
"CARTIER PONTIAC BUICK GMC LTÉE","$73,722.29","Truck chassis for dump body "
