Liste des contrats de 25 000 $ et plus,,
Octroyés du 1er juin 2015 au 31 mai 2016,,
,,
Nom du fournisseur,Description du bon de commande,Montant du contrat
9257-0134 QUÉBEC INC.,Parc de Kent : travaux de réfections architecturales du Pavillon des baigneurs,"46 610,25 $ "
ABSOLU GRAPHIQUES INC.,Centre culturel de Notre-Dame-de-Grâce : microsignalisation,"29 266,85 $ "
ACCESSOIRES OUTILLAGE LIMITÉE/ ENTENTE 925596,Location de balais de rue (2016),"112 447,13 $ "
ACME SERVICES SCÉNIQUES,Centre culturel de Notre-Dame-de-Grâce : vitrines et cimaises,"23 906,19 $ "
À DEUX MAINS INC. (HEAD & HANDS),Contribution 2015 : Jeunesse 2000,"39 790,00 $ "
"AFFLECK DE LA RIVA, ARCHITECTES",Parc Trenholme : contrat de services professionnels en architecture pour les plans et devis de mise aux normes de la pataugeoire,"56 383,78 $ "
ANTAGON INTERNATIONAL,Cour de voirie Madison : contrat pour les travaux de réfections structurales de l'abri à sel et des matériaux,"576 929,74 $ "
ASSOCIATION DE LA COMMUNAUTÉ NOIRE DE CÔTE-DES-NEIGES,Contribution financière 2016 : programmation activités de loisirs,"72 074,00 $ "
,Volet club de vacances pour l'Association de la communauté noire de Côte-des-Neiges,"44 490,00 $ "
ASSOCIATION POUR LE DÉVELOPPEMENT JEUNESSE DE LOYOLA,Contribution financière 2016 : programmation activités de loisirs,"42 286,00 $ "
BAU-VAL CMM/ ENTENTE 910214,Récupération de béton et asphalte (2015),"47 490,57 $ "
,Récupération de béton et asphalte (2016),"12 480,17 $ "
BEAULIEU MAURRASSE,"Acquisition de la partie divise de l'immeuble situé au 6600, avenue Victoria","2 307 552,59 $ "
BOUTY INC./ ENTENTE 10139,"Bibliothèques interculturelle, Côte-des-Neiges et Notre-Dame-de-Grâce : remplacement de fauteuils de lecture et de chaises","71 134,38 $ "
