"Liste des contrats de 25 000 $ et plus",,
"Octroyés du 1er juin 2011 au 31 mai 2012",,
,,
"Nom du fournisseur","Montant du contrat","Description du bon de commande"
"3369609 CANADA INC. ","90 697,76$","Location d'un terrain pour élimination et entassement de la neige – 1000, rue Norman "
"9055-0344 QUÉBEC INC. ","608 445,91$","Contrat de déneigement 2010-2013 – hiver 2011-2012 – N10-72 "
"9064-2711 QUÉBEC INC. ","110 854,80$","Contrat de location avec opérateurs de remorqueuses – saison hivernale 2011-2012 "
"ABC RÉCRÉATION QUÉBEC INC. ","14 324,68$","Achat de trois paniers de basketball dans le cadre du projet d'aménagement au parc Georges-Saint-Pierre "
"ABC RÉCRÉATION QUÉBEC INC. ","17 678,02$","Installation du module de jeux au parc de la Savane "
"ABC RÉCRÉATION QUÉBEC INC. ","8 520,59$","Fourniture et installation de modules individuels de jeux d'enfants de 18 mois à 5 ans au parc Loyola "
"ACTUALITÉS CôTE-DES-NEIGES INC. ","39 511,86$","Parution d'avis publics en 2011 "
"ACTUALITÉS CôTE-DES-NEIGES INC.","8 798,00$","Parution d'avis publics en 2012 "
"À DEUX MAINS INC. (HEAD & HANDS) ","59 684,00$","Contribution financière Jeunesse 2000 – Année 2012 "
"AFFLECK & DE LA RIVA ARCHITECTES ","75 079,50$","Contrat de services professionnels pour la phase 2 des projets de réfection de la maçonnerie et de la toiture du Centre communautaire Notre-Dame-de-Grâce "
"AQUATECHNO SPÉCIALISTES AQUATIQUES INC. ","16 284,29$","Produits chimiques pour installations aquatiques extérieures "
"AQUATECHNO SPÉCIALISTES AQUATIQUES INC. ","14 940,06$","Produits chimiques pour la piscine et la pataugeoire du parc Confédération (été 2012) "
"AQUATECHNO SPÉCIALISTES AQUATIQUES INC. ","8 589,00$","Produits chimiques pour la piscine du parc de Kent (été 2012) "
"ARBO-DESIGN INC. ","5 627,62$","Travaux arboricoles d'urgence "
"ARBO-DESIGN INC.","124 299,77$","Contrat – travaux arboricoles d'élagage "
"ASSOCIATION DE LA COMMUNAUTÉ NOIRE DE CDN ","18 679,00$","Contribution financière – Club de vacances 2011 "
"ASSOCIATION DE LA COMMUNAUTÉ NOIRE DE CDN","108 110,00$","Contribution financière – Activités de loisirs 2012 "
"ASSOCIATION DE LA COMMUNAUTÉ NOIRE DE CDN","44 490,00$","Contribution financière – Club de vacances 2012 "
"ASSOCIATION POUR LE DÉVELOPPEMENT JEUNESSE DE LOYOLA ","63 428,00$","Contribution financière – Activités de loisirs 2012 "
"BAU-VAL CMM ","23 005,69$","Service de rebut de béton/asphalte 2011 "
"BAU-VAL CMM","13 587,78$","Service de rebut de béton/asphalte 2012 "
"BOO! DESIGN INC. ","2 651,78$","Traduction et lecture de la programmation culturelle, automne 2011 "
"BOO! DESIGN INC. ","4 030,23$","Création d'une grille et montage graphique de la programmation culturelle de l'automne 2011 "
"BOO! DESIGN INC. ","7 842,60$","Impression de la programmation culturelle, automne 2011 "
"BOO! DESIGN INC. ","13 496,68$","Impression de la programmation culturelle, hiver 2012 "
"B.P. ASPHALTE INC. ","951 056,85$","Réalisation des travaux de reconstruction des trottoirs et bordures dans l'arrondissement "
"BPR-INFRASTRUCTURE INC. ","11 992,64$","Plan d'aménagement géométrique de la rue Légaré "
"BPR-INFRASTRUCTURE INC. ","21 885,03$","Reconstruction rue Légaré – honoraires professionnels pour la préparation des documents d'appel d'offres "
"BRIÈRE, GILBERT + ASSOCIÉS, ARCHITECTES ","3 921,30$","Namur / Jean-Talon – image 3D "
"BRIÈRE, GILBERT + ASSOCIÉS, ARCHITECTES ","36 755,65$","Namur / Jean-Talon Ouest – Plan directeur "
"BRIÈRE, GILBERT + ASSOCIÉS, ARCHITECTES ","4 493,16$","Études préparatoires concernant l'intersection Côte-des-Neiges / Queen-Mary "
"BRIÈRE, GILBERT + ASSOCIÉS, ARCHITECTES ","4 819,93$","Études préparatoires pour le projet résidentiel Buchan "
"BRIÈRE, GILBERT + ASSOCIÉS, ARCHITECTES ","2 197,71$","Jury pour le concours de design Namur / Jean-Talon Ouest "
"BRIÈRE, GILBERT + ASSOCIÉS, ARCHITECTES ","6 111,86$","Modification au Plan directeur pour le secteur Namur / Jean-Talon Ouest "
"BRIÈRE, GILBERT + ASSOCIÉS, ARCHITECTES ","8 414,44$","Services professionnels pour la production d'une vidéo promotionnelle pour le Triangle (Namur / Jean-Talon Ouest) "
"BRIÈRE, GILBERT + ASSOCIÉS, ARCHITECTES ","9 897,75$","Étude préparatoire – étude du potentiel de transformation "
"CARRIÈRE ST-JACQUES INC. ","44 086,03$","Achat d'abrasifs 90/10 "
"CATALYSE URBAINE ","4 576,69$","Finaliste pour le concours de design Namur / Jean-Talon Ouest "
"CATALYSE URBAINE ","54 987,50$","Préparation d'un guide d'interventions pour l'aménagement du domaine public dans le secteur Le Triangle – Lauréat du concours de design NJTO "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CôTE-DES-NEIGES ","5 000,00$","Contribution financière – Côte-des-Neiges en fête 2011 "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CôTE-DES-NEIGES ","3 827,00$","Contribution financière dans le cadre du programme d'accompagnement en loisirs de l'arrondissement "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CôTE-DES-NEIGES ","40 000,00$","Contribution financière dans le cadre du plan d'action en développement social de l'arrondissement "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CôTE-DES-NEIGES ","4 880,04$","Remboursement pour achat d'équipement au Centre communautaire de loisir de la Côte-des-Neiges "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CôTE-DES-NEIGES ","211 744,00$","Contribution financière – Activités de loisirs 2012 "
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CôTE-DES-NEIGES ","26 000,00$","Contribution financière – Club de vacances 2012 "
"CENTRE COMMUNAUTAIRE MOUNTAIN SIGHTS ","121 700,00$","Contribution financière – Activités de loisirs 2012 "
"CENTRE COMMUNAUTAIRE MOUNTAIN SIGHTS ","3 600,00$","Contribution financière – Club de vacances 2012 "
"CENTRE DE RESSOURCES COMMUNAUTAIRE CôTE-DES-NEIGES ","140 000,00$","Contribution financière 2012 "
"CENTRE DE TRI MÉLIMAX INC. ","22 275,26$","Disposition de matériaux d'excavation 2011 "
"CENTRE DE TRI MÉLIMAX INC.","8 929,59$","Disposition de matériaux d'excavation 2012 "
"CERTIFLO INC. ","99 067,29$","Fourniture et installation d'un système d'arroseuse de rue sur un châssis de camion fourni par la Ville "
"CIMA + ","23 507,16$","Services professionnels – Réhabilitation d'infrastructures urbaines "
"CIMA + ","14 541,49$","Services professionnels pour des travaux de structure du côté de la piscine au Centre sportif de Côte-des-Neiges "
"CIMA + ","10 729,12$","Services professionnels en structure mécanique et électrique dans le cadre du projet de démolition du chalet du parc Maurice-Cullen "
"CIMA + ","4 738,24$","Services professionnels en structure du bâtiment dans le cadre du projet de remplacement du plafond technique dans l'auditorium de la Maison de la culture Côte-des-Neiges "
"CIMA + ","64 093,43$","Contrat de services professionnels en ingénierie et en architecture pour la réfection structurale dans la salle mécanique de la piscine du Centre communautaire Notre-Dame-de-Grâce "
"CIMA + ","6 755,61$","Surveillance partielle de travaux pour la construction d’un passage pour piétons sur l'avenue Mountain-Sights "
"CLAULAC INC. ","3 676,22$","Services professionnels en génie civil pour le raccordement des services au terrain de soccer du parc McDonald "
"CLAULAC INC. ","4 738,24$","Relevés, étude, conception et préparation des plans pour deux saillies sur la rue Rosedale "
"CLAULAC INC. ","8 578,05$","Contrat de services professionnels en mécanique et électricité du bâtiment dans le cadre des projets de réfection de la maçonnerie et de la toiture au Centre communautaire Notre-Dame-de-Grâce"
"CLAULAC INC. ","14 296,75$","Services professionnels en génie civil – conception de saillies – boulevard Édouard-Montpetit "
"CLINIQUE DE MÉDECINE INDUSTRIELLE ET PRÉVENTIVE DU QUÉBEC INC. ","17 596,00$","Expertise médicale pour les dossiers de CSST 2011 "
"CLINIQUE DE MÉDECINE INDUSTRIELLE ET PRÉVENTIVE DU QUÉBEC INC. ","13 197,00$","Expertise médicale pour les dossiers de CSST 2012 "
"CLôTURE SECUR","2 663,22$","Modification à l'aire d'exercice pour chiens au parc Notre-Dame-de-Grâce "
"CLôTURE SECUR","3 855,96$","Réparation de clôtures dans divers parcs et sur mobilier urbain "
"CLôTURE SECUR","2 940,98$","Matériels et main-d'oeuvre pour l'installation de quatre sections de clôture "
"CLôTURE SECUR","66 139,26$","Contrat pour la fourniture et l'installation d'une clôture autour du grand terrain de soccer du parc Gilbert-Layton "
"CLôTURE SECUR","3 322,21$","Enlever l'ancienne clôture au parc Gilbert-Layton "
"CLôTURE SECUR","5 817,68$","Installation de clôtures provisoires sur les terrains de soccer des parcs MacDonald et Gilbert-Layton dont les réfections ont été réalisées afin de protéger la prise du gazon jusqu'en mai 2012 "
"CLUB DE PLEIN AIR NDG ","42 000,00$","Contribution financière – Activités de loisirs 2012 "
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC. ","2 388 652,66$","Contrats de déneigement 2010-2013 – hiver 2011-2012 – N10-73 ET N10-74 "
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC. ","25 903,92$","Location d'une rétrocaveuse avec opérateur – chute Ambar "
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC. ","64 427,51$","Location d'un chargeur et d'une rétrocaveuse avec opérateurs – chute St-Pierre "
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRâCE ","333 362,00$","Contribution financière – Activités de loisirs "
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRâCE ","57 547,00$","Contribution financière – Club de vacances 2012 "
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRâCE ","53 003,00$","Contribution financière – Centre Saint-Raymond – Activités de loisirs 2012 "
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRâCE ","17 697,00$","Contribution financière – Centre Saint-Raymond – Club de vacances 2012 "
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRâCE ","96 400,00$","Contribution financière – Centre Saint-Raymond – Gestion grand centre 2012 "
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRâCE ","58 900,00$","Contribution financière 2012 – Centre Walkley – Activités de loisirs "
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRâCE ","20 685,00$","Contribution financière 2012 – Centre Walkley – Club de vacances "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM) ","61 563,60$","Location de locaux dans les écoles en 2011 "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM) ","20 344,83$","Location de locaux dans les écoles en 2012 "
"CONSEIL COMMUNAUTAIRE NOTRE-DAME-DE-GRâCE","25 000,00$","Contribution financière dans le cadre du plan d'action en développement social de l'arrondissement "
"CONSEIL COMMUNAUTAIRE NOTRE-DAME-DE-GRâCE","2 000,00$","Contribution financière pour les activités du 70e anniversaire "
"CONSTRUCTION ARCADE ","37 820,94$","Contrat pour la réalisation des travaux de réfection de la terrasse sud du pavillon du parc de Kent "
"CONSTRUCTION ARCADE ","143 906,26$","Contrat pour les travaux de rénovation et de réaménagement au chalet du parc MacDonald "
"CONSTRUCTION DJL INC. ","200 216,18$","Achat de mélange bitumineux (asphalte) "
"CONSTRUCTION DJL INC. ","462 804,76$","Programme de réfection routière 2011 "
"CONSTRUCTION DJL INC. ","23 900,93$","Location d'un camion épandeur de liant et de collasse "
"CONSTRUCTION F.T.M. INC. ET EXCAVATIONS SUPER INC.","260 100,60$","Subvention faisant suite aux travaux d'infrastructure et de prolongement de l'avenue Wilson réalisés par le promoteur "
