Liste des contrats de 25 000 $ et plus,,,
Octroyés du 1er janvier au 31 décembre 2018,,,
Les lignes en bleu correspondent à des engagements non terminés.,,,
,,,
Nom du fournisseur,Entente,Description du bon de commande,Montant engagement
À DEUX MAINS INC.,,Contribution financière : projet Jeunesse 2000,"59 684,00"
ABC ENVIRONNEMENT INC.,Entente 1210981,Nettoyage d'égout et inspection des conduites,"33 951,97"
,,Contrat de nettoyage de chambres de vannes CDN–NDG – 2018,"108 449,14"
ABC RÉCRÉATION QUÉBEC INC.,,Parc de la Confédération : fourniture et livraison d'un panneau,"3 423,96"
,,Parc de la Confédération : achat d'équipements de jeu accessibles pour le projet de réaménagement de l'aire de jeu,"16 057,41"
,,"Parc de Kent : structure de basketball, transport et installation","17 326,91"
AMRO ALUMINIUM INC.,,Centre communautaire NDG : travaux de remplacement des fenêtres,"791 715,72"
AQUAM SPÉCIALISTE AQUATIQUE INC.,Entente 1202972,Achat d’un enrouleur de câble et d’un cadran,"3 437,76"
,,Robot Duromax pour piscine,"8 205,47"
,,Parc de la Confédération et parc de Kent : fourniture et installation de quatre garde-corps pour tremplin,"22 483,83"
,,"Parc de la Confédération et parc de Kent : rampe d'accès, installation d'équipements et transport ","23 044,86"
ARBO-DESIGN INC.,,Abattages et essouchements d'arbres,"26 459,19"
"ARCHIPEL, ARCHITECTURE INC.",,Centre communautaire Monkland : projet d'insonorisation des salles communautaires,"44 037,72"
ASSOCIATION DE LA COMMUNAUTÉ NOIRE DE CÔTE-DES-NEIGES,,Contribution financière : camps de jour 2018,"20 000,00"
,,Contribution financière : réalisation d'activités de loisirs 2018,"108 110,00"
ASSOCIATION POUR LE DÉVELOPPEMENT JEUNESSE DE LOYOLA,,Contribution financière : réalisation d'activités de loisirs 2018,"63 428,00"
BARRIÈRE QMB INC.,,"Fourniture et installation de bordures munies de bollards pour délimiter les voies cyclables des voies de circulation (boulevard de Maisonneuve, entre la rue Addington et l’avenue Claremont)","61 770,43"
BAU-VAL CMM,Entente 1317486,"Asphalte ESG-10, PG 58-28 - année 2018","17 246,24"
,,"Asphalte CH-10, PG 58-28 - année 2018","28 743,74"
,,"Asphalte EC-5, PG 58-28 - année 2018","57 487,50"
,,Service de récupération de béton et d'asphalte,"60 931,15"
,,"Asphalte EC-10, PG 58-28 - année 2018","74 733,74"
BIBLIOTHÈQUE PUBLIQUE JUIVE,,Contribution financière,"28 700,00"
BOO ! DESIGN INC.,,Conception et impression de la programmation culturelle estivale,"2 017,81"
,,Impression d'avis aux résidants - quatre lots,"2 098,29"
,,Montage graphique de la programmation culturelle de la Maison de la culture Côte-des-Neiges,"2 903,11"
,,Impression de dépliants pour la SOCENV,"3 251,33"
,,Parc Loyola : affiches pour la division des sports et des loisirs,"3 673,45"
,,Impression d'avis aux résidants - Directions des travaux publics – Voirie,"4 018,37"
,,Programmation estivale pour la bibliothèque Benny,"5 866,01"
,,Conception du carton d'information pour le nouvel horaire de la collecte des ordures ménagères ,"6 859,00"
,,"Divers contrats graphiques, particulièrement celui de la campagne du budget participatif","6 898,50"
BOUTY INC.,Entente 1013950,Fauteuils ergonomiques type 2 VTM3-SSE-99-N2-7N-GA14,"2 355,48"
,,Chaises de bureau – DCSLDS,"2 640,36"
,,Mobilier pour l’accueil de la Maison de la culture Côte-des-Neiges,"8 926,75"
,,Chaises de bureau - Modèle Vario pour le Centre communautaire de Côte-des-Neiges,"75 458,67"
C.M.S. ENTREPRENEURS GÉNÉRAUX INC.,Entente 1289312,Déblaiement du 14-15 janvier 2018,"2 773,19"
,,Déblaiement du 7 au 9 janvier 2018,"4 658,21"
,"Entente 1289312
Entente 1289334",Déblaiement de trottoirs et épandage d’agrégat sur les trottoirs pour la saison 2018-2019,"24 999,00"
,Entente 1289876,Déneigement et épandage - avril 2018,"50 338,38"
,,Projet Le Triangle : raccordement de la conduite d'égout sous la rue Jean-Talon au réseau de l’avenue Victoria et de la rue Buchan,"360 987,37"
,,Bouclage de la conduite d'aqueduc de la rue Buchan à celle de l’avenue Victoria,"68 953,18"
CAFÉTÉRIA COMMUNAUTAIRE MULTICAF,,Contribution financière : bonifier le portrait de l’itinérance et l’instabilité résidentielle dans le quartier de Côte-des-Neiges,"25 000,00"
CARDIN JULIEN INC. ,,Secteur Le Triangle : honoraires professionnels supplémentaires pour l'aménagement du parc,"116 048,34"
,,Parc de la Savane : honoraires professionnels supplémentaires pour l'aménagement du parc,"45 049,45"
,,Secteur Le Triangle : honoraires professionnels supplémentaires pour l'aménagement d'une traverse linéaire,"31 004,78"
CARGILL SEL SÉCURITÉ ROUTIÈRE,"Entente 1303278
Entente 1303293",Fourniture de sel de déglaçage des chaussées pour la saison 2018-2019 se terminant le 30 avril 2019,"439 959,88"
CARREFOUR JEUNESSE EMPLOI DE CÔTE-DES-NEIGES (CJECDN),,Contribution financière : coordination de la Table jeunesse,"2 500,00"
,,Activités liées à la concertation et au soutien en développement social local 2018-2019,"7 500,00"
,,Service de plantations pour l'année 2018,"15 000,00"
