"Nom du fournisseur";"Entente";"Description du bon de commande";"Montant engagement";"Engagement non terminé"
"À DEUX MAINS INC.";;"Convention de contribution financière pour la réalisation du programme « Animation de loisirs - J2000 »";"61 033,60 $";"x"
"A.M. DÉMOLITION INC.";;"Contrat pour la démolition et la décontamination du bâtiment situé au 5010, rue Paré";"544 192,93 $";"x"
"AFFLECK DE LA RIVA, ARCHITECTES";;"Reconstruction du kiosque pour le tennis au parc Martin-Luther-King";"23 799,83 $";"x"
"AFFLECK DE LA RIVA, ARCHITECTES";;"Contrat de services professionnels pour le réaménagement, la rénovation et la mise aux normes du Centre Le Manoir";"303 521,82 $";"x"
"AFFLECK DE LA RIVA, ARCHITECTES";;"Contrat de services professionnels afin de préparer les plans et devis pour la démolition du 5010, rue Paré ";"34 492,49 $";"x"
"AFFLECK DE LA RIVA, ARCHITECTES";;"Contrat de services professionnels pour le projet d’aménagement du nouveau parc Elie-Wiesel";"356 997,38 $";"x"
"ARBO-DESIGN INC.";;"Services d’élagage, d’enlèvement de branches et d’extraction de troncs d’arbres";"30 690,24 $";"x"
"ARBORICULTURE DE BEAUCE INC.";;"Contrat pour des travaux d’élagage et d’abattage d’arbres publics sous le réseau de distribution d’Hydro-Québec ";"303 314,24 $";"x"
"ASSOCIATION DE LA COMMUNAUTÉ NOIRE DE CÔTE-DES-NEIGES";;"Convention de contribution financière dans le cadre du programme « Animation d’un centre communautaire » se terminant le 31 décembre 2021";"45 410,00 $";"x"
"ASSOCIATION DE LA COMMUNAUTÉ NOIRE DE CÔTE-DES-NEIGES";;"Contribution financière dans le cadre du « Fonds Diversité et inclusion sociale en faveur des enfants et des familles vulnérables » ";"14 655,00 $";"x"
"ASSOCIATION DE LA COMMUNAUTÉ NOIRE DE CÔTE-DES-NEIGES";;"Convention de service de gré à gré pour la gestion d’un centre communautaire au Pavillon Nelson-Mandela et au Centre Appleton ";"55 654,99 $";"x"
"ASSOCIATION DE LA COMMUNAUTÉ NOIRE DE CÔTE-DES-NEIGES";;"Convention de contribution financière pour la réalisation du programme « Animation de camps de jour » pour Marcus Garvey All-star day camp 2021 ";"20 452,00 $";
"ASSOCIATION DE SOCCER DE NOTRE-DAME-DE-GRÂCE";;"Soutien financier spécial non récurrent dans le cadre de la réalisation des activités sportives dans le contexte de la COVID-19";"29 770,00 $";
"ASSOCIATION POUR LE DÉVELOPPEMENT JEUNESSE DE LOYOLA";;"Convention de contribution financière pour le programme « Animation de loisirs » ";"64 862,27 $";
"BIBLIOTHÈQUE PUBLIQUE JUIVE";;"Contribution financière dans le cadre du « Fonds Diversité et inclusion sociale en faveur des enfants et des familles vulnérables » pour le projet « Heure du conte inclusive avec interprétation »";"2 292,00 $";
"BIBLIOTHÈQUE PUBLIQUE JUIVE";;"Contribution financière pour le projet d’activités de sensibilisation communautaire du 2 mai 2021 au 30 avril 2022";"30 000,00 $";"x"
"BIGIS EXPERT CONSEILS INC.";;"Services professionnels en structure pour le projet de remplacement de la génératrice et pour l’installation d’un compteur d’eau dans la bibliothèque et la maison de la culture Côte-des-Neiges";"28 229,23 $";"x"
"BOO! DESIGN INC.";;"Service de graphisme pour divers projets";"22 995,00 $";
"BOO! DESIGN INC.";;"Conception, impression et installation de panneaux dans le cadre du projet de modernisation de l’affichage dans les parcs ";"6 243,14 $";
"BOO! DESIGN INC.";;"Ramassage des anciens panneaux et installation de nouveaux panneaux de règlements des parcs à chiens";"3 225,04 $";
"BOO! DESIGN INC.";;"Service de graphisme pour divers projets";"11 497,50 $";"x"
"BOO! DESIGN INC.";;"Conception, impression et installation de panneaux dans le cadre du projet de modernisation de l’affichage dans les parcs ";"17 729,15 $";
"BOO! DESIGN INC.";;"Conception graphique des cartons du projet de la famille pour la maison de la culture Côte-des-Neiges";"8 404,68 $";
"BOO! DESIGN INC.";;"Service d’impression pour la maison de la culture Notre-Dame-de-Grâce ";"4 719,73 $";"x"
"BOUTHILLETTE PARIZEAU INC";;"Contrat de gré à gré pour des services professionnels dans le cadre du projet de mise aux normes du système de vidéosurveillance de la cour de voirie de Darlington";"29 749,79 $";"x"
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC.";"Entente 1411709";"Service de location d’équipements avec opérateurs pour le nettoyage des trottoirs pour l’année 2021 ";"37 524,39 $";
"CAN-EXPLORE INC.";;"Contrat de gré à gré pour l’inspection par caméra de conduites d’égout existantes dans le cadre du remplacement des entrées de service d’eau en plomb";"38 358,16 $";"x"
"CARGILL SEL SÉCURITÉ ROUTIÈRE";"Entente 1429652";"Fourniture additionnelle de sel de déglaçage des chaussées pour la saison hivernale 2020-2021";"494 158,91 $";
"CARREFOUR JEUNESSE-EMPLOI DE CÔTE-DES-NEIGES (CJECDN)";;"Contribution financière pour la réalisation d’activités liées à la concertation jeunesse pour l’année 2021";"10 226,13 $";
"CARREFOUR JEUNESSE-EMPLOI DE CÔTE-DES-NEIGES (CJECDN)";;"Contrat de services d’entretien de mobilier urbain";"17 000,00 $";"x"
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES";;"Convention de contribution financière pour la réalisation du programme « Animation d’un centre communautaire »";"118 475,00 $";
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES";;"Entente de service pour la gestion de l’entretien sanitaire";"109 245,00 $";"x"
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES";;"Contribution financière dans le cadre du « Fonds Diversité et inclusion sociale en faveur des enfants et des familles vulnérables » pour le projet « Heure du conte inclusive avec interprétation »";"11 659,00 $";"x"
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES";;"Convention de service de gré à gré pour la gestion d’un centre communautaire afin de permettre un accès aux citoyens aux installations du Centre communautaire Saint-Raymond";"142 383,02 $";"x"
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES";;"Convention de contribution pour la réalisation du programme « Animation de camps de jour »";"25 565,00 $";
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES";;"Convention de service de gestion et d’entretien pour le Pavillon Saidye-Bronfman ";"28 219,00 $";"x"
"CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES";;"Convention de contribution financière dans le cadre du « Programme d’intervention de milieu pour les jeunes de 12 à 30 ans » et dans le cadre de l’Entente avec le MIFI pour l’accueil et l’intégration des immigrants";"9 669,00 $";
"CENTRE COMMUNAUTAIRE MONKLAND";;"Convention de service de gré à gré pour la gestion du Centre communautaire Monkland";"76 852,43 $";"x"
"CENTRE COMMUNAUTAIRE MOUNTAIN SIGHTS";;"Convention de contribution financière pour la réalisation du programme « Animation de loisirs » dans le Centre communautaire Mountain Sights";"30 938,00 $";
"CENTRE COMMUNAUTAIRE MOUNTAIN SIGHTS";;"Convention de service de gré à gré pour la gestion du Pavillon de la Savane";"55 654,99 $";"x"
"CENTRE COMMUNAUTAIRE MOUNTAIN SIGHTS";;"Convention de contribution financière pour la réalisation du programme « Animation de camps de jour » - Camps de jour Mountain Sights 2021";"20 452,00 $";
"CENTRE COMMUNAUTAIRE NOTRE-DAME-DE-GR CE INC.";;"Contribution financière dans le cadre du programme « Animation en loisirs »";"30 000,00 $";
"CENTRE DE RESSOURCES COMMUNAUTAIRES CÔTE-DES-NEIGES";;"Convention de service de gré à gré pour la gestion d’un centre communautaire au Centre de ressources communautaire de Côte-des-Neiges et au Centre communautaire Abe-Limonchick";"155 574,52 $";"x"
"CENTRE D'ÉCOLOGIE URBAINE DE MONTRÉAL
";;"Contrat de gré à gré afin d’accompagner l’arrondissement dans la démarche de participation citoyenne, dans le cadre du projet de réaménagement de la rue Jean-Brillant";"42 113,18 $";"x"
"CIMA+ S.E.N.C.";;"Services professionnels en ingénierie civile ";"7 818,30 $";
"CIMA+ S.E.N.C.";;"Services professionnels pour les projets de rénovation du Centre sportif Notre-Dame-de-Grâce";"22 022,17 $";"x"
"CIMA+ S.E.N.C.";;"Services professionnels pour de l’expertise sur le bassin d’équilibre du Centre communautaire Notre-Dame-de-Grâce";"6 783,53 $";"x"
"CIMA+ S.E.N.C.";;"Services professionnels en ingénierie pour le projet de construction de dalles de béton à la cour de voirie de Darlington";"3 029,59 $";"x"
"CIMAISE INC.";;"Contrat de services professionnels pour des réaménagements, des rénovations et pour la construction d’un jeu d’eau au parc Coffee";"265 434,74 $";"x"
"CIMAISE INC.";;"Contrat de services professionnels pour la construction d’une pataugeoire et pour des rénovations du chalet au parc Jean-Brillant";"522 207,84 $";"x"
"CLÔTURE SÉCUR";;"Réparation de clôtures des parcs Martin-Luther-King et Gilbert-Layton";"4 024,12 $";
"CLÔTURE SÉCUR";;"Contrat pour l’installation de clôtures au parc du YMCA";"23 460,65 $";"x"
"CLÔTURE SÉCUR";;"Contrat pour l’installation d’une clôture au parc Hillsdale-Wilderton ";"2 673,17 $";"x"
"CLÔTURE SÉCUR";;"Réparation de la clôture du parc Benny";"3 564,23 $";
"CLÔTURE SÉCUR";;"Réparation de la clôture du parc Loyola";"10 060,31 $";
"CLÔTURE SÉCUR";;"Contrat pour la réparation de la passerelle entre la cour de voirie et la section du garage à la cour de voirie de Madison";"6 524,83 $";
"CLUB DE PLEIN AIR NDG";;"Contribution financière pour le programme « Animation en loisirs » ";"42 949,73 $";
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE";;"Convention de contribution financière pour la réalisation du programme « Animation d’un centre communautaire » pour le Centre communautaire Walkley (2021)";"53 239,00 $";
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE";;"Convention de contribution financière pour la réalisation du programme « Animation d’un centre communautaire » pour le Centre communautaire Saint-Raymond (2021)";"53 239,00 $";
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE";;"Convention de services visant la réalisation du projet « Gestion administrative et soutien » pour l’offre de soutien administratif et financier de plusieurs OSBL reconnus par l’arrondissement";"255 720,56 $";"x"
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE";;"Entente de service pour la gestion de l’entretien sanitaire du Centre communautaire Saint-Raymond ";"44 949,48 $";"x"
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE";;"Entente de service pour la gestion de l’entretien sanitaire du Centre communautaire Walkley";"29 692,29 $";"x"
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE";;"Convention de service de gré à gré pour la gestion d’un centre communautaire afin de permettre un accès aux citoyens aux installations du Centre communautaire Walkley";"81 932,42 $";"x"
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE";;"Convention de service de gré à gré pour la gestion d’un centre communautaire afin de permettre un accès aux citoyens aux installations du Centre communautaire Saint-Raymond";"117 818,64 $";"x"
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE";;"Soutien financier spécial non récurrent dans le cadre du programme « Animation de camps de jour » - Camps de jour Notre-Dame-de-Grâce";"19 366,00 $";
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE";;"Soutien financier spécial non récurrent dans le cadre du programme « Animation de camps de jour » - Camps de jour Patricia ";"12 084,00 $";
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE";;"Soutien financier spécial non récurrent dans le cadre du programme « Animation de camps de jour » - Camps de jour Saint-Raymond";"14 082,00 $";
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE";;"Soutien financier spécial non récurrent dans le cadre du programme « Animation de camps de jour » - Camps de jour Walkley";"20 452,00 $";
"COMPASS MINERALS CANADA CORP.";"Ententes 1498784";"Achat de sel de déglaçage (hiver 2022)";"267 431,85 $";"x"
"COMPUGEN INC.";"Entente 1410852, 1469292";"Achat de 13 licences de la suite Office 365 pour l’équipe de la Division des ressources financières, matérielles et informationnelles";"2 497,30 $";
"COMPUGEN INC.";"Entente 1410852, 1469292";"Acquisition d’un ordinateur portable et d’une station d’accueil pour le chef de section de la Section sports, loisirs et développement social ";"2 894,54 $";"x"
"COMPUGEN INC.";"Entente 1410852, 1469292";"Acquisition d’un ordinateur portable et d’une station d’accueil pour un agent de recherche de la Division des permis et des inspections";"2 855,34 $";"x"
"COMPUGEN INC.";"Entente 1410852, 1469292";"Acquisition d’un ordinateur portable et d’une station d’accueil pour la personne responsable du dépistage de fuites d’eau";"3 625,03 $";
"COMPUGEN INC.";"Entente 1410852, 1469292";"Acquisition de cinq ordinateurs portables et des stations d’accueil";"7 114,60 $";
"COMPUGEN INC.";"Entente 1410852, 1469292";"Acquisition de deux ordinateurs portables et de trois stations d’accueil pour la Division des ressources humaines";"3 227,92 $";
"COMPUGEN INC.";"Entente 1410852, 1469292";"Acquisition d’un ordinateur portable et d’une station d’accueil pour la Division des études techniques";"3 001,77 $";
"COMPUGEN INC.";"Entente 1410852, 1469292";"Acquisition de trois ordinateurs portables et trois stations d’accueil pour la Division des ressources financières, matérielles et informationnelles ";"3 911,18 $";
"COMPUGEN INC.";"Entente 1410852, 1469292";"Acquisition d’un ordinateur portable et d’une station d’accueil pour la Section de la voirie ";"3 001,77 $";
"COMPUGEN INC.";"Entente 1410852, 1469292";"Acquisition de cinq ordinateurs portables pour le Fab lab de la bibliothèque Benny";"12 705,83 $";
"CONSEIL COMMUNAUTAIRE NOTRE-DAME-DE-GRÂCE INC.";;"Contribution financière pour le soutien à l’organisation d’activités favorisant l’inclusion, la participation et le développement des résidents de Côte-des-Neiges";"43 000,00 $";
"CONSEIL COMMUNAUTAIRE NOTRE-DAME-DE-GRÂCE INC.";;"Contribution financière dans le cadre du « Fonds Diversité et inclusion sociale en faveur des enfants et des familles vulnérables » pour le projet « Heure du conte inclusive avec interprétation »";"33 729,00 $";
