Liste des contrats de 25 000 $ et plus,,,
Octroyés du 1er janvier au 31 décembre 2019,,,
Les montants inscrits incluent toutes les taxes. Ces montants incluent les contrats approuvés au Conseil d’arrondissement et financés par la Ville-Centre ou subventionnés,,,
Les lignes bleues correspondent à des engagements non terminés.,,,
,,,
Nom du fournisseur,Entente,Description du bon de commande,Montant engagement
2946-8980 QUEBEC INC. ,,Stationnement pour l’année 2019 ,"40,321.74"
A DEUX MAINS INC.,,"Contribution financière dans le cadre de la Politique de l’enfant Naître, grandir, s’épanouir à Montréal : de l’enfance à l’adolescence","7,354.00"
,,Contribution financière dans le cadre du « Programme jeunesse 2000 » ,"61,033.60"
"AFFLECK DE LA RIVA, ARCHITECTES",,Contrat de services professionnels pour le projet de construction d’un toit sur le terrain de bocce au parc Georges-Saint-Pierre ,"48,864.38"
AMENAGEMENTS SUD-OUEST,,Travaux de réaménagement complet de l’aire d’exercice canin et des sentiers limitrophes au parc Notre-Dame-de-Grâce ,"414,741.27"
ARBO-DESIGN INC.,,Service d’abattage et d’élagage d’arbres ,"50,703.64"
ARBORICULTURE DE BEAUCE INC.,,Contrat d’élagage et de rabattage d’arbres ,"426,794.10"
ASSOCIATION DE LA COMMUNAUTE NOIRE DE COTE-DES-NEIGES,,Contribution financière à titre de « mesures transitoires » en loisirs durant la période de révision des programmes de soutien destinés aux OSBL reconnus par l’arrondissement,"4,200.00"
,,Convention de contribution financière pour la réalisation du projet « Programme - Animation d’un centre communautaire » se terminant le 31 décembre 2020,"45,410.00"
,,Convention de contribution financière pour la réalisation du « Programme camps de jour - Marcus Garvey All-star day camp » ,"20,452.00"
,,Convention de service de gré à gré pour la gestion d’un centre communautaire afin de permettre un accès aux citoyens aux installations du pavillon Nelson-Mandela et du Centre Appleton,"55,654.98"
ASSOCIATION POUR LE DEVELOPPEMENT JEUNESSE DE LOYOLA,,Contribution financière à titre de « mesures transitoires » en loisirs durant la période de révision des programmes de soutien destinés aux OSBL reconnus par l'arrondissement,"4,200.00"
,,"Contribution financière pour la réalisation de l'activité « Les mini-olympes » dans le cadre de la Politique de l'enfant Naître, grandir, s'épanouir à Montréal : de l'enfance à l'adolescence","12,000.00"
,,Convention de contribution pour la réalisation du « Programme - Soutien à la réalisation d’activités de loisirs » permettant d'offrir des activités de loisirs de qualité aux citoyens se terminant le 31 décembre 2019,"64,862.27"
AUVITEC LTEE,,"Achat d'ampoules, de rouleaux de gel, d'ETC sources, de serre en C et de « color frame » 10 pouces ","18,223.54"
,,Fête sur la patinoire Bleu Blanc Bouge et à l'aréna Bill-Durnan,"8,623.12"
,,"Location pour le 28 juin 2019 (écran à LED, contrôleur de l'écran, câble, tour) et service de deux techniciens ","2,367.90"
AXOR EXPERTS-CONSEILS INC.,,Services professionnels pour la conception des plans et devis pour le réaménagement de six intersections ,"16,360.94"
,,Services professionnels pour la conception de plans et devis pour les réaménagements géométriques mineurs de cinq intersections ,"39,297.55"
,,Travaux et analyses relatifs au génie électrique en lien avec le projet de réaménagement géométrique de l'avenue Fielding ,"4,999.12"
BALAYE PRO INC ,,Achat d’un balai mécanique pour l’entretien et le nettoyage des rues de l’arrondissement,"41,148.11"
BAU-VAL CMM,"Entente 1317486, 1358370 ",Service de traitement et de valorisation de matériaux (béton et asphalte),"53,016.14"
BEAUREGARD ENVIRONNEMENT LTEE,"Entente 1321875, 1354489",Contrat de nettoyage de puisards et de chambres de vanne pour trois ans,"292,681.50"
,,Contrat de service d'hydro-excavation pour les arrondissements de Côte-des-Neiges-Notre-Dame-de-Grâce et d'Outremont ,"258,340.60"
BELL CANADA ,,Enfouissement du réseau câblé de Bell dans les rues Paré et Buchan du projet Le Triangle ,"124,003.33"
BIBLIOTHEQUE PUBLIQUE JUIVE,,Contribution financière pour le projet d'activités de sensibilisation communautaire du 15 mai 2019 au 1er mai 2020 ,"30,000.00"
BOO! DESIGN INC.,,Conception graphique de dépliants et cartons et impression pour la Maison de la culture Notre-Dame-de-Grâce ,"8,128.73"
,,Service de graphisme pour divers projets ,"8,439.15"
,,Service d'impression pour le projet « Avertissement de froid intense » ,"25,409.47"
,,Service d'impression pour la Maison de la culture Notre-Dame-de-Grâce ,"3,064.09"
,,Service d'impression pour divers projets ,"14,946.72"
,,Service d'impression pour le projet de collecte des matières recyclables et pour des gabarits d'éléments pour les bibliothèques ,"2,586.94"
,,Service d'impression pour des accroches-portes ,"20,609.83"
BOUTY INC,Entente 1013950,Achat de neuf chaises pour les contremaîtres du Bureau de la répartition (clos Madison),"3,103.60"
