"List of contracts of $25,000 or more",,
"Awarded June 1st, 2008 to May 31, 2009",,
,,
,,
"Supplier","Amount","Description"
"A.B.C RECREATION LTD","$8,696.88","Basketball court at Coronation School "
"A.B.C RECREATION LTD","$5,122.72","Installation of tables and parasols "
"A.B.C RECREATION LTD","$23,285.90","Poligon shelter for the petanque field at Jean-Brillant Park "
"A.B.C RECREATION LTD","$38,216.88","Supply and installation of a play module for children 2 to 5 years of age at Jean-Brillant Park "
"A.B.C RECREATION LTD","$19,643.82","Supply, transportation and installation of a 2-seater swing at Roméo-Charrette Park "
"A.B.C RECREATION LTD","$6,688.27","Purchase and transportation of octagonal tables within the framework of the redevelopment of the bocce court at Gilbert-Layton Park "
"A.B.C RECREATION LTD","$5,558.82","Purchase and transportation of round tables for the water games area Notre-Dame-de-Grâce Park "
"A.B.C RECREATION LTD","$65,878.18","Supply and installation of play modules for children between the ages of 18 months and 5 years for the redevelopment of the north-west sector of Notre-Dame-de-Grâce Park "
"A.B.C RECREATION LTD","$66,780.56","Supply and installation of play modules for children between the ages of 6 to 12 years, for the redevelopment of the north-west sector of Notre-Dame-de-Grâce Park. "
"A.B.C RECREATION LTD","$15,714.16","Purchase of heritage benches "
"A.B.C RECREATION LTD","$9,431.51","Purchase of trashcans and benches "
"À DEUX MAINS INC. (HEAD & HANDS)","$57,934.00","2009 financial contributions "
"AMAZONE COMMUNICATIONS","$3,565.27","Culture, sports and recreation reflection forum – digital printing "
"AMAZONE COMMUNICATIONS","$2,454.16","Communication items for recreation "
"AMAZONE COMMUNICATIONS","$23,892.58","“Benny Farm” project — communications "
"AMAZONE COMMUNICATIONS","$2,454.16","Communication items for recreation "
"AMAZONE COMMUNICATIONS","$2,405.61","Graphic arts, computer graphics and printing "
"AMAZONE COMMUNICATIONS","$9,978.44","Graphic production and project management "
"AQUATECHNO SPÉCIALISTES AQUATIQUES INC.","$13,592.26","Order of chemical products"
"AQUATECHNO SPÉCIALISTES AQUATIQUES INC.","$5,285.88","Order of chemical products "
"AQUATECHNO SPÉCIALISTES AQUATIQUES INC.","$5,285.88","Order of chemical products "
"AQUATECHNO SPÉCIALISTES AQUATIQUES INC.","$6,041.00","Order of chemical products "
"AQUATECHNO SPÉCIALISTES AQUATIQUES INC.","$16,041.02","Order of chemical products "
"ASSOCIATION DE LA COMMUNAUTE NOIRE DE CDN","$111,075.00","2009 financial contributions "
"ASSOCIATION DE LA COMMUNAUTE NOIRE DE CDN","$11,521.00","Three-month extension to the agreement, i.e. from October 1st to December 31, 2008 "
"ASSOCIATION DE LA COMMUNAUTE NOIRE DE CDN","$46,085.00","2009 financial contribution "
"ASSOCIATION DES FAMILLES UNIES DE WALKLEY","$12,830.83","2009 financial contribution "
"ASSOCIATION DES FAMILLES UNIES DE WALKLEY","$14,319.22","Authorizing the signing of an amendment to the partnership agreement, extending it for three months, i.e. from March 1st to May 31, 2009 "
"ASSOCIATION DES FAMILLES UNIES DE WALKLEY","$49,834.95","Financial contribution "
"ASSOCIATION POUR LE DÉVELOPPEMENT JEUNESSE DE LOYOLA","$56,428.00","2009 financial contribution "
"AUTOMOTION COLLISION","$6,633.18","Vehicle maintenance and repairs "
