"List of contracts of $25,000 or more",,
"Awarded June 1st, 2010 to May 31, 2011",,
,,
,,
"Supplier","Amount","Description"
"A.B.C RÉCRÉATION LTD ","$85,992.12","Contract for the supply and installation of playground modules for children 6 to 12 years of age at Van Horne Park "
"A.B.C RÉCRÉATION LTD","$14,324.68","Purchase of 3 basketball hoops for the installation of a basketball court at Georges-Saint-Pierre Park "
"ACCESSOIRES OUTILLAGE LIMITÉE ","$7,550.17","Rental of a vacuum street sweeper "
"ACCESSOIRES OUTILLAGE LIMITÉE ","$14,261.08","Used power lift truck "
"ACCESSOIRES OUTILLAGE LIMITÉE ","$7,499.29","Repairs to rolling stock "
"ACCESSOIRES OUTILLAGE LIMITÉE ","$13,964.42","Leaf vacuum "
"ACTUALITÉS CÔTE-DES-NEIGES INC. ","$17,825.08","2010 publications "
"ACTUALITÉS CÔTE-DES-NEIGES INC. ","$26,544.99","2011 publications "
"À DEUX MAINS INC. (HEAD & HANDS ) ","$14,483.50","Financial contribution "
"À DEUX MAINS INC. (HEAD & HANDS ) ","$59,684.00","2011 financial contribution "
"AQUAM INC. ","$10,213.63","Aquatic material "
"AQUAM INC. ","$60,779.88","Equipment – Notre-Dame-de-Grâce Sports Centre "
"AQUATECHNO SPÉCIALISTES AQUATIQUES INC. ","$2,359.77","Granulated chlorine – Confederation pool "
"AQUATECHNO SPÉCIALISTES AQUATIQUES INC. ","$17,799.38","Pulsar chlorine for outdoor pools "
"AQUATECHNO SPÉCIALISTES AQUATIQUES INC. ","$22,188.21","Chemical pool products "
"ARBO-DESIGN INC. ","$15,309.48","Grubbing contract – 2010 – parks "
"ARBO-DESIGN INC. ","$119,086.45","Contract for pruning work"
"ASSOCIATION DE LA COMMUNAUTÉ NOIRE DE CDN ","$13,706.00","2010 financial contribution "
"ASSOCIATION DE LA COMMUNAUTÉ NOIRE DE CDN ","$164,019.00","2011 financial contribution "
"ASSOCIATION PHILIPPINE DE MONTRÉAL ET DE LA BANLIEUE (FAMAS) ","$7,500.00","2010 financial contribution "
"ASSOCIATION PHILIPPINE DE MONTRÉAL ET DE LA BANLIEUE (FAMAS) ","$17,500.00","2011 financial contribution "
"ASSOCIATION POUR LE DÉVELOPPEMENT JEUNESSE DE LOYOLA ","$63,428.00","2011 financial contribution "
"ATWILL-MORIN CO. ","$143,721.50","Contract for repairs to the pediment of the main entrance to the Notre-Dame-de-Grâce Community Centre "
"BAU-QUEBEC LTÉE ","$59,684.92","Contract for carrying out various repair work in Jean-Brillant Park "
"B.P. ASPHALTE INC. ","$699,240.36","Reconstruction of sidewalks and curbs on various streets in the Côte-des-Neiges—Notre-Dame-de-Grâce Borough – PRR 2010 "
"B.P. ASPHALTE INC. ","$236,407.83","Minor sidewalk repairs – PRR 2010 "
"BRASSARD CONSTRUCTIONS INC. ","$37,686.77","Contract for removing parts of sleeper walls and architectural rehabilitation work on the Kent Park chalet "
"BUDGET CONSTRUCTION SOLUTIONS INC. ","$69,928.26","NDG Centre – economist "
"CAMIONS EXCELLENCE PETERBILT INC. ","$22,354.44","Rental of a compactor truck "
"CAMIONS EXCELLENCE PETERBILT INC. ","$2,668.50","Repairs to a compactor truck "
