Liste des contrats de 25 000 $ et plus,,,
Octroyés du 1er janvier au 31 décembre 2017,,,
Les lignes en bleu correspondent à des engagements non terminés.,,,
,,,
Nom du fournisseur,Entente,Description du bon de commande,Montant engagement
À DEUX MAINS INC. (HEAD & HANDS),,Contribution financière,"59,684.00"
"""ABC ENVIRONNEMENT INC.",Entente 1210981,Nettoyage de puisards - année 2017,"196,253.58"
,Entente 1197006,Nettoyage de chambres de vannes,"145,014.44"
,,Disposition de déchets solides,"2,258.46"
"AFFLECK DE LA RIVA, ARCHITECTES",,Centre communautaire et bibliothèque interculturelle : contingences pour le projet de réhabilitation de l'enveloppe verticale du bâtiment,"296,036.76"
,,Parc Jean-Brillant : projet de construction d'un toit sur le terrain de bocce,"35,412.30"
,,Parc Georges-Saint-Pierre : projet de construction d'un toit sur le terrain de bocce,"48,691.92"
,,Parc Georges-Saint-Pierre : installation d'un nouvel éclairage pour les terrains de basketball,"11,748.14"
AQUAM SPÉCIALISTE AQUATIQUE INC.,Entente 1202972,Fournitures et équipements pour piscine,"6,094.93"
,,Chaise mobile de huit pieds,"6,267.17"
,,Nouvelle marche et plot de départ,"15,183.04"
ARBO-DESIGN INC.,,Essouchement et nettoyage du site,"5,518.80"
,,Essouchement d'urgence,"11,123.83"
,,Abattage d'arbres,"18,509.24"
,,Fertilisation d'arbres - Placettes aux parcs de Kent et NDG,"2,373.08"
,,Élagage de branches dangereuses,"2,322.50"
ASPHALTE SAINT-PATRICK INC,,Asphalte chaud,"28,365.63"
ASSOCIATION DE LA COMMUNAUTÉ NOIRE DE CÔTE-DES-NEIGES,,Contribution financière : réalisation d'activités de sports et de loisirs,"108,110.00"
,,Contribution financière : organisation du camp de jour Marcus Garvey,"32,245.00"
,,Contribution financière : réalisation d'une activité du 375e ,"5,500.00"
ASSOCIATION DES GENS D'AFFAIRES DE CÔTE-DES-NEIGES,,Contribution financière : un plan de communication en vue de la création d'une Société de développement commercial (SDC),"10,000.00"
,,Contribution financière : mise en place d'une Société de développement commercial (SDC),"18,000.00"
,,Gestion de la placette CDN et media - année 2017,"39,500.00"
,,Espace publicitaire - Guide local 2017,"3,000.00"
,,Entretien de la placette CDN,"2,000.00"
ASSOCIATION POUR LE DÉVELOPPEMENT JEUNESSE DE LOYOLA,,Contribution financière : réalisation d'activités de sports et de loisirs,"63,428.00"
ATMOSPHARE INC. ,,Mobilier pour espace public et jardin,"5,976.28"
,,Entretien de modules de jeux au parc Benny,"4,536.18"
,,Garde-corps en aluminium au Centre culturel NDG,"14,633.00"
BAU-VAL CMM,Entente 910214,Service de récupération de béton et d'asphalte,"51,221.36"
,Entente 1192507,"Asphalte EC-5, PG 58-28 - année 2017","52,888.50"
,,"Asphalte EC-10, PG 58 -28 - année 2017","72,434.24"
,,"Asphalte CH-10, PG 58 -28 - année 2017","22,995.00"
BIBLIOTHÈQUE PUBLIQUE JUIVE,,Contribution financière,"28,000.00"
,,Contribution financière : La Bibliothèque Humaine,"7,000.00"
BOUTY INC,Entente 1013950,Achat de chaises,"7,752.23"
,,Achat de chaises et de chariots,"20,386.27"
,,Achat de mobilier de bureau,"26,600.38"
C.P.U. DESIGN INC.,Entente 1164102,"Achat d'équipements informatiques, notamment une imprimante","6,937.80"
,,"Achat de deux numériseurs 3D, d'ordinateurs portables et d'équipements informatiques pour les bibliothèques","13,049.55"
,,Achat d'ordinateurs portables,"18,446.90"
CARDIN RAMIREZ JULIEN INC.,,"Parc de la Savane : services professionnels pour l'avantprojet détaillé, la préparation des plans et devis et la surveillance de chantier","204,209.40"
,,Aréna Doug-Harvey : services professionnels en architecture pour des travaux d'amélioration des blocs sanitaires et des vestiaires,"23,339.92"
CARREFOUR JEUNESSE-EMPLOI NOTRE-DAME-DE-GRÂCE,,Contribution financière : coordination de la Table jeunesse,"10,000.00"
,,Contribution financière : projet REP pour une activité du 375e,"18,000.00"
CARRIÈRE ST-JACQUES INC.,Entente C1109176,Pierre concassée,"60,654.70"
,Entente 1157152,Abrasif,"78,190.48"
CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES,,Contribution financière,"211,743.99"
,,Contribution financière : organisation de l'activité « Pour bien aimer »,"17,000.00"
,,Contribution financière : organisation du camp de jour CELO,"25,500.00"
,,Contribution financière : organisation de l'activité « La Rivière »,"7,000.00"
,,Contribution financière : programme PALIM (visant à aider des personnes vivant avec des limitations fonctionnelles),"3,052.24"
,,Contribution financière : coordination et réalisation du programme d'animation de loisirs à l'aire d'animation du parc Jean-Brillant,"11,597.78"
CENTRE COMMUNAUTAIRE MOUNTAIN SIGHTS,,Contribution financière : réalisation d'activités de sports et de loisirs,"121,700.00"
,,Contribution financière : organisation du camp de jour Mountain Sights,"11,800.00"
CENTRE DE RESSOURCES COMMUNAUTAIRE CÔTE-DES-NEIGES,,Contribution financière : réalisation d'activités de sports et de loisirs,"140,000.00"
CENTRE D'ÉCOLOGIE URBAINE DE MONTREAL,,Réalisation d'un portrait de la situation de l'offre de stationnement dans le secteur de la placette CDN,"14,325.88"
,,Animation de la démarche de planification participative de la Placette CDN,"24,688.58"
CIMA+ S.E.N.C.,Entente 1110647,Conception de plans et devis pour les ruelles,"21,235.88"
,,Conception de plans et devis pour une réfection au clos Darlington,"36,971.36"
,,Conception de devis de circulation pour la réalisation du programme de réfection routière,"5,177.33"
CLEAN WATER WORKS INC,,Travaux de réparation de drains privés - avenue de Kent,"24,834.60"
,,Travaux de réparation de drains privés - boulevard Décarie,"24,374.70"
CLUB DE PLEIN AIR NDG,,Contribution financière : réalisation d'activités de sports et de loisirs,"42,000.00"
COMEAU EXPERTS CONSEILS,,Parc Loyola : aménagement d'un nouveau terrain de soccer,"115,722.34"
COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE,,Contribution financière : réalisation d'activités de sports et de loisirs,"541,664.50"
,,Contribution financière : coordination du camp de jour NDG,"57,747.46"
,,Contribution financière : fiduciaire pour l'organisme Jeunes en santé NDG,"10,000.00"
,,Contribution financière : organisation du camp de jour Walkley,"20,342.50"
,,Contribution financière : organisation du camp de jour St-Raymond,"18,932.37"
COMMISSION SCOLAIRE DE MONTRÉAL (CSDM),,Paniers de basketball,"2,416.78"
,,Location d'écoles,"49,132.62"
,,Projets de médiation culturelle : ateliers de danse et de musique en milieu scolaire,"10,000.00"
,,Transport scolaire des élèves de l'école des Nations,"3,894.00"
CONSEIL COMMUNAUTAIRE NOTRE-DAME-DE-GRÂCE INC.,,Entente de partenariat pour la réalisation d'activités liées à la concertation et au soutien en développement social local,"42,500.00"
,,Contribution financière : Collectif Ruche d'art « Pop Up »,"4,500.00"
,,Contribution financière : Programme initiative Montréalaise,"16,600.00"
,,Activité du 375e : Projet « Parcours sonores »,"11,889.00"
CONSTRUCTION BAU-VAL INC.,,Planage et revêtement bitumineux des trottoirs,"4,685,171.33"
CONSTRUCTION DJL INC,Entente 1092608,Asphalte EC-10,"2,199.77"
,,Asphalte CH-10,"28,994.53"
CONSTRUCTION MORIVAL LTEE,,Contrat pour la réalisation des travaux du projet de la phase 2 au parc Trenholme,"830,711.74"
CONSTRUCTION SOTER INC.,,Construction de dos d'ânes allongés,"333,887.40"
COOPÉRATIVE DE L'UNIVERSITÉ LAVAL,,Achat de tablettes iPad et iPad Pro,"46,459.07"
,,Achat d'ordinateurs portables Macbook,"7,864.96"
