"Nom du fournisseur";"Entente";"Description du bon de commande";"Montant engagement";"Engagements non terminés"
"SOCIÉTÉ POUR LA PRÉVENTION DE LA CRUAUTÉ ENVERS LES ANIMAUX (SPCA)";;"Service de contrôle animalier";"192 100,76 $";"x"
"2946-8980 QUÉBEC INC.";;"Projet de bail et travaux au 5160, boulevard Décarie";"1 346 666,77 $";
"7871104 CANADA INC.";;"Travaux de réparation de drain privé dans l'arrondissement de Côte-des-Neiges–Notre-Dame-de-Grâce";"41 782,16 $";"x"
"9160-7580 QUÉBEC INC. A/S GROUPE MACH INC.";;"Acquisition de cartes d'accès pour le 5160, boulevard Décarie";"2 000,00 $";"x"
"9160-7580 QUÉBEC INC. A/S GROUPE MACH INC.";;"Stationnement de décembre 2019 à juin 2020";"19 476,76 $";
"9160-7580 QUÉBEC INC. A/S GROUPE MACH INC.";;"Stationnement de juillet à décembre 2020";"8 347,18 $";
"9324-3566 QUÉBEC INC.";;"Achat de masques pour les citoyens - COVID-19";"39 215,67 $";
"À DEUX MAINS INC.";;"Contribution financière pour la réalisation du programme « Animation de loisirs - J2000 »";"61 033,60 $";
"À DEUX MAINS INC.";;"Contribution financière dans le cadre du Fonds d'urgence local de développement économique COVID-19";"8 000,00 $";
"AEDIFICA INC.";;"Programme fonctionnel et technique, volet « équipements public » pour animer des séances de consultation citoyennes";"33 342,74 $";"x"
"AGENCE RELIEF DESIGN.CA INC.";;"Travaux d'amélioration du parc Loyola";"47 771,54 $";"x"
"AMS ACOUSTIQUE INC.";;"Travaux d'insonorisation du Centre communautaire Monkland";"118 086,80 $";"x"
"ARBO-DESIGN INC.";;"Service d'abattage et d'élagage d'arbres";"28 448,22 $";"x"
"ARCHITECTURE EVOQ INC.";;"Scénarios de qualification de faisabilité - façades de l'ancien théâtre Empress";"75 940,98 $";"x"
