"Annexe",,
"Liste des contrats de 25 000 $ et plus",,
"Octroyés du 7 juin 2003 au 23 juillet 2004",,
,,
"Nom du fournisseur","Montant du contrat","Description du bon de commande"
"Action Construction Infrastructure ACI inc.","215 414,00 $","Travaux de planage de chaussées bitumineuses sur différentes rues de l’arrondissement de Côte-des-Neiges—Notre-Dame-de-Grâce"
"AvNet & Aqua-Graff (9125-6610 Québec inc.)","28 698,73 $","Fourniture de produits spécialisés dans l’enlèvement des graffitis pour une durée d’environ sept (7) mois"
"AvNet & Aqua-Graff (9125-6610 Québec inc.)","24 270,28$","Fourniture de produits spécialisés dans l’enlèvement des graffitis"
"B.P. Asphalte inc.","942 920,00$","Reconstruction de trottoirs et de bordures, là où requis, sur différentes rues de l’arrondissement de Côte-des-Neiges—Notre-Dame-de-Grâce"
"B.P. Asphalte inc.","119 775,00$","Reconstruction des trottoirs, là où requis, dans l’arrondissement de Côte-des- Neiges—Notre-Dame-de-Grâce"
"Camions Freightliner (Montréal) inc.","220048,42 $","Fourniture de deux (2) châssis de camion 6 x 4 pour benne quatre saisons, marque Freightliner"
"Camions Freightliner (Montréal) inc.","133 319,88$","Fourniture d’un (1) châssis de camion 6 x 4 pour benne à rebuts compactrice, marque Freightliner"
"Camions Freightliner (Montréal) inc.","102 956,96 $","Fourniture d’un (1) châssis de camion 6 x 4 pour grue emp : 260 po, marque Freightliner"
"CASACOM","25 000,00$","Développement de la phase II de la campagne de communications sur la propreté de l’arrondissement de Côte-des-Neiges—Notre-Dame-de-Grâce"
"CHP","48 885,63$","Projet de mise en conformité et de transformation en bibliothèque et centre communautaire du bâtiment sis au 6767, chemin de la Côte-des-Neiges"
"CHP","17 828,00$","Rénovation et agrandissement du centre communautaire Saint-Raymond, 5578-5580, chemin Upper-Lachine"
