"Liste des contrats de 25 000 $ et plus",,
"Octroyés du 1er juin 2005 au 31 mai 2006",,
,,
"Nom du fournisseur","Montant du contrat","Description du bon de commande"
" Valorisateur écologique","118 500,00 $","Contribution financière dans le cadre du programme Éco-quartier (districts de Décarie et de Loyola)"
"9131-3064 Québec inc.","46 866,18 $","Achat de mobilier pour la bibliothèque du 6767, chemin de la Côte-des-Neiges."
"C.P.M. design inc.","30 194,06 $","Fourniture et installation d’un nouveau comptoir à la bibliothèque Notre-Dame-de-Grâce."
"Équipement JKL inc.","206 576,21 $","Fourniture de châssis de camion tracteur avec module de balayage."
"Équipement JKL inc.","206 543,80 $","Fourniture de châssis de camion tracteur Freighleiner."
"Fahey et associés","23 000,00 $","Réalisation d’une étude concernant le secteur de planification détaillée Saint-Jacques / Upper Lachine, tel que défini au chapitre d’arrondissement de Côte-des-Neiges—Notre-Dame-de-Grâce et comprenant notamment la réalisation d’un programme particulier d’urbanisme."
"Fahey et associés","11 502,50 $","Réalisation de deux programmes particuliers d’urbanisme pour les secteurs de planification détaillée Namur / Jean-Talon et Bates / de Courtrai."
"Firme Fauteux et associés inc.","34 919,65 $","Préparation des documents contractuels permettant le réaménagement du parc Maurice-Cullen."
"Fortier Auto (Montréal) ltée","25 472,15 $","Fourniture d’un camion mini-fourgonnette de marque Ford."
"Fortier Auto (Montréal) ltée","68 889,16 $","Fourniture de deux camionnettes de marque Ford F-350."
"Fortier Auto (Montréal) ltée","62 407,66 $","Fourniture de deux camionnettes de marque Ford F-35"
"Globocam","111 193,09 $","Fourniture d’un camion porteur."
"Groupe Global Inc.","23 675,60 $","Fourniture de 225 chaises empilables destinées au rez-de-chaussée du Centre communautaire sis au 6767, chemin de la Côte-des-Neiges."
"Groupe Global Inc.","23 675,60 $","Fourniture de 225 chaises empilables destinées aux salles de réunion et salles communautaires du 6e étage du Centre communautaire sis au 6767, chemin de la Côte-des-Neiges."
"Groupe Global Inc.","23 675,60 $","Fourniture de 225 chaises empilables destinées aux salles de réunion du 4e étage du Centre communautaire sis au 6767, chemin de la Côte-des-Neiges."
"Groupe Global Inc.","5 485,08 $","Fourniture de 25 chaises empilables et 47 chariots pour chaises empilables destinés aux salles de réunion et salles communautaires du 5e étage du Centre communautaire sis au 6767, chemin de la Côte-des-Neiges."
"Imprimerie J.B. Deschamps inc.","77 436,69 $","Impression de quatre bulletins Savoir-Faire, le bulletin de nouvelles des citoyens de l’arrondissement de Côte-des-Neiges—Notre-Dame-de-Grâce."
"Imprimerie J.B. Deschamps inc.","25 000,00 $","Impression du Répertoire des activités (programmation automne-hiver 2005-2006) de l’arrondissement de Côte-des-Neiges—Notre-Dame-de-Grâce."
"La Clinique de Médecine Industrielle et Préventive du Québec","25 559,00 $","Contrat de services professionnels en tant que médecin désigné pour l’arrondissement de Côte-des-Neiges—Notre-Dame-de-Grâce jusqu’au 31 décembre 2006."
"Léger Marketing","8 628,88 $","Réalisation d’un sondage téléphonique pour le budget 2006 de l’arrondissement de Côte-des-Neiges—Notre-Dame-de-Grâce."
"Léger Marketing","10 000,00 $","Élaboration et réalisation d’un sondage auprès de la population de l’arrondissement de Côte-des-Neiges—Notre-Dame-de-Grâce, dans le cadre de la campagne de propreté 2005."
"Léger Marketing","9 144,49 $","Réalisation d’un sondage auprès de la population de l’arrondissement de Côte-des-Neiges—Notre-Dame-de-Grâce sur la satisfaction du bulletin externe Le Savoir-faire."
"Les Architectes Faucher, Aubertin, Brodeur et Gauthier inc.","71 430,53 $","Services professionnels en architecture et en ingénierie pour le projet de mise aux normes de la piscine extérieure et du pavillon des baigneurs du parc de Kent."
"Les Architectes Faucher, Aubertin, Brodeur et Gauthier inc.","58 333,50 $","Services professionnels en architecture et en ingénierie pour la piscine de Kent."
"Les Couvreurs Augusto Moniz inc.","26 983,56 $","Réfection de la toiture du chalet du parc Nelson-Mandela."
"Les Entreprises Daniel Robert inc.","78 535,62 $","Réaménagement de l’aire de jeux des enfants de 2 à 5 ans du parc Trenholme."
"Les Entreprises Daniel Robert inc.","73 756,23 $","Réaménagement de l’aire de jeux des enfants de 2 à 5 ans du parc Trenholme."
"Les Entreprises Ventec inc.","13 965,00 $","Réalisation de travaux de réhabilitation environnementale dans le cadre des travaux de réaménagement du parc Jean-Brillant."
"Les Entreprises Ventec inc.","29 920,00 $","Réalisation des travaux d’aménagement de l’aire de jeux des enfants de 2 à 5 ans au parc William-Hurst."
"Les Entreprises Ventec inc.","30 000,00 $","Réalisation de travaux de réhabilitation environnementale dans le cadre des travaux de réaménagement du parc Jean-Brillant."
"Les Entreprises VENTEC inc.","13 340,00 $","Modifications aux jeux et aux aires de jeux du parc Benny afin de favoriser l’accessibilité aux personnes handicapées."
"NIP Paysage","25 375,07 $","Services professionnels pour l’aménagement du parc Somerled."
"Prévention Notre-Dame-de-Grâce ","118 500,00 $","Contribution financière dans le cadre du programme Éco-quartier (districts de Notre-Dame-de-Grâce et de Snowdon)"
"RCM Environnement Inc.","238 113,00 $","Ajout au contrat de collecte et d’élimination des déchets domestiques avec l’ajout de 706 unités de logement (nouveau secteur de Glenmount)."
"Rebuts Solides Canadiens (COL SEL)","40 833,25 $","Modification du contrat de collecte sélective no CS03-7-55 avec l’ajout de 706 unités de logement (nouveau secteur de Glenmount)."
"Rive-Sud Chrysler","85 469,38 $","Fourniture d’un véhicule Dodge Sprinter."
"Roy et fils ltée","42 553,50 $","Réfection des planchers à la bibliothèque Notre-Dame-de-Grâce."
"Société environnementale Côte-des-Neiges","140 000,00 $","Contribution financière dans le cadre du programme Éco-quartier (districts de Côte-des-Neiges et de Darlington)"
"Société pour la prévention de la cruauté envers les animaux","92 400,00 $","Contrat de service de fourrière pour animaux pour la période du 4 avril 2006 au 31 décembre 2007."
"Techniparc","19 397,81 $","Réfection de la surface naturelle du terrain de soccer au parc Georges-St-Pierre."
"Techniparc","16 943,18 $","Réfection de la surface naturelle du terrain de soccer au parc Loyola."
"Tennant","59 145,84 $","Fourniture d’une voiturette aspirateur (Éléphant)."
