"Annexe",,
"Liste des contrats de 25 000 $ et plus",,
"Octroyés du 24 juillet 2004 au 31 mai 2005",,
,,
"Nom du fournisseur","Montant du contrat","Description du bon de commande"
" Prévention Notre-Dame-de-Grâce","118 500,00$","Contribution financière dans le cadre du programme Éco-quartier (districts de Notre-Dame-de-Grâce et de Snowdon)"
"À Deux mains / Head and Hands","10 000,00 $","Contribution financière dans le cadre du protocole d’entente entre le ministère de l’Emploi et de la Solidarité sociale et de la Famille et la Ville de Montréal, pour la réalisation et la mise en oeuvre du programme «Lutte à la pauvreté et l’exclusion sociale»."
"Action communiterre","21 000,00 $","Contribution financière dans le cadre du protocole d’entente entre le ministère de l’Emploi et de la Solidarité sociale et de la Famille et la Ville de Montréal, pour la réalisation et la mise en oeuvre du programme «Lutte à la pauvreté et l’exclusion sociale»."
"Alpha-Vico inc.","32 059,12 $","Fourniture de 85 tables pliantes rectangulaires et de 9 chariots pour le centre communautaire du 6767, Côte-des-Neiges."
"Alpha-Vico inc.","21 831,40 $","Fourniture de 30 tables pliantes rondes et de 4 chariots pour le centre communautaire du 6767, chemin de la Côte-des-Neiges."
"Aquam spécialiste aquatique inc.","18 478,99 $","Fourniture des composantes et accessoires aquatiques dans le projet de rénovation de la piscine de la Confédération et aménagement d’une nouvelle pataugeoire."
"Aquam spécialiste aquatique inc.","18 961,30 $","Fourniture d’accessoires aquatiques dans le projet de rénovation de la piscine de la Confédération."
"Baobab Familial ","18 000,00 $","Contribution financière dans le cadre du protocole d’entente entre le ministère de l’Emploi et de la Solidarité sociale et de la Famille et la Ville de Montréal, pour la réalisation et la mise en oeuvre du programme «Lutte à la pauvreté et l’exclusion sociale»."
"Cafétéria communautaire Multicaf","25 500,00 $","Contribution financière dans le cadre du protocole d’entente entre le ministère de l’Emploi et de la Solidarité sociale et de la Famille et la Ville de Montréal, pour la réalisation et la mise en oeuvre du programme «Lutte à la pauvreté et l’exclusion sociale»."
"Centre communautaire des loisirs de la Côte-des-Neiges","18 000,00 $","Contribution financière dans le cadre du protocole d’entente entre le ministère de l’Emploi et de la Solidarité sociale et de la Famille et la Ville de Montréal, pour la réalisation et la mise en oeuvre du programme «Lutte à la pauvreté et l’exclusion sociale»."
"Centre communautaire Moutain Sights","11 000,00 $","Contribution financière dans le cadre du protocole d’entente entre le ministère de l’Emploi et de la Solidarité sociale et de la Famille et la Ville de Montréal, pour la réalisation et la mise en oeuvre du programme «Lutte à la pauvreté et l’exclusion sociale»."
"Cime inc.","34 314,26 $","Fourniture de 44 fauteuils de lecture pour la bibliothèque du 6767, chemin de la Côte-des-Neiges."
"Construction Nasco inc.","1 037 268,39 $","Travaux de rénovation et d’agrandissement du centre Mountain Sights."
"Dépôt Alimentaire Notre-Dame-de-Grâce","20 000,00 $","Contribution financière dans le cadre du protocole d’entente entre le ministère de l’Emploi et de la Solidarité sociale et de la Famille et la Ville de Montréal, pour la réalisation et la mise en oeuvre du programme «Lutte à la pauvreté et l’exclusion sociale»."
