"Liste des contrats de 25 000 $ et plus",,
"Octroyés du 1er juin 2006 au 31 mai 2007",,
,,
"Nom du fournisseur","Montant du contrat","Description du bon de commande"
"4121104 CANADA INC. (KADISAL INC.) ","36 454,72 $","Tarification de l’Éco-centre de la Côte-des-Neiges "
"4121104 CANADA INC. (KADISAL INC.)","52 415,12 $","Contrat d'exploitation de l’Éco-centre "
"4121104 CANADA INC. (KADISAL INC.) ","39 995,48 $","Tarification de l'Éco-centre "
"ABC RECREATION LTD.","70 956,06 $","Achat de jeux pour le parc Trenholme - Aire de jeux des 6 à 12 ans"
"ACTUALITES COTE-DES-NEIGES INC.","44 254,51 $","Placements médias"
"AMAZONE COMMUNICATIONS ","22 814,88 $","Campagne de communication sur la propreté 2006"
"AMAZONE COMMUNICATIONS ","14 210,18 $","Campagne de communication sur la propreté 2007"
"B.D.M.P. TRANSPORT EN VRAC S.E.N.C.","267 058,87 $","Contrat de transport de neige"
"B.P. ASPHALTE INC.","1 260 802,00 $","Programme de réfection routière : réfection trottoirs 2006"
"C.M.S. ENTREPRENEURS GENERAUX INC.","1 181 588,85 $","Contrats de déneigement"
"CANBEC CONSTRUCTION INC.","107 115,15 $","Réaménagement de l'aire de jeux des enfants de 6 à 12 ans au parc Trenholme"
"CARTIER PONTIAC BUICK GMC LTEE","73 702,86 $","Châssis de camion pour l’installation d’une benne basculante"
"CIMA + SOCIETE D'INGENIERIE - S.E.N.C. ","23 317,20 $","Étude d'atténuation de la circulation Îlot Monkland (Phase II)"
"CIMA + SOCIETE D'INGENIERIE – S.E.N.C.","25 816,33 $","Étude d'aménagement et de circulation"
"CLINIQUE DE MEDECINE INDUSTRIELLE ET PREVENTIVE DU QUEBEC INC.","25 908,00 $","Honoraires professionnels CSST"
"CONSTRUCTIONS ET PAVAGES JESKAR INC. (LES)","238 677,19 $","Contrat de planage"
"CONVEXPERT INC.","53 937,75 $","Fourniture et installation d’équipements spécialisés sur camion porteur"
"DESSAU- SOPRIN","16 578,54 $","Étude géotechnique du parc Trenholme"
"DESSAU- SOPRIN","15 026,30 $","Étude de caractérisation du parc Rosemary-Brown"
"DESSAU- SOPRIN","13 148,01 $","Réhabilitation environnementale de l’aire de jeux parc Trenholme"
"DESSAU- SOPRIN INC.","18 190,92 $","Étude de caractérisation environnementale des jardins communautaires Saint-Raymond et Victoria"
"ENTR. DE CONSTRUCTION T.E.Q.","142 101,80 $","Contrat de TEQ construction pour le 6767 de la Côte-des-Neiges"
"ENTREPRISES CLOUTIER & GAGNON (1988) LTEE","576 956,75 $","Travaux de réfection des toitures de la bibliothèque et maison de la culture de Côte-des-Neiges (toit vert)"
"ENTREPRISES DANIEL ROBERT INC.","61 429,57 $","Réfection des sentiers du parc Van Horne"
"ENTREPRISES DANIEL ROBERT INC.","77 976,86 $","Parc Trenholme - Réaménagement aire de jeux 2 à 5 ans"
"ENTREPRISES FORMES & JEUX","48 455,54 $","Achat de jeux d'eau pour le parc MacKenzie-King"
"ENTREPRISES VENTEC INC. (LES)","172 653,70 $","Travaux de construction au parc Somerled"
"ENTRETIEN DE PISCINES SOUCY INC.","89 806,90 $","Travaux d'aménagement de jeux d'eau au parc MacKenzie-King"
"ENVIRONNEMENT ROUTIER NRJ INC.","93 700,60 $","Véhicules Benco pour déblaiement et épandage d’abrasifs"
"ENVIRONNEMENT ROUTIER NRJ INC.","1 905 634,20 $","Contrats de déneigement"
"EQUIPEMENT JKL INC.","31 024,83 $","Location de deux véhicules Holder"
"EQUIPEMENTS RECREATIFS JAMBETTE INC.","36 573,47 $","Modules pour l’aire de jeux 2 à 5 ans du parc Maurice-Cullen"
"FORTIER AUTO (MONTREAL) LTEE","61 934,66 $","Deux camionnettes Ford F-350"
"FORTIER AUTO (MONTREAL) LTEE","22 188,46 $","Mini fourgonnette"
"FORTIER AUTO (MONTREAL) LTEE","62 407,66 $","Camionnettes de marque Ford F-350 (deux)"
"GASTON CHAMPOUX INC.(1973)","291 213,82 $","Réfection de la toiture et de la ventilation du Centre Trenholme"
"GCI ENVIRONNEMENT INC","82 311,88 $","Benne compactrice de 20 verges cubes"
"GLOBAL UPHOLSTERY CO. INC./ GROUPE GLOBAL INC.","17 015,43 $","Mobilier pour le bureau Accès Montréal "
"GLOBOCAM","6 456,06 $","Allongement du châssis de camion porteur Sterling LT7500"
"GLOBOCAM","84 473,98 $","Camion porteur"
"GLOBOCAM","111 193,09 $","Camion porteur"
"GLOBOCAM","120 310,56 $","Camion porteur de marque Sterling, LT 9500, 2007"
"GROUPE GLOBAL INC.","13 959,15 $","Achat de mobilier - Déménagement de la Division des permis"
"GROUPE GLOBAL INC.","2 776,25 $","Ameublement pour la salle de conférence du bureau Accès Montréal au 5160, boul. Décarie"
"GROUPE GLOBAL INC.","4 954,97 $","Mobilier pour l’équipe des communications"
"GROUPE GLOBAL INC.","5 637,55 $","Ameublement de bureau"
"GROUPE GLOBAL INC.","7 065,03 $","Achat de meubles pour les bureaux de la maison de la culture de Notre-Dame-de-Grâce "
"GROUPE GLOBAL INC.","3 336,20 $","Achat de mobilier pour les bureaux de la maison de la culture de Côte-des-Neiges"
"GROUPE GLOBAL INC.","2 407,76 $","Mobilier pour le bureau des élus"
"GROUPE GLOBAL INC.","2 312,29 $","Poste de réception du Centre communautaire de loisirs de la Côte-des-Neiges"
"GROUPE GLOBAL INC.","2 828,78 $","Commande de chaises pour le bureau Accès Montréal"
"GROUPE VIG","54 860,89 $","Augmentation de la valeur du contrat - Centre Saint-Raymond"
"GROUPE VIG","84 259,50 $","Travaux de construction - Centre Saint-Raymond"
"HIAB QUEBEC DIV. D'ATLAS POLAR CO. LTEE","150 267,23 $","Grue et plate-forme"
"IMPRIMERIE TRANSCONTINENTAL DIVISION MONTREAL","55 150,58 $","Impression du Guide du citoyen 2007-2009"
"J L LE SAUX (GROUPE LE SAUX INC.)","158 970,41 $","Contrat de construction - réfection de l'entrée électrique au parc Van Horne"
"J.B. DESCHAMPS INC.","80 553,37 $","Impression du bulletin saisonnier Le Savoir-faire en 2007"
"KUBOTA MONTREAL","46 608,18 $","Tracteurs Kubota (2)"
"LAVALTRAC EQUIPEMENT INC.","129 397,95 $","Tracteur de ferme de marque John Deere et équipements"
"LES COUVREURS AUGUSTO MONIZ INC.","25 363,19 $","Toiture du Chalet Nelson-Mandela"
"LES ENTREPRISES CANBEC CONSTRUCTION INC.","327 098,62 $","Réaménagement du parc Maurice-Cullen"
"LES EQUIPEMENTS TWIN (1980) LTEE.","35 114,24 $","Benne basculante pour copeaux et installation"
"LES TOITURES VICK ET ASSOCIES INC.","622 774,60 $","Réfection de la toiture de l'aréna Bill-Durnan"
"LINE GOYETTE","21 337,41 $","Contrat de services professionnels – Communications"
"LINE GOYETTE","22 000,00 $","Services professionnels"
"LONGUS EQUIPEMENT INC.","196 992,56 $","Chargeuse articulée"
"LONGUS EQUIPEMENT INC.","38 797,23 $","Location d'une rétrocaveuse"
"MAROBI INC.","966 762,96 $","Contrats de déneigement"
"MAURICE LACHANCE INC.","75 101,48 $","Réfection de la toiture du chalet du parc NDG"
"MICHAEL PUBLISHING INC.","22 951,89 $","Placements médias"
"MICHAEL PUBLISHING INC. ","16 192,50 $","Placements médias"
"OCTANE INC.","15 121,20 $","Conception graphique du bulletin Le Savoir-faire en 2006"
"OCTANE INC.","15 725,08 $","Conception graphique du bulletin Le Savoir-faire en 2007"
"RCM ENVIRONNEMENT INC.","2 373 558,33 $","Contrat de collecte et élimination des déchets"
"REAL MECANIQUE","77 319,40 $","Mitsubishi Fuso, FE 145 avec plateforme fixe en aluminium"
"REBUTS SOLIDES CANADIENS INC.","3 402 917,68 $","Collecte sélective"
"RIVE-SUD CHRYSLER","79 142,69 $","Dodge Sprinter"
"RIVE-SUD CHRYSLER","51 912,67 $","Fourniture d'un camion Dodge Sprinter 3500 année 2006"
