"Liste des contrats de 25 000 $ et plus",,
"Octroyés du 1er juin 2007 au 31 mai 2008",,
,,
,,
"Nom du fournisseur","Montant du contrat","Description du bon de commande"
"(S.P.C.A) SOCIÉTÉ POUR LA PRÉVENTION DE LA CRUAUTÉ ENVERS LES ANIMAUX","52 800,00 $","Contrat de contrôle animal pour 2008 "
"À DEUX MAINS INC. (HEAD & HANDS)","57 934,00 $","Convention de partenariat"
"A.B.C. RÉCRÉATION LTD","32 187,39 $","Achat de six parasols pour le pavillon des baigneurs à la piscine du parc de Kent "
"A.B.C. RÉCRÉATION LTD","4 420,77 $","Achat de balançoires 6-12 ans au parc Rosemary-Brown "
"A.B.C. RÉCRÉATION LTD","2 561,84 $","Restauration de tables à pique-nique, aire de jeux d’eau du parc MacKenzie-King. "
"A.B.C. RÉCRÉATION LTD","10 282,52 $","Achat du mobilier urbain pour la remise aux normes de la piscine du parc de Kent. "
"A.B.C. RÉCRÉATION LTD","11 364,98 $","Achat de mobilier urbain pour le pavillon des baigneurs de la piscine du parc de Kent. "
"A.B.C. RÉCRÉATION LTD","5 644,98 $","Achat, transport et installation d’un toit simple (Play Booster) au parc de Dunkerque. "
"A.B.C. RÉCRÉATION LTD","4 338,75 $","Achat de tables octogonales pour le réaménagement du parc Jean-Brillant. "
"A.B.C. RÉCRÉATION LTD","2 132,17 $","Achat de six bases pour les six parasols de la piscine extérieure du parc de Kent. "
"A.B.C. RÉCRÉATION LTD","47 910,09 $","Achat de modules de jeux 6-12 ans au parc Rosemary-Brown "
"A.B.C. RÉCRÉATION LTD","48 498,44 $","Modules de jeux parc de la Confédération, aire de jeux des 2 à 5 ans "
"A.B.C. RÉCRÉATION LTD","9 262,11 $","Parc de la Confédération, aire de jeux des 2-5 ans, rajeunissement de la phase I du Playshaper. "
"A.B.C. RÉCRÉATION LTD","3 801,82 $","Achat de tables pour le bocce de Saint-Raymond au parc Georges-Saint-Pierre "
"A.B.C. RÉCRÉATION LTD","56 125,83 $","Achat, livraison et installation de jeux pour les 6 à 12 ans- parc de Dunkerque "
"A.B.C. RÉCRÉATION LTD","33 720,82 $","Achat, livraison et installation de jeux pour les 2 à 5 ans au parc De Sousa-Mendes "
"ACTUALITÉS CÔTE-DES-NEIGES INC.","15 116,76 $","Placements médias "
"ACTUALITÉS CÔTE-DES-NEIGES INC.","10 787,50 $","Placements médias (avis public) "
"ACTUALITÉS CÔTE-DES-NEIGES INC.","2 389,15 $","Placements médias "
"ARBO-DESIGN INC.","55 867,05 $","Contrat pour des travaux arboricoles "
"ASSOCIATION DE LA COMMUNAUTÉ NOIRE DE CDN","148 100,00 $","Contribution financière 2008 "
"ASSOCIATION DE LA COMMUNAUTÉ NOIRE DE NDG","34 563,72 $","Convention de partenariat "
"ASSOCIATION DES FAMILLES UNIES DE WALKLEY","76 985,00 $","Convention de partenariat "
"ASSOCIATION POUR LE DÉVELOPPEMENT JEUNESSE DE LOYOLA","56 428,00 $","Convention de partenariat "
"B.D.M.P. TRANSPORT EN VRAC S.E.N.C.","281 034,80 $","Contrat, transport de neige "
"B.D.M.P. TRANSPORT EN VRAC S.E.N.C.","535 048,12 $","Contrat, transport de neige "
"B.P. ASPHALTE INC.","1 193 619,54 $","Reconstruction de trottoirs et de bordures sur différentes rues de l’arrondissement "
"BENCO MFG INDUSTRIES INC.","2 939,59 $","Location d’un tracteur "
"BENCO MFG INDUSTRIES INC.","23 641,05 $","Location d’équipements pour le déblaiement et l’épandage d’abrasifs "
"BRIÈRE, GILBERT + ASSOCIÉS, ARCHITECTES","33 935,80 $","Services professionnels, élaboration d’une étude de design urbain, avenues Victoria et Van Horne "
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC.","385 641,19 $","Contrat de déneigement "
"C.M.S. ENTREPRENEURS GÉNÉRAUX INC.","2 166 463,63 $","Contrat de déneigement "
"CARRIÈRE ST-JACQUES INC.","12 829,28 $","Commande annuelle d’abrasif 2007 "
"CARRIÈRE ST-JACQUES INC.","19 147,81 $","Commande annuelle d’abrasif 2008 "
"CARTIER PONTIAC BUICK GMC LTÉE","73 722,29 $","Châssis de camion pour installer benne basculante "
"CENTRE COMM. LOISIRS DE LA CÔTE-DES-NEIGES","4 284,80 $","Rideaux "
"CENTRE COMM. LOISIRS DE LA CÔTE-DES-NEIGES","6 500,00 $","Contribution financière "
"CENTRE COMM. LOISIRS DE LA CÔTE-DES-NEIGES","65 000,00 $","Contribution financière "
"CENTRE COMM. LOISIRS DE LA CÔTE-DES-NEIGES","18 000,00 $","Contribution financière "
"CENTRE COMM. LOISIRS DE LA CÔTE-DES-NEIGES","205 744,00 $","Convention de partenariat "
"CENTRE COMM. LOISIRS DE LA CÔTE-DES-NEIGES","25 000,00 $","Convention de partenariat "
"CENTRE COMM. LOISIRS DE LA CÔTE-DES-NEIGES","4 000,00 $","Contribution financière "
"CENTRE COMMUNAUTAIRE MOUNTAIN SIGHTS","121 600,00 $","Convention de partenariat "
"CENTRE DE RESSOURCES COMMUNAUTAIRE CÔTE-DES-NEIGES","20 000,00 $","Contribution financière "
"CENTRE DE RESSOURCES COMMUNAUTAIRE CÔTE-DES-NEIGES","140 000,00 $","Autoriser une convention pour la gestion des prêts et la location des salles communautaires. "
"CHALIFOUX SANI-LAURENTIDES INC.","13 123,52 $","Disposition et décontamination "
"CHALIFOUX SANI-LAURENTIDES INC.","11 622,97 $","Disposition et décontamination "
"CHALIFOUX SANI-LAURENTIDES INC.","13 262,16 $","Disposition et décontamination "
"CIMA +","10 687,05 $","Préparation de plans pour saillies de trottoir, rue Monkland "
"CIMA +","21 035,63 $","Service d’estimation, Complexe sportif et communautaire Benny "
"CIMA +","4 318,00 $","Comptages véhiculaires, chemin de la Côte-Saint-Antoine et avenue Notre-Dame-de-Grâce "
"CIMA + SOCIÉTÉ D’INGÉNIERIE – S.E.N.C.","35 186,39 $","Étude d’aménagement et de circulation "
"CLUB DE PLEIN AIR NDG","30 000,00 $","Contribution financière pour le remplacement d’un mini-bus "
"CLUB DE PLEIN AIR NDG","40 000,00 $","Contribution financière "
"COMITÉ DES LOISIRS DUPUIS","8 241,00 $","Convention rétroactive pour la réalisation d’activités sportives et récréatives et contribution financière "
"COMITÉ DES LOISIRS DUPUIS","18 241,00 $","Convention pour la réalisation d’activités sportives et récréatives "
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE","5 800,00 $","Contribution financière "
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE","379 909,00 $","Convention de partenariat "
"COMITÉ JEUNESSE DE NOTRE-DAME-DE-GRÂCE","162 000,00 $","Convention de partenariat "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM)","8 668,58 $","Location de salles "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM)","4 219,87 $","Location de salles "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM)","2 210,07 $","Réparation de bris "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM)","6 099,46 $","Location de salles "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM)","6 733,78 $","Location de salles "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM)","4 878,30 $","Location de salles "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM)","4 702,70 $","Location de salles "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM)","6 938,30 $","Location de salles "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM)","6 195,48 $","Location de salles "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM)","3 613,79 $","Réparation de bris "
"COMMISSION SCOLAIRE DE MONTRÉAL (CSDM)","6 599,88 $","Location de salles "
"CONSEIL COMMUNAUTAIRECÔTE-DES-NEIGES/SNOWDON","25 000,00 $","Contribution financière "
"CONSEIL COMMUNAUTAIRE CÔTE-DES-NEIGES/SNOWDON","80 000,00 $","Contribution financière "
"CONSTRUCTION DJL INC.","18 123,00 $","Commande d’asphalte "
"CONSTRUCTION DJL INC.","13 440,02 $","Commande d’asphalte "
"CONSTRUCTION DJL INC.","22 006,50 $","Commande d’asphalte "
"CONSTRUCTION DJL INC.","22 864,11 $","Commande d’asphalte "
"CONSTRUCTION DJL INC. ","5 440,68 $","Commande d’asphalte "
"CONSTRUCTION DJL INC.","32 506,39 $","Commande d’asphalte "
"CONSTRUCTION DJL INC.","32 248,03 $","Commande d’asphalte "
"CONSTRUCTION DJL INC.","52 356,35 $","Commande d’asphalte "
"CONSTRUCTION DJL INC.","287 669,22 $","Commande d’asphalte "
"CONSTRUCTION DJL INC.","44 951,52 $","Commande d’asphalte "
"CONSULTANTS GENIPLUS INC. (LES)","30 536,70 $","Services professionnels en ingénierie et structure pour la réfection de la piscine de Kent "
"CONSULTANTS GENIPLUS INC. (LES)","24 056,13 $","Services professionnels en ingénierie et structure pour l’aménagement de jeux d’eau au parc Jean-Brillant "
"CUBEX LIMITED","7 699,94 $","Réparation de véhicules "
"CUBEX LIMITED","8 882,92 $","Réparation de véhicules "
"CUBEX LIMITED","23 641,05 $","Location d’équipements pour l’épandage d’abrasifs "
"ÉCO-GRAFFITI INC.","2 957,83 $","Peinture et produit nettoyant "
"ÉCO-GRAFFITI INC.","2 132,02 $","Peinture et produit nettoyant "
"ÉCO-GRAFFITI INC.","2 132,02 $","Peinture et produit nettoyant "
"ÉCO-GRAFFITI INC.","2 105,03 $","Peinture et produit nettoyant "
"ÉCO-GRAFFITI INC.","2 526,03 $","Peinture et produit nettoyant "
"ÉCO-GRAFFITI INC.","2 526,03 $","Peinture et produit nettoyant "
"ÉCO-GRAFFITI INC.","2 428,88 $","Peinture et produit nettoyant "
"ÉCO-GRAFFITI INC.","2 428,88 $","Peinture et produit nettoyant "
"ÉCO-GRAFFITI INC.","2 105,03 $","Peinture et produit nettoyant "
"ÉCO-GRAFFITI INC.","2 105,03 $","Peinture et produit nettoyant "
"ÉCO-GRAFFITI INC.","2 105,03 $","Peinture et produit nettoyant "
"ÉCO-GRAFFITI INC.","2 445,07 $","Peinture et produit nettoyant "
"ÉCOLE DU PETIT-CHAPITEAU","10 000,00 $","Projet 2006, Comité de la cour à la scène "
"ÉCOLE DU PETIT-CHAPITEAU","15 000,00 $","Médiation 2007, École du Petit-Chapiteau "
"EMPRESS CULTURAL CORPORATION / CINEMA IV","223 292,70 $","Centre culturel Empress "
"EMPRESS CULTURAL CORPORATION / CINEMA IV","34 105,67 $","Centre culturel Empress "
"ENTERPRISE LOCATION D’AUTOS","7 824,21 $","Location de véhicule "
"ENTERPRISE LOCATION D’AUTOS","2 893,60 $","Location de véhicule "
"ENTERPRISE LOCATION D’AUTOS","3 283,57 $","Location de véhicule "
"ENTERPRISE LOCATION D’AUTOS","3 475,18 $","Location de véhicule "
"ENTERPRISE LOCATION D’AUTOS","2 893,75 $","Location de véhicule "
"ENTERPRISE LOCATION D’AUTOS","2 747,72 $","Location de véhicule "
"ENTERPRISE LOCATION D’AUTOS","5 683,46 $","Location de véhicule "
"ENTREPRISES CLOUTIER & GAGNON (1988) LTÉE","607 418,57 $","Contrat pour les travaux de réfection des toitures de la bibliothèque et de la maison de la culture de CDN "
"ENTREPRISES DANIEL ROBERT INC.","2 245,36 $","Entretien à la maison de la culture de CDN "
"ENTREPRISES DANIEL ROBERT INC.","12 541,55 $","Accès véhiculaire pour la piscine du parc de Kent "
"ENTREPRISES DANIEL ROBERT INC.","76 633,07 $","Aménagement paysager de la partie avant du pavillon des baigneurs du parc de Kent "
"ENTREPRISES J.VEILLEUX & FILS INC.","49 083,13 $","Réfection de la toiture du chalet du parc Van Horne "
"ENTRETIEN DE PISCINES SOUCY INC.","13 277,85 $","Huit boîtiers de traitement d’eau des pataugeoires "
"ENTRETIEN DE PISCINES SOUCY INC.","13 871,58 $","Travaux aux jeux d’eau du parc MacKenzie-King "
"ENVIRONNEMENT ROUTIER NRJ INC.","22 303,17 $","Entretien site St-Pierre "
"ENVIRONNEMENT ROUTIER NRJ INC.","4 200,00 $","Remboursement pénalités hiver 2006-2007 "
"ENVIRONNEMENT ROUTIER NRJ INC.","567 049,51 $","Contrat de déneigement "
"ENVIRONNEMENT ROUTIER NRJ INC.","3 262 565,52 $","Contrat de déneigement "
"ENVIRONNEMENT ROUTIER NRJ INC.","20 431,29 $","Empierrement du site de déversement des neiges usées Pullman "
"ÉQUIPEMENT FÉDÉRAL QUÉBEC LTÉE","15 480,07 $","Contrat d’entretien et garantie prolongée (5 ans) pour le chargement multi- articulé "
"ÉQUIPEMENT FÉDÉRAL QUÉBEC LTÉE","183 342,29 $","Chargeur articulé multi-usage "
"ÉQUIPEMENT FÉDÉRAL QUÉBEC LTÉE","182 093,00 $","Achat et entretien de deux épandeuses à abrasifs amovibles "
"ÉQUIPEMENT MOORE LTÉE","2 569,03 $","Bureau mobile pour site à neige Pullman "
"ÉQUIPEMENT MOORE LTÉE","3 748,66 $","Location d’une soudeuse au diesel "
"ÉQUIPEMENT MOORE LTÉE","8 522,13 $","Location d’une roulotte, site à neige Pullman "
"ÉQUIPEMENT MOORE LTÉE","2 864,10 $","Bureau mobile, site à neige Pullman "
"ÉQUIPEMENT MOORE LTÉE","5 626,03 $","Location d’équipement, site à neige pullman "
"ÉQUIPEMENT MOORE LTÉE","8 360,31 $","Location d’équipement, site à neige Pullman "
"ÉQUIPEMENT MOORE LTÉE","7 416,41 $","Location d’équipement, site à neige Pullman "
"ÉQUIPEMENT MOORE LTÉE","3 845,76 $","Location d’équipement, site à neige Pullman "
"EXCAVATION BERGEVIN & LABERGE INC.","23 657,46 $","Location d’un tracteur chargeur pour le site à neige Pullman "
"EXCAVATION BERGEVIN & LABERGE INC.","23 657,46 $","Location d’un tracteur pour le site à neige Pullman "
"FÉDÉRATION CJA","62 613,00 $","Contribution financière "
"FONDERIE LAPERLE","8 123,02 $","Aqueduc & égout "
"FONDERIE LAPERLE","8 123,02 $","Aqueduc & égout/cadre, chambre de vanne "
"FONDERIE LAPERLE","9 695,64 $","Grille puisard "
"FONDERIE LAPERLE","8 123,02 $","Cadre pour chambre de vanne "
"FONDERIE LAPERLE","8 123,02 $","Cadre pour chambre de vanne "
"FONDERIE LAPERLE","3 878,26 $","Cadre guideur (égout) "
"FONDERIE LAPERLE","2 769,37 $","Cadre guideur (égout) "
"FONDERIE LAPERLE","5 328,90 $","Grille puisard "
"FONDERIE LAPERLE","7 474,96 $","Cadre ajustable "
"FONDERIE LAPERLE","7 474,96 $","Cadre ajustable "
"FORTIER AUTO (MONTRÉAL) LTÉE","87 290,70 $","Fourniture de deux camions châssis "
"GASTON CHAMPOUX INC. (1973)","5 609,50 $","Déneigement de la toiture du Centre Trenholme et du Centre de Saint-Raymond "
"GASTON CHAMPOUX INC. (1973)","23 840,38 $","Déneigement des toitures - Centre communautaire de loisirs de la CDN, Centre communautaire NDG et Centre sportif CDN "
"GLOBOCAM","71 040,15 $","Achat d’un camion porteur à cabine simple de marque Sterling, modèle Acterra, 2008 "
"GLOBOCAM","103 541,03 $","Camion porteur à cabine simple de marque Sterling "
"GLOBOCAM","419 914,95 $","Achat de quatre camions porteurs de marque Sterling "
"GROUPE VIG","54 121,02 $","Augmentation de la valeur du contrat, Saint-Raymond "
"HÉLOISE THIBODEAU ARCHITECTE","4 370,80 $","Services professionnels en architecture, Parmalat "
"HÉLOISE THIBODEAU ARCHITECTE","16 117,62 $","Services professionnels en architecture pour le projet de la nouvelle bibliothèque Benny "
